CommitNumber;Entity;Method
7;METHOD;uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
10;METHOD;uk.ac.ed.ph.aardvark.commons.util.StringUtilities.join(Collection<? extends CharSequence>,CharSequence)
12;METHOD;uk.ac.ed.ph.aardvark.commons.xml.XSLTPreFilter.XSLTPreFilter(XMLReaderConfiguration)
12;METHOD;uk.ac.ed.ph.aardvark.commons.xml.XMLReaderConfigurator.configureXMLReader(XMLReader,SAXTransformerFactory)
12;METHOD;uk.ac.ed.ph.aardvark.commons.xml.XMLPipeline.XMLPipeline(boolean)
13;METHOD;uk.ac.ed.ph.aardvark.commons.xml.XMLReaderConfigurator.createConfiguration(SAXTransformerFactory)
14;METHOD;uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
18;METHOD;uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
18;METHOD;uk.ac.ed.ph.aardvark.cms.domain.CMSDomainTestSuite.suite()
18;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.CMSInternalFilesystemTestSuite.suite()
18;METHOD;uk.ac.ed.ph.aardvark.cms.CMSTestSuite.suite()
19;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getFullNodeMetadata(ContentNodeIdentifier)
19;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getResourcePaths(ContentNodeIdentifier)
19;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getCoreNodeMetadata(ContentNodeIdentifier)
19;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.existsResource(ResourcePath)
19;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.existsNode(ContentNodeIdentifier)
19;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.readResource(ResourcePath)
19;METHOD;uk.ac.ed.ph.aardvark.cms.CMSTestSuite.suite()
19;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getChildNodePaths(NodeIdentifier)
22;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.saveResource(ResourcePath,InputStream)
23;METHOD;uk.ac.ed.ph.aardvark.cms.internal.CMSInternalTestSuite.suite()
23;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImpl.saveResource(ResourcePath,InputStream)
23;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImpl.checkoutNode(FilesNodeIdentifier,User)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.ensureExists(ContentNodeIdentifier)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getResourcePaths(ContentNodeIdentifier)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.existsNode(ContentNodeIdentifier)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testExistsSafeBad1()
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getNodePath(ContentNodeIdentifier)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testExistsSafeFalse()
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getFullNodeMetadata(ContentNodeIdentifier)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testExistsSafeBad2()
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.recordSafeExistsQuery(FullNodeMetadata,boolean,boolean)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getNodeInternalId(ContentNodeIdentifier)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getCoreNodeMetadata(ContentNodeIdentifier)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testExistsSafeTrue()
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.readResource(ResourcePath)
24;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getChildNodePaths(NodeIdentifier)
26;METHOD;uk.ac.ed.ph.aardvark.cms.domain.NodePath.create(String[],int)
28;METHOD;uk.ac.ed.ph.aardvark.cms.domain.ResourcePath.ResourcePath(ContentNodePath,ResourceName,ResourcePath)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.setStorePosition(FilesNodePath,int)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.createStore(ContentNodePath)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.saveResource(ResourcePath,InputStream)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.getChildNodePaths(NodePath)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.deleteResource(ResourcePath)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.deleteStore(ContentNodePath)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.readResource(ResourcePath)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.getResourcePaths(ContentNodePath)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.existsStore(ContentNodePath)
30;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.existsResource(ResourcePath)
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testReadResourceGood()
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testExistsResourceFalse()
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testSaveResourceNodeNotFound()
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testReadResourceNodeNotFound()
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testSaveResourceGood()
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testExistsResourceTrue()
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplCheckoutTest.testCheckoutNodeSuccessfully1()
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testSaveResourceNullStream()
31;METHOD;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testExistsResourceNodeNotFound()
33;METHOD;uk.ac.ed.ph.aardvark.databinding.Marshaller.readObject(Object,InputSource,boolean)
33;METHOD;uk.ac.ed.ph.aardvark.databinding.Marshaller.Marshaller()
35;METHOD;uk.ac.ed.ph.aardvark.databinding.Marshaller.readObject(Object,InputSource,boolean)
38;METHOD;uk.ac.ed.ph.aardvark.cms.domain.NodePath.hashCode()
38;METHOD;uk.ac.ed.ph.aardvark.cms.domain.NodePath.equals(Object)
40;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.writeChildNodeLocalNames(FilesNodePath,List<String>)
43;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.CMSInternalFilesystemTestSuite.suite()
46;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManagerTest.testSaveNullStream()
46;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManagerTest.testGoodSaveResource()
46;METHOD;uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManagerTest.testManySave()
