CommitNumber;Entity;Class;Change;Superclass
11;CLASS;uk.ac.ed.ph.aardvark.commons.xml.TracingFilter;ADDED*;uk.ac.ed.ph.aardvark.commons.xml.XMLLexicalFilterImpl
11;CLASS;uk.ac.ed.ph.aardvark.commons.xml.XSLTPreFilter;ADDED*;uk.ac.ed.ph.aardvark.commons.xml.XMLLexicalFilterImpl
11;CLASS;uk.ac.ed.ph.aardvark.commons.xml.XMLLexicalTeeFilter;ADDED*;uk.ac.ed.ph.aardvark.commons.xml.XMLLexicalFilterImpl
11;CLASS;uk.ac.ed.ph.aardvark.commons.xml.SAXErrorHandler;ADDED*;uk.ac.ed.ph.aardvark.commons.xml.XMLLexicalFilterImpl
11;CLASS;uk.ac.ed.ph.aardvark.commons.xml.DocumentEmbeddingFilter;ADDED*;uk.ac.ed.ph.aardvark.commons.xml.XMLLexicalFilterImpl
14;CLASS;uk.ac.ed.ph.aardvark.databinding.FullNodeMetadataWriterStrategy;ADDED*;uk.ac.ed.ph.aardvark.databinding.SimpleWriterStrategy
14;CLASS;uk.ac.ed.ph.aardvark.databinding.FullNodeMetadataReaderStrategy;ADDED*;uk.ac.ed.ph.aardvark.databinding.SimpleReaderStrategy
14;CLASS;uk.ac.ed.ph.aardvark.cms.domain.FilesNodePath;ADDED*;uk.ac.ed.ph.aardvark.cms.domain.ContentNodePath
14;CLASS;uk.ac.ed.ph.aardvark.cms.InconsistentStateException;ADDED*;uk.ac.ed.ph.aardvark.cms.ContentManagerException
14;CLASS;uk.ac.ed.ph.aardvark.cms.domain.FullNodeMetadata;ADDED*;uk.ac.ed.ph.aardvark.cms.domain.CoreNodeMetadata
14;CLASS;uk.ac.ed.ph.aardvark.cms.domain.WorkspaceNodePath;ADDED*;uk.ac.ed.ph.aardvark.cms.domain.ContentNodePath
14;CLASS;uk.ac.ed.ph.aardvark.cms.domain.ContentNodePath;ADDED*;uk.ac.ed.ph.aardvark.cms.domain.NodePath
14;CLASS;uk.ac.ed.ph.aardvark.cms.domain.HistoryNodePath;ADDED*;uk.ac.ed.ph.aardvark.cms.domain.ContentNodePath
14;CLASS;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImpl;ADDED*;uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl
14;CLASS;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataManager;ADDED*;uk.ac.ed.ph.aardvark.cms.internal.jdbc.DatabaseMetadataReader
23;CLASS;uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplCheckoutTest;ADDED*;uk.ac.ed.ph.aardvark.cms.internal.AbstractContentManagerImplTest
50;CLASS;uk.ac.ed.ph.aardvark.cms.DuplicateNodeLinkIdException;ADDED*;uk.ac.ed.ph.aardvark.cms.MetadataConstraintViolationException
50;CLASS;uk.ac.ed.ph.aardvark.cms.DuplicateNodePathException;ADDED*;uk.ac.ed.ph.aardvark.cms.MetadataConstraintViolationException
80;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyMCQConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
80;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNullConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
101;CLASS;uk.ac.ed.ph.aardvark.commons.xml.ResultAccumulatingFilter;ADDED*;uk.ac.ed.ph.aardvark.commons.xml.XMLLexicalFilterImpl
105;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyContentPageConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
114;CLASS;uk.ac.ed.ph.aardvark.processor.domain.InvalidSourceCodeException;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.ClientValidationException
114;CLASS;uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy
114;CLASS;uk.ac.ed.ph.aardvark.processor.validator.MCQValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy
114;CLASS;uk.ac.ed.ph.aardvark.processor.domain.AardvarkLaTeXException;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.InvalidSourceCodeException
114;CLASS;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidationStrategy
114;CLASS;uk.ac.ed.ph.aardvark.processor.domain.ProcessorConfigurationException;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.ProcessorException
119;CLASS;uk.ac.ed.ph.aardvark.processor.validator.ContentPageValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest
120;CLASS;uk.ac.ed.ph.aardvark.processor.SimpleCacheStylesheetResourceResolver;ADDED*;uk.ac.ed.ph.aardvark.processor.BasicStylesheetResourceReader
128;CLASS;uk.ac.ed.ph.aardvark.processor.validator.MCQValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest
130;CLASS;uk.ac.ed.ph.aardvark.processor.CachedStylesheetResourceResolver;ADDED*;uk.ac.ed.ph.aardvark.processor.BasicStylesheetResourceReader
133;CLASS;uk.ac.ed.ph.aardvark.processor.validator.FolderValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidationStrategy
133;CLASS;uk.ac.ed.ph.aardvark.processor.validator.FolderValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest
145;CLASS;uk.ac.ed.ph.aardvark.commons.xml.BinnedResultAccumulatingFilter;ADDED*;uk.ac.ed.ph.aardvark.commons.xml.XMLLexicalFilterImpl
155;CLASS;uk.ac.ed.ph.aardvark.processor.domain.LocalResourceResult;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.ProcessorResult
166;CLASS;uk.ac.ed.ph.aardvark.core.resources.OrganisationTreeMasterNode;ADDED*;uk.ac.ed.ph.aardvark.core.resources.OrganisationTreeSourceNode
166;CLASS;uk.ac.ed.ph.aardvark.processor.util.DefaultTreeNodeNumberingBuilderTest;ADDED*;uk.ac.ed.ph.aardvark.processor.util.AbstractTreeNodeNumberBuilderTest
176;CLASS;uk.ac.ed.ph.aardvark.processor.validator.OrganisationTreeValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest
176;CLASS;uk.ac.ed.ph.aardvark.processor.validator.AbstractTeX4htValidatorTest;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidatorTest
176;CLASS;uk.ac.ed.ph.aardvark.processor.validator.OrganisationTreeValidationStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.validator.AbstractValidationStrategy
184;CLASS;uk.ac.ed.ph.aardvark.processor.AbstractDynamicViewStrategy;ADDED*;uk.ac.ed.ph.aardvark.processor.AbstractProcessorStrategy
242;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyFigureConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
242;CLASS;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyDefaultConversionStrategy;ADDED*;uk.ac.ed.ph.aardvark.tools.legacyconversion.LegacyNodeConversionStrategy
260;CLASS;uk.ac.ed.ph.aardvark.processor.views.ContentPageWebViewTest;ADDED*;uk.ac.ed.ph.aardvark.processor.views.AbstractViewTest
277;CLASS;uk.ac.ed.ph.aardvark.processor.domain.OpaqueResourceURI;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.ResourceURI
277;CLASS;uk.ac.ed.ph.aardvark.processor.domain.ResourcePathURI;ADDED*;uk.ac.ed.ph.aardvark.processor.domain.HierarchicResourceURI
