CommitNumber;Entity;Method;Change
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.byteCountToDisplaySize(int);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.dirname(String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.filename(String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.basename(String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.basename(String,String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.extension(String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.fileExists(String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.fileRead(String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.fileWrite(String,String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.fileDelete(String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.waitFor(String,int);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.getFile(String);BODY_MODIFIED
90fdfed6b8e861b54b45484340be977b0f4bf50f;METHOD;org.apache.commons.io.FileUtils.getFilesFromExtension(String,String);BODY_MODIFIED
7a4a20f7172bd97751400099677d9cfcc68c38df;METHOD;org.apache.commons.io.FileUtils.mkdir(String);BODY_MODIFIED
40ef961933d08219acb7a7aa6fa10d979bb70612;METHOD;org.apache.commons.io.FileUtils.fileRead(String);BODY_MODIFIED
776d7a2ff8882d4462b9ed5943936b72dd2c82a4;METHOD;org.apache.commons.io.compress.bzip2.Bzip2Uncompress.main(final);BODY_MODIFIED
d9a73d9f4d899d513abceb16a1d9bedbc46ea233;METHOD;org.apache.commons.io.compress.bzip2.BzipTestCase.getInputStream(final);BODY_MODIFIED
d9a73d9f4d899d513abceb16a1d9bedbc46ea233;METHOD;org.apache.commons.io.compress.tar.TarTestCase.calcBaseDir();BODY_MODIFIED
