CommitNumber;Entity;Class;Change;Superclass
43550290869692b8c0bb043d5a1321588b6877ca;CLASS;org.apache.commons.io.HexDumpTest;ADDED*;junit.framework.TestCase
cb4c75958dcef2da4b021cd031510e53363d1af8;CLASS;org.apache.commons.io.TeeOutputStream;ADDED*;java.io.FilterOutputStream
cb4c75958dcef2da4b021cd031510e53363d1af8;CLASS;org.apache.commons.io.CountingOutputStream;ADDED*;java.io.FilterOutputStream
3c8ec897d3894d66c3433c58318d40396c832808;CLASS;org.apache.commons.io.DemuxOutputStream;ADDED*;java.io.OutputStream
3c8ec897d3894d66c3433c58318d40396c832808;CLASS;org.apache.commons.io.DemuxInputStream;ADDED*;java.io.InputStream
3c8ec897d3894d66c3433c58318d40396c832808;CLASS;org.apache.commons.io.ClassLoaderObjectInputStream;ADDED*;java.io.ObjectInputStream
d1bda7b6fdec961f3b53deb8cfc578f8eb54c5f6;CLASS;org.apache.commons.io.compress.bzip2.CBZip2OutputStream;ADDED*;java.io.OutputStream
d1bda7b6fdec961f3b53deb8cfc578f8eb54c5f6;CLASS;org.apache.commons.io.compress.bzip2.CBZip2InputStream;ADDED*;java.io.InputStream
f3021d2880af6f8dc5748dd4fd6371bd2f378f2c;CLASS;org.apache.commons.io.compress.tar.TarOutputStream;ADDED*;java.io.FilterOutputStream
f3021d2880af6f8dc5748dd4fd6371bd2f378f2c;CLASS;org.apache.commons.io.compress.tar.TarInputStream;ADDED*;java.io.FilterInputStream
7d9402d4206a5adf59901238e47d877607ed3f3d;CLASS;org.apache.commons.io.compress.zip.ZipOutputStream;ADDED*;java.util.zip.DeflaterOutputStream
7d9402d4206a5adf59901238e47d877607ed3f3d;CLASS;org.apache.commons.io.compress.zip.ZipEntry;ADDED*;.java
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.io.compress.zip.ZipShortTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.io.compress.zip.ZipLongTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.io.compress.zip.ZipEntryTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.io.compress.zip.ExtraFieldUtilsTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.io.compress.zip.AsiExtraFieldTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.compress.tar.TarTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.excalibur.bzip2.test.BzipTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.io.IOUtilTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.io.FileUtilTestCase;ADDED*;junit.framework.TestCase
198d92e2ff6336eb6166f65cf299af1385eb3c24;CLASS;org.apache.commons.io.DemuxTestCase;ADDED*;junit.framework.TestCase
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.PrefixFileFilter;ADDED*;.AbstractFileFilter
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.OrFileFilter;ADDED*;.AbstractFileFilter
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.NullFileFilter;ADDED*;.AbstractFileFilter
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.InvertedFileFilter;ADDED*;.AbstractFileFilter
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.FileFilter;ADDED*;.java
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.ExtensionFileFilter;ADDED*;.AbstractFileFilter
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.DirectoryFileFilter;ADDED*;.AbstractFileFilter
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.DelegateFileFilter;ADDED*;.AbstractFileFilter
af8c5ede85a9544966f41fd730a0171a028bcda8;CLASS;org.apache.commons.io.filefilter.AndFileFilter;ADDED*;.AbstractFileFilter
de866189ddff20faa0412694a8c0935607a072d1;CLASS;org.apache.commons.io.CountingInputStream;ADDED*;java.io.FilterInputStream
6ce07cbfda888e8b6e559a8d9c98d7a5175748ea;CLASS;org.apache.commons.io.output.TeeOutputStream;ADDED*;java.io.FilterOutputStream
6ce07cbfda888e8b6e559a8d9c98d7a5175748ea;CLASS;org.apache.commons.io.output.LockableFileWriter;ADDED*;java.io.Writer
6ce07cbfda888e8b6e559a8d9c98d7a5175748ea;CLASS;org.apache.commons.io.output.DemuxOutputStream;ADDED*;java.io.OutputStream
6ce07cbfda888e8b6e559a8d9c98d7a5175748ea;CLASS;org.apache.commons.io.output.CountingOutputStream;ADDED*;java.io.FilterOutputStream
6ce07cbfda888e8b6e559a8d9c98d7a5175748ea;CLASS;org.apache.commons.io.input.DemuxInputStream;ADDED*;java.io.InputStream
6ce07cbfda888e8b6e559a8d9c98d7a5175748ea;CLASS;org.apache.commons.io.input.CountingInputStream;ADDED*;java.io.FilterInputStream
6ce07cbfda888e8b6e559a8d9c98d7a5175748ea;CLASS;org.apache.commons.io.input.ClassLoaderObjectInputStream;ADDED*;java.io.ObjectInputStream
eea61941cc2e666d9c762df76eb28b5428041c4a;CLASS;org.apache.commons.io.output.DemuxTestCase;ADDED*;junit.framework.TestCase
190534686ed6e0f02b23b792e53a587fefe8d9a4;CLASS;org.apache.commons.io.DemuxTestCase;ADDED*;junit.framework.TestCase
1dfefa5788cf0bb4d58fbabd01ec1d053344557f;CLASS;org.apache.commons.io.filefilter.FileFilterTestCase;ADDED*;junit.framework.TestCase
cfa70d907498b25424aeeec8e1b9d880b8528d3b;CLASS;org.apache.commons.io.filefilter.PredicateFileFilter;ADDED*;.AbstractFileFilter
c7dfb56f79eee3eac840df161646be46fdf1c0da;CLASS;org.apache.commons.io.ProxyOutputStream;ADDED*;java.io.FilterOutputStream
c7dfb56f79eee3eac840df161646be46fdf1c0da;CLASS;org.apache.commons.io.ProxyInputStream;ADDED*;java.io.FilterInputStream
535027cc3a8af578ce9bd45e04a751ef9d09cfe4;CLASS;org.apache.commons.io.FileUtilsTestCase;ADDED*;junit.framework.TestCase
a4c0755d0cd9dfea59ce2e189c015befff9a474f;CLASS;org.apache.commons.io.output.ByteArrayOutputStreamTestCase;ADDED*;junit.framework.TestCase
a4c0755d0cd9dfea59ce2e189c015befff9a474f;CLASS;org.apache.commons.io.output.NullOutputStream;ADDED*;java.io.OutputStream
a4c0755d0cd9dfea59ce2e189c015befff9a474f;CLASS;org.apache.commons.io.output.ByteArrayOutputStream;ADDED*;java.io.OutputStream
98f773d2defd22668a5f1178d102cd79496757ca;CLASS;org.apache.commons.io.filefilter.SuffixFileFilter;ADDED*;.AbstractFileFilter
98f773d2defd22668a5f1178d102cd79496757ca;CLASS;org.apache.commons.io.filefilter.OrFileFilter;ADDED*;.AbstractFileFilter
98f773d2defd22668a5f1178d102cd79496757ca;CLASS;org.apache.commons.io.filefilter.NotFileFilter;ADDED*;.AbstractFileFilter
98f773d2defd22668a5f1178d102cd79496757ca;CLASS;org.apache.commons.io.filefilter.IOFileFilter;ADDED*;java.io.FileFilter
98f773d2defd22668a5f1178d102cd79496757ca;CLASS;org.apache.commons.io.filefilter.AndFileFilter;ADDED*;.AbstractFileFilter
6a3cdeffa31d13e769600cba8b78706466164f58;CLASS;org.apache.commons.io.IOUtilsTestCase;ADDED*;junit.framework.TestCase
a637ccc8792d59cf75c70723695d37d20df61de9;CLASS;org.apache.commons.io.output.ProxyOutputStream;ADDED*;java.io.FilterOutputStream
a637ccc8792d59cf75c70723695d37d20df61de9;CLASS;org.apache.commons.io.input.ProxyInputStream;ADDED*;java.io.FilterInputStream
698eb2bc4444108d3a8dbd1af05832d8b308f444;CLASS;org.apache.commons.io.testtools.YellOnFlushAndCloseOutputStream;ADDED*;org.apache.commons.io.output.ProxyOutputStream
698eb2bc4444108d3a8dbd1af05832d8b308f444;CLASS;org.apache.commons.io.testtools.YellOnCloseInputStream;ADDED*;org.apache.commons.io.input.ProxyInputStream
698eb2bc4444108d3a8dbd1af05832d8b308f444;CLASS;org.apache.commons.io.testtools.FileBasedTestCase;ADDED*;junit.framework.TestCase
fa4e5ca31272860ce4796a7abb15c013cfd86e47;CLASS;org.apache.commons.io.FileUtilsFileNewerTestCase;ADDED*;.FileBasedTestCase
ee86519603c6eaa14281404651870b5dbce373de;CLASS;org.apache.commons.io.CopyUtilsTest;ADDED*;org.apache.commons.io.testtools.FileBasedTestCase
79a549db98b8ade271b72ee113c56eabe79fe7e0;CLASS;org.apache.commons.io.filefilter.NameFileFilter;ADDED*;.AbstractFileFilter
7edfc551700486d04ee2c56797a1a83a4f1b3d27;CLASS;org.apache.commons.io.FileUtilsListFilesTestCase;ADDED*;org.apache.commons.io.testtools.FileBasedTestCase
30254efdf06b728779a1024e5bc17a9e25701adc;CLASS;org.apache.commons.io.input.CountingInputStreamTest;ADDED*;junit.framework.TestCase
47eb8fa014195c888fc4836f84ffe9c11619a479;CLASS;org.apache.commons.io.output.TeeOutputStreamTest;ADDED*;junit.framework.TestCase
47eb8fa014195c888fc4836f84ffe9c11619a479;CLASS;org.apache.commons.io.output.CountingOutputStreamTest;ADDED*;junit.framework.TestCase
37b486ec3d678c3e9e800defe1d1268216b63cbb;CLASS;org.apache.commons.io.FilenameUtilsTestCase;ADDED*;org.apache.commons.io.testtools.FileBasedTestCase
c3c1b6e069b1a6fa62bf7d1ddef1051a1ba53fb1;CLASS;org.apache.commons.io.output.NullOutputStreamTest;ADDED*;junit.framework.TestCase
22c1875b312429a2c8634a9b2fea6300a3be9c81;CLASS;org.apache.commons.io.EndianUtilsTest;ADDED*;junit.framework.TestCase
7af111e4ec75486d4dac5350a0723bdbdf06d69e;CLASS;org.apache.commons.io.output.ProxyWriter;ADDED*;java.io.FilterWriter
7af111e4ec75486d4dac5350a0723bdbdf06d69e;CLASS;org.apache.commons.io.input.ProxyReader;ADDED*;java.io.FilterReader
5b4ec60fd0b3f2216c924327c4dfe72f442a1658;CLASS;org.apache.commons.io.input.SwappedDataInputStreamTest;ADDED*;junit.framework.TestCase
4959f8992722655b738e3852ccef9f4691e3790b;CLASS;org.apache.commons.io.output.DeferredFileOutputStreamTest;ADDED*;junit.framework.TestCase
4959f8992722655b738e3852ccef9f4691e3790b;CLASS;org.apache.commons.io.output.ThresholdingOutputStream;ADDED*;java.io.OutputStream
4959f8992722655b738e3852ccef9f4691e3790b;CLASS;org.apache.commons.io.output.DeferredFileOutputStream;ADDED*;.ThresholdingOutputStream
f84da51d87eed732b285b6944404480dcb86d0fa;CLASS;org.apache.commons.io.output.LockableFileWriterTest;ADDED*;junit.framework.TestCase
afce8c8c6d696b43f25c82b15d15a0c5de1c5926;CLASS;org.apache.commons.io.FileCleanerTestCase;ADDED*;org.apache.commons.io.testtools.FileBasedTestCase
afce8c8c6d696b43f25c82b15d15a0c5de1c5926;CLASS;org.apache.commons.io.Tracker;ADDED*;java.lang.ref.PhantomReference
da58e5bf24677eb70e50a20d5fc6a28222e55a26;CLASS;org.apache.commons.io.IOUtilsWriteTestCase;ADDED*;org.apache.commons.io.testtools.FileBasedTestCase
da58e5bf24677eb70e50a20d5fc6a28222e55a26;CLASS;org.apache.commons.io.IOUtilsCopyTestCase;ADDED*;org.apache.commons.io.testtools.FileBasedTestCase
f852873cdc60e5562d9d6f0c9904fe8f012a2135;CLASS;org.apache.commons.io.find.WildcardUtilsTest;ADDED*;junit.framework.TestCase
