CommitNumber;Entity;Class;Change;Superclass
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SortedMapBasedElementSet;ADDED*;.MapBasedElementSet
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedCollection<E>;ADDED*;.SynchronizedObject
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedSet<E>;ADDED*;.SynchronizedCollection<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedSortedSet<E>;ADDED*;.SynchronizedSet<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedList<E>;ADDED*;.SynchronizedCollection<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedRandomAccessList<E>;ADDED*;.SynchronizedList<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedMultiset<E>;ADDED*;.SynchronizedCollection<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedMultimap<K, V>;ADDED*;.SynchronizedObject
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedListMultimap<K, V>;ADDED*;.SynchronizedMultimap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedSetMultimap<K, V>;ADDED*;.SynchronizedMultimap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedSortedSetMultimap<K, V>;ADDED*;.SynchronizedSetMultimap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedAsMapEntries<K, V>;ADDED*;.SynchronizedSet<Map.Entry<K, Collection<V>>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedMap<K, V>;ADDED*;.SynchronizedObject
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedBiMap<K, V>;ADDED*;.SynchronizedMap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedAsMap<K, V>;ADDED*;.SynchronizedMap<K, Collection<V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SynchronizedAsMapValues<V>;ADDED*;.SynchronizedCollection<Collection<V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SetFromMap<E>;ADDED*;.AbstractSet<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SetView<E>;ADDED*;.AbstractSet<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.FilteredSet<E>;ADDED*;.FilteredCollection<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.NullOutputException;ADDED*;.NullPointerException
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.MutableClassToInstanceMap<B>;ADDED*;.ConstrainedMap<Class<? extends B>, B>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.SetMultiset<E>;ADDED*;.ForwardingCollection<E>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.UnmodifiableAsMapValues<V>;ADDED*;.ForwardingCollection<Collection<V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.UnmodifiableListMultimap<K, V>;ADDED*;.UnmodifiableMultimap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.UnmodifiableSetMultimap<K, V>;ADDED*;.UnmodifiableMultimap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.UnmodifiableSortedSetMultimap<K, V>;ADDED*;.UnmodifiableSetMultimap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.UnmodifiableAsMapEntries<K, V>;ADDED*;.ForwardingSet<Entry<K, Collection<V>>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.UnmodifiableEntries<K, V>;ADDED*;.ForwardingCollection<Entry<K, V>>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.UnmodifiableEntrySet<K, V>;ADDED*;.UnmodifiableEntries<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.UnmodifiableBiMap<K, V>;ADDED*;.ForwardingMap<K, V>
b492c5570480e6fa1162757ccec9012174dd662f;CLASS;com.google.common.collect.TransformedValuesMap<K, V1, V2>;ADDED*;.AbstractMap<K, V2>
