CommitNumber;Entity;Method;Change
31fc20a56f5d53ee21c4d1f3c7143ddb54071417;METHOD;org.mime4j.message.TempFileBinaryBody.TempFileBinaryBody(InputStream);BODY_MODIFIED
31fc20a56f5d53ee21c4d1f3c7143ddb54071417;METHOD;org.mime4j.message.TempFileBinaryBody.writeTo(OutputStream);BODY_MODIFIED
31fc20a56f5d53ee21c4d1f3c7143ddb54071417;METHOD;org.mime4j.message.TempFileTextBody.TempFileTextBody(InputStream,String);BODY_MODIFIED
31fc20a56f5d53ee21c4d1f3c7143ddb54071417;METHOD;org.mime4j.message.TempFileTextBody.writeTo(OutputStream);BODY_MODIFIED
a455e654f241c4900f8477a1eefce170c0349707;METHOD;org.mime4j.message.BodyPart.writeTo(OutputStream);BODY_MODIFIED
a455e654f241c4900f8477a1eefce170c0349707;METHOD;org.mime4j.message.Message.writeTo(OutputStream);BODY_MODIFIED
a455e654f241c4900f8477a1eefce170c0349707;METHOD;org.mime4j.message.Multipart.writeTo(OutputStream);BODY_MODIFIED
f83f99896612f88a3b754c5f4d43fd9b49d68764;METHOD;org.mime4j.message.Header.toString();BODY_MODIFIED
8bd9e07432bb77018d064f9d901b58375b84549d;METHOD;org.mime4j.message.Header.toString();BODY_MODIFIED
8bd9e07432bb77018d064f9d901b58375b84549d;METHOD;org.mime4j.message.Message.writeTo(OutputStream);BODY_MODIFIED
8bd9e07432bb77018d064f9d901b58375b84549d;METHOD;org.mime4j.message.Multipart.writeTo(OutputStream);BODY_MODIFIED
8bd9e07432bb77018d064f9d901b58375b84549d;METHOD;org.mime4j.message.Multipart.getBoundary();BODY_MODIFIED
8bd9e07432bb77018d064f9d901b58375b84549d;METHOD;org.mime4j.message.MessageParserTest.getStructure(Entity,String,String);BODY_MODIFIED
8bd9e07432bb77018d064f9d901b58375b84549d;METHOD;org.mime4j.message.MessageTest.testWriteTo();BODY_MODIFIED
8bd9e07432bb77018d064f9d901b58375b84549d;METHOD;org.mime4j.message.MessageTest.testAddHeaderWriteTo();BODY_MODIFIED
8bd9e07432bb77018d064f9d901b58375b84549d;METHOD;org.mime4j.message.MessageTest.getRawMessageAsByteArray();BODY_MODIFIED
7daa939a8e4991e021d98098a1d3ebb710c4e669;METHOD;org.mime4j.message.BodyPart.writeTo(OutputStream);BODY_MODIFIED
7daa939a8e4991e021d98098a1d3ebb710c4e669;METHOD;org.mime4j.message.Header.toString();BODY_MODIFIED
7daa939a8e4991e021d98098a1d3ebb710c4e669;METHOD;org.mime4j.message.Message.writeTo(OutputStream);BODY_MODIFIED
10e4c98ef4a8099226845065563d8c9f38241143;METHOD;org.mime4j.message.BodyPart.writeTo(OutputStream);BODY_MODIFIED
10e4c98ef4a8099226845065563d8c9f38241143;METHOD;org.mime4j.message.Message.writeTo(OutputStream);BODY_MODIFIED
10e4c98ef4a8099226845065563d8c9f38241143;METHOD;org.mime4j.message.Multipart.writeTo(OutputStream);BODY_MODIFIED
1fae7aff5221a6a58d2a0c960d5bca25578a01ec;METHOD;org.mime4j.decoder.DecoderUtil.decodeEncodedWords(String);BODY_MODIFIED
1fae7aff5221a6a58d2a0c960d5bca25578a01ec;METHOD;org.mime4j.decoder.DecoderUtilTest.testDecodeEncodedWords();BODY_MODIFIED
9d2b15bd5382cc2590e5de75e048da4021d64df0;METHOD;org.mime4j.message.Header.writeTo(OutputStream);BODY_MODIFIED
9d2b15bd5382cc2590e5de75e048da4021d64df0;METHOD;org.mime4j.message.Multipart.writeTo(OutputStream);BODY_MODIFIED
d5ee778b7f9bc1054ac2c63799f4b5018d6f66cd;METHOD;org.mime4j.message.TempFileTextBody.getReader();BODY_MODIFIED
390ef3448d8bc3f6e6f068523f1811ac76ac44c1;METHOD;org.mime4j.message.MessageParserTest.suite();BODY_MODIFIED
390ef3448d8bc3f6e6f068523f1811ac76ac44c1;METHOD;org.mime4j.message.MessageParserTest.runTest();BODY_MODIFIED
390ef3448d8bc3f6e6f068523f1811ac76ac44c1;METHOD;org.mime4j.message.MessageParserTest.getStructure(Entity,String,String);BODY_MODIFIED
14052507d24ccd294eaeeac33bc2032408779593;METHOD;org.apache.james.mime4j.field.address.MailboxList.MailboxList(ArrayList,boolean);BODY_MODIFIED
7c5051689b93357334de0397198e568e2fcef07b;METHOD;org.apache.james.mime4j.field.address.AddressTest.testLexicalError();BODY_MODIFIED
a40bd691714838f141b12f3152b9195bbe4a0509;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testParse();BODY_MODIFIED
733c5a703ab43c22f56369cb454348cfb6fa81f4;METHOD;org.apache.james.mime4j.message.Header.writeTo(OutputStream);BODY_MODIFIED
b26da87a91434425eacc11942a17f929422f5f1c;METHOD;org.apache.james.mime4j.decoder.QuotedPrintableInputStreamTest.testDecode();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.message.Header.Header(InputStream);BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.message.Message.Message(InputStream);BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testBoundaryInEpilogue();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testParseOneLineFields();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testCRWithoutLFInHeader();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testParseMultiLineFields();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testStop();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testInvalidFields();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testEmptyStream();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testEmpyHeader();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testEmptyBody();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testPrematureEOFAfterFields();BODY_MODIFIED
25af6e2b18d36f758c03b1d340276ea1b6afd851;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testParse();BODY_MODIFIED
906f8ea6879aab9d55f92e87af89c7ce554ddd99;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testParse();BODY_MODIFIED
a8d90d9c4fdf4426485a5cafce987001b4953090;METHOD;org.apache.james.mime4j.Entity.setParseBodyPartState();BODY_MODIFIED
a8d90d9c4fdf4426485a5cafce987001b4953090;METHOD;org.apache.james.mime4j.Entity.next();BODY_MODIFIED
a8d90d9c4fdf4426485a5cafce987001b4953090;METHOD;org.apache.james.mime4j.Entity.initHeaderParsing();BODY_MODIFIED
966a27cae8fe4c493744bf3090858ad5d3b720e5;METHOD;org.apache.james.mime4j.Entity.parseField();BODY_MODIFIED
f472147eb521c157de6e44e78f8f46d99daad106;METHOD;org.apache.james.mime4j.Entity.next();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptor.getMimeType();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptor.getBoundary();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptor.getCharset();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptor.getParameters();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptor.getTransferEncoding();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.SimpleContentHandler.body(BodyDescriptor,InputStream);BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testGetParameters();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testAddField();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testGetMimeType();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testParameters();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.Entity.next();BODY_MODIFIED
d34dd48ee07af23017c607f0741dc1183253a97f;METHOD;org.apache.james.mime4j.Entity.initHeaderParsing();BODY_MODIFIED
f7f9a0ba4f48f80bcd181eb9c5e435368eb8d66f;METHOD;org.apache.james.mime4j.util.MimeUtil.isBase64Encoding(String);BODY_MODIFIED
f7f9a0ba4f48f80bcd181eb9c5e435368eb8d66f;METHOD;org.apache.james.mime4j.util.MimeUtil.isQuotedPrintableEncoded(String);BODY_MODIFIED
37e7ad9614c90b334f1a42410960254f77160bc3;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testGetParameters();BODY_MODIFIED
37e7ad9614c90b334f1a42410960254f77160bc3;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testAddField();BODY_MODIFIED
37e7ad9614c90b334f1a42410960254f77160bc3;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testGetMimeType();BODY_MODIFIED
37e7ad9614c90b334f1a42410960254f77160bc3;METHOD;org.apache.james.mime4j.BodyDescriptorTest.testParameters();BODY_MODIFIED
127ebac7c9c7607d2a1b00d5d1961af3b5a3b182;METHOD;org.apache.james.mime4j.field.ContentTransferEncodingField.getEncoding(ContentTransferEncodingField);BODY_MODIFIED
127ebac7c9c7607d2a1b00d5d1961af3b5a3b182;METHOD;org.apache.james.mime4j.util.MimeUtil.isBase64Encoding(String);BODY_MODIFIED
127ebac7c9c7607d2a1b00d5d1961af3b5a3b182;METHOD;org.apache.james.mime4j.util.MimeUtil.isQuotedPrintableEncoded(String);BODY_MODIFIED
764353092ec375ec27a186f1f70c5098d3415145;METHOD;org.apache.james.mime4j.message.Multipart.writeTo(OutputStream);BODY_MODIFIED
3e8d760fad98ae7e91dc7c48c16f60c0574fea17;METHOD;org.apache.james.mime4j.MimeStreamParser.setRaw(boolean);BODY_MODIFIED
3e8d760fad98ae7e91dc7c48c16f60c0574fea17;METHOD;org.apache.james.mime4j.Entity.next();BODY_MODIFIED
4efef4a3804cf92051e8b3acb0ca9ab35cbaa592;METHOD;org.apache.james.mime4j.Entity.setParseBodyPartState();BODY_MODIFIED
4efef4a3804cf92051e8b3acb0ca9ab35cbaa592;METHOD;org.apache.james.mime4j.Entity.next();BODY_MODIFIED
4efef4a3804cf92051e8b3acb0ca9ab35cbaa592;METHOD;org.apache.james.mime4j.StreamCursor.advance();BODY_MODIFIED
37cf3c75e654dc0ba8a70dff2e56bbafa044224f;METHOD;org.apache.james.mime4j.Entity.next();BODY_MODIFIED
37cf3c75e654dc0ba8a70dff2e56bbafa044224f;METHOD;org.apache.james.mime4j.MimeTokenNoRecurseTest.testWhenRecurseShouldRecurseInnerMail();BODY_MODIFIED
37cf3c75e654dc0ba8a70dff2e56bbafa044224f;METHOD;org.apache.james.mime4j.MultipartStreamTest.testInputStreamShouldReadOnlyMessage();BODY_MODIFIED
c83ed25afc1c526e9d9ffc9f1931c898c240cdd2;METHOD;org.apache.james.mime4j.DefaultBodyDescriptor.DefaultBodyDescriptor(BodyDescriptor);BODY_MODIFIED
c83ed25afc1c526e9d9ffc9f1931c898c240cdd2;METHOD;org.apache.james.mime4j.DefaultBodyDescriptor.addField(String,String);BODY_MODIFIED
c83ed25afc1c526e9d9ffc9f1931c898c240cdd2;METHOD;org.apache.james.mime4j.message.MultipartFormTest.testMultipartFormContent();BODY_MODIFIED
c83ed25afc1c526e9d9ffc9f1931c898c240cdd2;METHOD;org.apache.james.mime4j.MimeTokenStreamBodyDescriptorTest.setUp();BODY_MODIFIED
c83ed25afc1c526e9d9ffc9f1931c898c240cdd2;METHOD;org.apache.james.mime4j.message.MessageCompleteMailTest.testMultipartMixed();BODY_MODIFIED
40424f0625156e2055896517068298c17967baef;METHOD;org.apache.james.mime4j.message.Header.writeTo(final,int);BODY_MODIFIED
c3319669fda0e0dc2e5369cb42d00cc683bd026e;METHOD;org.apache.james.mime4j.message.Message.writeTo(OutputStream,int);BODY_MODIFIED
c3319669fda0e0dc2e5369cb42d00cc683bd026e;METHOD;org.apache.james.mime4j.message.Multipart.writeTo(final,int);BODY_MODIFIED
c3319669fda0e0dc2e5369cb42d00cc683bd026e;METHOD;org.apache.james.mime4j.message.MessageTest.testWriteTo();BODY_MODIFIED
c3319669fda0e0dc2e5369cb42d00cc683bd026e;METHOD;org.apache.james.mime4j.message.MessageTest.testAddHeaderWriteTo();BODY_MODIFIED
c3319669fda0e0dc2e5369cb42d00cc683bd026e;METHOD;org.apache.james.mime4j.message.MultipartFormTest.testMultipartFormContent();BODY_MODIFIED
0a5c7bb61d7e1f77c2482a4f33d408622874a317;METHOD;org.apache.james.mime4j.message.Message.writeTo(OutputStream,int);BODY_MODIFIED
0a5c7bb61d7e1f77c2482a4f33d408622874a317;METHOD;org.apache.james.mime4j.message.Multipart.writeTo(final,int);BODY_MODIFIED
0a5c7bb61d7e1f77c2482a4f33d408622874a317;METHOD;org.apache.james.mime4j.message.TempFileBinaryBody.writeTo(OutputStream,int);BODY_MODIFIED
0a5c7bb61d7e1f77c2482a4f33d408622874a317;METHOD;org.apache.james.mime4j.message.MultipartFormTest.testMultipartFormContent();BODY_MODIFIED
0a5c7bb61d7e1f77c2482a4f33d408622874a317;METHOD;org.apache.james.mime4j.message.MessageWriteToTest.testSimpleMailStrictIgnore();BODY_MODIFIED
0a5c7bb61d7e1f77c2482a4f33d408622874a317;METHOD;org.apache.james.mime4j.message.MessageWriteToTest.testSimpleMailStrictError();BODY_MODIFIED
0a5c7bb61d7e1f77c2482a4f33d408622874a317;METHOD;org.apache.james.mime4j.message.MessageWriteToTest.testSimpleMailLenient();BODY_MODIFIED
fa6ce4d8ecece8219a7830bb7365e2e4f3466cda;METHOD;org.apache.james.mime4j.message.TempFileBinaryBody.writeTo(OutputStream,int);BODY_MODIFIED
153257ad3dd3a47e9951dc98c6bff0eef11d4aa6;METHOD;org.apache.james.mime4j.message.TempFileBinaryBody.TempFileBinaryBody(final,final);BODY_MODIFIED
153257ad3dd3a47e9951dc98c6bff0eef11d4aa6;METHOD;org.apache.james.mime4j.message.TempFileBinaryBody.writeTo(OutputStream,int);BODY_MODIFIED
153257ad3dd3a47e9951dc98c6bff0eef11d4aa6;METHOD;org.apache.james.mime4j.message.TempFileTextBody.TempFileTextBody(InputStream,String);BODY_MODIFIED
153257ad3dd3a47e9951dc98c6bff0eef11d4aa6;METHOD;org.apache.james.mime4j.message.TempFileTextBody.writeTo(OutputStream,int);BODY_MODIFIED
0305055ddb918504bb21e4f10a16286b00f3db80;METHOD;org.apache.james.mime4j.MimeException.MimeException(String,Throwable);BODY_MODIFIED
4cab2a8dd607acad024020b883707fdb4b684530;METHOD;org.apache.james.mime4j.field.address.AddressTest.testExceptionTree();BODY_MODIFIED
4cab2a8dd607acad024020b883707fdb4b684530;METHOD;org.apache.james.mime4j.field.contenttype.ContentTypeTest.testExceptionTree();BODY_MODIFIED
4cab2a8dd607acad024020b883707fdb4b684530;METHOD;org.apache.james.mime4j.field.datetime.DateTimeTest.testExceptionTree();BODY_MODIFIED
74df48ff2e9541cf960e771d12aed70273a83dd2;METHOD;org.apache.james.mime4j.MimeStreamParserTest.testEmptyStream();BODY_MODIFIED
ded6feba4849300d1634f2956b3bcab624391019;METHOD;org.apache.james.mime4j.decoder.QuotedPrintableInputStream.fillBuffer();BODY_MODIFIED
ded6feba4849300d1634f2956b3bcab624391019;METHOD;org.apache.james.mime4j.util.MessageUtils.isASCII(char);BODY_MODIFIED
ded6feba4849300d1634f2956b3bcab624391019;METHOD;org.apache.james.mime4j.EncodeUtils.toInt(byte);BODY_MODIFIED
bb6607a6cb9a0f2d1c3fd1298e0410dd76f6afb6;METHOD;org.apache.james.mime4j.decoder.DecoderUtilTest.testDecodeQ();BODY_MODIFIED
bb6607a6cb9a0f2d1c3fd1298e0410dd76f6afb6;METHOD;org.apache.james.mime4j.decoder.DecoderUtilTest.testDecodeEncodedWords();BODY_MODIFIED
78699d466a8c3dd67b78a347cbf4043b2e26d952;METHOD;org.apache.james.mime4j.MimeTokenStreamReaderTest.testShouldReadOnePartMime8859Body();BODY_MODIFIED
78699d466a8c3dd67b78a347cbf4043b2e26d952;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.MaximalBodyDescriptor(BodyDescriptor);BODY_MODIFIED
78699d466a8c3dd67b78a347cbf4043b2e26d952;METHOD;org.apache.james.mime4j.MaximalBodyDescriptor.addField(String,String);BODY_MODIFIED
