CommitNumber;Entity;Class;Change;Superclass
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.AttributeInfo;ADDED*;org.apache.tomcat.util.modeler.FeatureInfo
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.BaseNotification;ADDED*;javax.management.Notification
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.ConstructorInfo;ADDED*;org.apache.tomcat.util.modeler.FeatureInfo
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.JndiJmx;ADDED*;org.apache.tomcat.util.modeler.BaseModelMBean
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.NotificationInfo;ADDED*;org.apache.tomcat.util.modeler.FeatureInfo
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.OperationInfo;ADDED*;org.apache.tomcat.util.modeler.FeatureInfo
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.ParameterInfo;ADDED*;org.apache.tomcat.util.modeler.FeatureInfo
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDOMSource;ADDED*;org.apache.tomcat.util.modeler.modules.ModelerSource
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDigesterSource;ADDED*;org.apache.tomcat.util.modeler.modules.ModelerSource
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDynamicMBeanSource;ADDED*;org.apache.tomcat.util.modeler.modules.ModelerSource
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.modules.MbeansDescriptorsIntrospectionSource;ADDED*;org.apache.tomcat.util.modeler.modules.ModelerSource
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.modules.MbeansDescriptorsSerSource;ADDED*;org.apache.tomcat.util.modeler.modules.ModelerSource
550f6379d2e184ba218895d6d8c6760c61805214;CLASS;org.apache.tomcat.util.modeler.modules.MbeansSource;ADDED*;org.apache.tomcat.util.modeler.modules.ModelerSource
c38b7baaa710a7c876aef47a27b97614ad9efe60;CLASS;org.apache.catalina.startup.CallParamMultiRule;ADDED;org.apache.tomcat.util.digester.CallParamRule
c38b7baaa710a7c876aef47a27b97614ad9efe60;CLASS;org.apache.catalina.startup.CallMethodMultiRule;ADDED;org.apache.tomcat.util.digester.CallMethodRule
c38b7baaa710a7c876aef47a27b97614ad9efe60;CLASS;org.apache.catalina.startup.IgnoreAnnotationsRule;ADDED;org.apache.tomcat.util.digester.Rule
4e45752f90afa7adf438a4bef8c894eb5a19989d;CLASS;org.apache.catalina.deploy.ContextService;ADDED*;ResourceBase
62d01f2c3caae42b60161c8566015aee48648949;CLASS;org.apache.catalina.servlets.CometServlet;ADDED*;javax.servlet.http.HttpServlet
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.catalina.manager.HTMLManagerServlet;ADDED*;org.apache.catalina.manager.ManagerServlet
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.catalina.manager.JMXProxyServlet;ADDED*;javax.servlet.http.HttpServlet
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.catalina.manager.ManagerServlet;ADDED*;javax.servlet.http.HttpServlet
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.catalina.manager.StatusManagerServlet;ADDED*;javax.servlet.http.HttpServlet
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.catalina.manager.host.HTMLHostManagerServlet;ADDED*;org.apache.catalina.manager.host.HostManagerServlet
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.catalina.manager.host.HostManagerServlet;ADDED*;javax.servlet.http.HttpServlet
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.DeferredFileOutputStream;ADDED*;org.apache.tomcat.util.http.fileupload.ThresholdingOutputStream
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.DiskFileUpload;ADDED*;FileUploadBase
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.FileItem;ADDED*;java.io.Serializable
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.FileUpload;ADDED*;FileUploadBase
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.UnknownSizeException;ADDED*;org.apache.tomcat.util.http.fileupload.FileUploadException
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.SizeLimitExceededException;ADDED*;org.apache.tomcat.util.http.fileupload.FileUploadException
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.FileUploadException;ADDED*;Exception
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.MalformedStreamException;ADDED*;java.io.IOException
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.IllegalBoundaryException;ADDED*;java.io.IOException
f1911d8c5f0dc3774fe731ae27d4a9a9b39197c3;CLASS;org.apache.tomcat.util.http.fileupload.ThresholdingOutputStream;ADDED*;java.io.OutputStream
8d339d077f3b20175e639bd0f5f1f84fe940afed;CLASS;org.apache.tomcat.util.net.SecureNioChannel;ADDED*;org.apache.tomcat.util.net.NioChannel
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.CatalinaCluster;ADDED*;org.apache.catalina.Cluster
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.ClusterDeployer;ADDED*;org.apache.catalina.tribes.ChannelListener
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.ClusterManager;ADDED*;org.apache.catalina.Manager
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.ClusterMessage;ADDED*;java.io.Serializable
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.ClusterRuleSet;ADDED*;org.apache.tomcat.util.digester.RuleSetBase
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.ClusterSession;ADDED*;org.apache.catalina.Session
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.context.ReplicatedContext;ADDED*;org.apache.catalina.core.StandardContext
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.deploy.FarmWarDeployer;ADDED*;org.apache.catalina.ha.ClusterListener
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.deploy.FileMessage;ADDED*;org.apache.catalina.ha.ClusterMessageBase
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.BackupManager;ADDED*;org.apache.catalina.session.StandardManager
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.ClusterManagerBase;ADDED*;org.apache.catalina.session.ManagerBase
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.ClusterSessionListener;ADDED*;org.apache.catalina.ha.ClusterListener
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.DeltaManager;ADDED*;org.apache.catalina.ha.session.ClusterManagerBase
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.DeltaSession;ADDED*;org.apache.catalina.session.StandardSession
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.JvmRouteBinderValve;ADDED*;org.apache.catalina.valves.ValveBase
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.JvmRouteSessionIDBinderListener;ADDED*;org.apache.catalina.ha.ClusterListener
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.ReplicatedSession;ADDED*;org.apache.catalina.session.StandardSession.org.apache.catalina.session.StandardSession
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.SessionIDMessage;ADDED*;org.apache.catalina.ha.ClusterMessageBase
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.SessionMessage;ADDED*;org.apache.catalina.ha.ClusterMessage
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.SessionMessageImpl;ADDED*;org.apache.catalina.ha.ClusterMessageBase
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.session.SimpleTcpReplicationManager;ADDED*;org.apache.catalina.session.StandardManager
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.ha.tcp.ReplicationValve;ADDED*;org.apache.catalina.valves.ValveBase
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.tribes.ChannelException;ADDED*;Exception
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.tribes.ChannelInterceptor;ADDED*;org.apache.catalina.tribes.MembershipListener
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.tribes.ChannelMessage;ADDED*;java.io.Serializable
bba16653d1be84544236f59e620c31fa99953906;CLASS;org.apache.catalina.tribes.ChannelReceiver;ADDED*;org.apache.catalina.tribes.Heartbeat
