CommitNumber;Entity;Method;Change
dc7e2fdd9d57d3e7fed58ea9dbbfb0684c8383d9;METHOD;org.apache.cassandra.db.FlushRunnable.writeSortedContents(<name>Future,File);MODIFIED
dc7e2fdd9d57d3e7fed58ea9dbbfb0684c8383d9;METHOD;org.apache.cassandra.db.FlushRunnable.createFlushWriter(String);MODIFIED
dc7e2fdd9d57d3e7fed58ea9dbbfb0684c8383d9;METHOD;org.apache.cassandra.db.FlushRunnable.FlushRunnable(CountDownLatch,<name>Future);MODIFIED
dc7e2fdd9d57d3e7fed58ea9dbbfb0684c8383d9;METHOD;org.apache.cassandra.db.MeteringRunnable.run();MODIFIED
dc7e2fdd9d57d3e7fed58ea9dbbfb0684c8383d9;METHOD;org.apache.cassandra.db.compaction.BackgroundCompactionTask.run();MODIFIED
dc7e2fdd9d57d3e7fed58ea9dbbfb0684c8383d9;METHOD;org.apache.cassandra.db.compaction.CompactionExecutor.afterExecute(Runnable,Throwable);MODIFIED
7a87fc1186f39678382cf9b3e1dd224d9c71aead;METHOD;org.apache.cassandra.service.SpeculatingReadExecutor.maybeTryAdditionalReplicas();MODIFIED
7a87fc1186f39678382cf9b3e1dd224d9c71aead;METHOD;org.apache.cassandra.service.AlwaysSpeculatingReadExecutor.executeAsync();MODIFIED
20c419b9480e0e5b3c1da53a106b2a6760be35b9;METHOD;org.apache.cassandra.service.AlwaysSpeculatingReadExecutor.executeAsync();MODIFIED
ff76003866152551e66893b2387e436e47efdf32;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.getColumnMeta(<name>Cassandra,boolean,boolean);MODIFIED
ff76003866152551e66893b2387e436e47efdf32;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.getCfDefinition(String,String,<name>Cassandra);MODIFIED
ff76003866152551e66893b2387e436e47efdf32;METHOD;org.apache.cassandra.hadoop.pig.CqlStorage.getColumnMetadata(<name>Cassandra,boolean);MODIFIED
308a3e41e7a70be90ab3335601f3a67aa93d8927;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.getCfDef(String);MODIFIED
308a3e41e7a70be90ab3335601f3a67aa93d8927;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.getInputFormat();MODIFIED
308a3e41e7a70be90ab3335601f3a67aa93d8927;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.getOutputFormat();MODIFIED
308a3e41e7a70be90ab3335601f3a67aa93d8927;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.initSchema(String);MODIFIED
308a3e41e7a70be90ab3335601f3a67aa93d8927;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.cfdefToString(CfDef);MODIFIED
308a3e41e7a70be90ab3335601f3a67aa93d8927;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.cfdefFromString(String);MODIFIED
308a3e41e7a70be90ab3335601f3a67aa93d8927;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.getPartitionKeys(String,Job);MODIFIED
308a3e41e7a70be90ab3335601f3a67aa93d8927;METHOD;org.apache.cassandra.hadoop.pig.AbstractCassandraStorage.getIndexes();MODIFIED
ed9d11a72feac5840b1c725e71e22f56a72c8dca;METHOD;org.apache.cassandra.db.ColumnFamilyStore.reload();MODIFIED
ed9d11a72feac5840b1c725e71e22f56a72c8dca;METHOD;org.apache.cassandra.db.ColumnFamilyStore.maybeReloadCompactionStrategy();MODIFIED
16f19a7cce409da4e8ab9522c29450b17879e8d9;METHOD;org.apache.cassandra.db.FlushRunnable.writeSortedContents(<name>Future,File);MODIFIED
