CommitNumber;Entity;Class;Change;Superclass
dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50;CLASS;org.apache.cassandra.config.DatabaseDescriptor;ADDED*;org.apache.cassandra.utils.Allocator
dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50;CLASS;org.apache.cassandra.db.columniterator.IdentityQueryFilter;ADDED*;org.apache.cassandra.db.filter.SliceQueryFilter
dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50;CLASS;org.apache.cassandra.db.filter.TombstoneOverwhelmingException;ADDED*;RuntimeException
dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50;CLASS;org.apache.cassandra.service.StorageService;ADDED*;javax.management.NotificationBroadcasterSupport
dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50;CLASS;org.apache.cassandra.service.StorageServiceMBean;ADDED*;javax.management.NotificationEmitter
8f88670f721f4ab4206c9b2d5594eabf1b46cebe;CLASS;org.apache.cassandra.db.UnsortedColumns;ADDED*;AbstractThreadUnsafeSortedColumns
58eebc9a977ef7dfafe6ea568cece963191598ce;CLASS;org.apache.cassandra.db.index.composites.CompositesIndexOnClusteringKey;ADDED*;CompositesIndex
58eebc9a977ef7dfafe6ea568cece963191598ce;CLASS;org.apache.cassandra.db.index.composites.CompositesIndexOnPartitionKey;ADDED*;CompositesIndex
58eebc9a977ef7dfafe6ea568cece963191598ce;CLASS;org.apache.cassandra.db.index.composites.CompositesSearcher;ADDED*;org.apache.cassandra.db.index.SecondaryIndexSearcher
705e8d5a7d179b4b9b4e002cb549af3848920236;CLASS;org.apache.cassandra.db.AbstractScanIterator;ADDED*;<name>AbstractIterator
898ce5f046fe2405a521f3128252d28ae9748f58;CLASS;org.apache.cassandra.db.FlushRunnable;ADDED*;org.apache.cassandra.io.util.DiskAwareRunnable
898ce5f046fe2405a521f3128252d28ae9748f58;CLASS;org.apache.cassandra.db.compaction.ValidationCompactionIterable;ADDED*;CompactionIterable
898ce5f046fe2405a521f3128252d28ae9748f58;CLASS;org.apache.cassandra.db.compaction.ValidationCompactionController;ADDED*;CompactionController
898ce5f046fe2405a521f3128252d28ae9748f58;CLASS;org.apache.cassandra.db.compaction.CompactionExecutor;ADDED*;ThreadPoolExecutor
898ce5f046fe2405a521f3128252d28ae9748f58;CLASS;org.apache.cassandra.db.compaction.ValidationExecutor;ADDED*;CompactionExecutor
898ce5f046fe2405a521f3128252d28ae9748f58;CLASS;org.apache.cassandra.db.compaction.CleanupInfo;ADDED*;CompactionInfo.Holder.CompactionInfo.Holder
65773b1cdcec02eef0d73c15890fd0071bb78949;CLASS;org.apache.cassandra.db.SSTableIntervalTree;ADDED*;<name>IntervalTree
d7bf566aed0cd8add3707f97aa309b2bba9b28ee;CLASS;org.apache.cassandra.config.CFMetaData;ADDED*;org.apache.cassandra.db.compaction.AbstractCompactionStrategy
8693a26e42851b99716317f8c44d571f674fb697;CLASS;org.apache.cassandra.service.SpeculatingReadExecutor;ADDED*;AbstractReadExecutor
8693a26e42851b99716317f8c44d571f674fb697;CLASS;org.apache.cassandra.service.AlwaysSpeculatingReadExecutor;ADDED*;AbstractReadExecutor
8693a26e42851b99716317f8c44d571f674fb697;CLASS;org.apache.cassandra.service.LocalReadRunnable;ADDED*;DroppableRunnable
