CommitNumber;Entity;Class;Change;Superclass
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.compiler.regression.AnnotationTest;ADDED*;AbstractComparableTest
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.compiler.regression.EnumTest;ADDED*;AbstractComparableTest
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.ASTConverter15JLS4Test;ADDED*;ConverterTestSetup
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.TestASTRequestor;ADDED*;ASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.TestASTRequestor;ADDED*;ASTRequestorASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.CompilationUnitRequestor;ADDED*;ASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.CompilationUnitRequestor;ADDED*;ASTRequestorASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.BindingRequestor;ADDED*;ASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.BindingRequestor;ADDED*;ASTRequestorASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.BindingRequestor;ADDED*;ASTRequestorASTRequestorASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.BindingRequestor;ADDED*;ASTRequestorASTRequestorASTRequestorASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.BindingRequestor;ADDED*;ASTRequestorASTRequestorASTRequestorASTRequestorASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.BindingRequestor;ADDED*;ASTRequestorASTRequestorASTRequestorASTRequestorASTRequestorASTRequestor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.MyVisitor;ADDED*;ASTVisitor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.MyVisitor;ADDED*;ASTVisitorASTVisitor
0ec27a521b8048c2a1b0de9eaba1eff6e750d179;CLASS;org.eclipse.jdt.core.tests.dom.ASTConverter15Test;ADDED*;ConverterTestSetup
41a151c15f2313eec4e0f32689b6c8dd6f33167a;CLASS;org.eclipse.jdt.internal.compiler.ast.QualifiedAllocationExpression;ADDED*;AllocationExpression
41a151c15f2313eec4e0f32689b6c8dd6f33167a;CLASS;org.eclipse.jdt.core.tests.compiler.regression.NullAnnotationTest;ADDED*;AbstractComparableTest
1538facbe020906d8e9620bcca922106c178a710;CLASS;org.eclipse.jdt.internal.compiler.lookup.SourceTypeBinding;ADDED*;ReferenceBinding
37a1b5aeed13a52bbdce79c9fa01b824ad2aa7f5;CLASS;org.eclipse.jdt.internal.compiler.flow.LoopingFlowContext;ADDED*;SwitchFlowContext
91d91920fb03542a8e9c4ef9ece653bfcae7e24b;CLASS;org.eclipse.jdt.core.JavaCore;ADDED*;org.eclipse.core.runtime.Plugin
dcc90ac4a7bfde7969fd3cd0f96c9b0fd4416eec;CLASS;org.eclipse.jdt.compiler.tool.tests.CompilerInvocationTests;ADDED*;AbstractCompilerToolTest
dcc90ac4a7bfde7969fd3cd0f96c9b0fd4416eec;CLASS;org.eclipse.jdt.compiler.tool.tests.GetLocationDetector;ADDED*;<name>ForwardingStandardJavaFileManager
dcc90ac4a7bfde7969fd3cd0f96c9b0fd4416eec;CLASS;org.eclipse.jdt.compiler.tool.tests.GetJavaFileDetector;ADDED*;<name>ForwardingStandardJavaFileManager
dcc90ac4a7bfde7969fd3cd0f96c9b0fd4416eec;CLASS;org.eclipse.jdt.compiler.tool.tests.GetJavaFileForInputDetector;ADDED*;GetJavaFileDetector
dcc90ac4a7bfde7969fd3cd0f96c9b0fd4416eec;CLASS;org.eclipse.jdt.compiler.tool.tests.GetJavaFileForOutputDetector;ADDED*;GetJavaFileDetector
dcc90ac4a7bfde7969fd3cd0f96c9b0fd4416eec;CLASS;org.eclipse.jdt.compiler.tool.tests.SetLocationDetector;ADDED*;<name>ForwardingStandardJavaFileManager
dcc90ac4a7bfde7969fd3cd0f96c9b0fd4416eec;CLASS;org.eclipse.jdt.compiler.tool.tests.SubstringDetector;ADDED*;java.util.logging.Logger.java.util.logging.Logger
9337b3165955bcb5471291138f985bf635bc2c65;CLASS;org.eclipse.jdt.core.tests.compiler.regression.GenericsRegressionTest;ADDED*;AbstractComparableTest
ce089180323dc4b5ef74d43ea0b4475c385fcd97;CLASS;org.eclipse.jdt.internal.compiler.lookup.MethodVerifier15;ADDED*;MethodVerifier
ce089180323dc4b5ef74d43ea0b4475c385fcd97;CLASS;org.eclipse.jdt.core.tests.compiler.regression.MethodVerifyTest;ADDED*;AbstractComparableTest
e2e97eb1ed318448b72d60aca6f0daa8c5b48408;CLASS;org.eclipse.jdt.internal.compiler.ast.AllocationExpression;ADDED*;Expression
4cdd1f8c2ff41620decbc1c851f00b9241512965;CLASS;org.eclipse.jdt.internal.compiler.lookup.ParameterizedGenericMethodBinding;ADDED*;ParameterizedMethodBinding
404a2ab8d95764fff1652dfbb3727308f694ee0d;CLASS;org.eclipse.jdt.internal.compiler.ast.CastExpression;ADDED*;Expression
9e7e7a1f996b0899d3bb9d9b10b64136b9faaa31;CLASS;org.eclipse.jdt.core.tests.compiler.regression.BatchCompilerTest;ADDED*;AbstractRegressionTest
9e7e7a1f996b0899d3bb9d9b10b64136b9faaa31;CLASS;org.eclipse.jdt.core.tests.compiler.regression.StringMatcher;ADDED*;Matcher
9e7e7a1f996b0899d3bb9d9b10b64136b9faaa31;CLASS;org.eclipse.jdt.core.tests.compiler.regression.SubstringMatcher;ADDED*;Matcher
9e7e7a1f996b0899d3bb9d9b10b64136b9faaa31;CLASS;org.eclipse.jdt.core.tests.compiler.regression.StringNormalizer;ADDED*;Normalizer
9e7e7a1f996b0899d3bb9d9b10b64136b9faaa31;CLASS;org.eclipse.jdt.core.tests.compiler.regression.TestCompilationProgress;ADDED*;org.eclipse.jdt.core.compiler.CompilationProgress
9e7e7a1f996b0899d3bb9d9b10b64136b9faaa31;CLASS;org.eclipse.jdt.core.tests.compiler.regression.XMLClasspathsSectionNormalizer;ADDED*;Normalizer
9e7e7a1f996b0899d3bb9d9b10b64136b9faaa31;CLASS;org.eclipse.jdt.core.tests.compiler.regression.LinesRangeNormalizer;ADDED*;Normalizer
002377a0c081bad20cf24753616b65ca91f33618;CLASS;org.eclipse.jdt.core.IField;ADDED*;IMember
002377a0c081bad20cf24753616b65ca91f33618;CLASS;org.eclipse.jdt.internal.core.CompilationUnitStructureRequestor;ADDED*;org.eclipse.jdt.internal.core.util.ReferenceInfoAdapter
002377a0c081bad20cf24753616b65ca91f33618;CLASS;org.eclipse.jdt.core.tests.model.GetSourceTests;ADDED*;ModifyingResourceTests
e91db9a52c48c5d336d3a25efb83227251d6139c;CLASS;org.eclipse.jdt.internal.compiler.ast.ConstructorDeclaration;ADDED*;AbstractMethodDeclaration
e91db9a52c48c5d336d3a25efb83227251d6139c;CLASS;org.eclipse.jdt.core.tests.compiler.regression.ProblemConstructorTest;ADDED*;AbstractRegressionTest
e50e209371b2a65df03cbc73d76285445e8c642a;CLASS;org.eclipse.jdt.compiler.apt.tests.BatchTestUtils;ADDED*;javax.tools.JavaFileObject
870bb4f621dd0b8090426a7261d67a43a6dc9aa9;CLASS;org.eclipse.jdt.core.tests.compiler.regression.ConcurrentBatchCompilerTest;ADDED*;BatchCompilerTest
fcd90e4a2f5e40578ea3ad28461a3e5ea180ab4e;CLASS;org.eclipse.jdt.internal.core.builder.JavaBuilder;ADDED*;IncrementalProjectBuilder
1beadf5b4bd07b60b68336f300a25d7d5f732449;CLASS;org.eclipse.jdt.core.tests.compiler.regression.ResourceLeakTests;ADDED*;AbstractRegressionTest
225cb5cad0f09b6fe3a136f068e94b83e8c95396;CLASS;org.eclipse.jdt.core.tests.model.AbstractJavaModelTests;ADDED*;SuiteOfTestCases
b59f8eb9de3712e3f20399b74f56ab5505001505;CLASS;org.eclipse.jdt.core.tests.model.MatchingRegionsTest;ADDED*;AbstractJavaModelTests
c9c5f11eddd07d2a8299046a3df03585e022db6e;CLASS;org.eclipse.jdt.internal.compiler.ast.MessageSend;ADDED*;Expression
4bd3e6b0c5202bbe675a35ff5ce6eef56daecdd0;CLASS;org.eclipse.jdt.core.tests.model.ClasspathTests;ADDED*;ModifyingResourceTests
4bd3e6b0c5202bbe675a35ff5ce6eef56daecdd0;CLASS;org.eclipse.jdt.core.tests.performance.FullSourceWorkspaceModelTests;ADDED*;FullSourceWorkspaceTests
4bd3e6b0c5202bbe675a35ff5ce6eef56daecdd0;CLASS;org.eclipse.jdt.core.tests.performance.JavaSearchResultCollector;ADDED*;org.eclipse.jdt.core.search.SearchRequestor
4bd3e6b0c5202bbe675a35ff5ce6eef56daecdd0;CLASS;org.eclipse.jdt.core.tests.performance.TypeNameCounter;ADDED*;org.eclipse.jdt.core.search.TypeNameRequestor
a7206b9a1db9f42c4d02bfbc442f9a8443757f7a;CLASS;org.eclipse.jdt.internal.compiler.lookup.ParameterizedTypeBinding;ADDED*;ReferenceBinding
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.internal.compiler.ast.FieldReference;ADDED*;Reference
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.internal.compiler.ast.SingleNameReference;ADDED*;NameReference
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.core.tests.compiler.regression.AbstractRegressionTest;ADDED*;org.eclipse.jdt.core.tests.util.AbstractCompilerTest
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.core.tests.compiler.regression.Excuse;ADDED*;JavacTestOptions
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.core.tests.compiler.regression.EclipseHasABug;ADDED*;Excuse
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.core.tests.compiler.regression.EclipseJustification;ADDED*;Excuse
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.core.tests.compiler.regression.JavacHasABug;ADDED*;Excuse
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.core.tests.compiler.regression.Logger;ADDED*;Thread
1b815ceb49474185b2e7a556292026c81d6ba468;CLASS;org.eclipse.jdt.core.tests.compiler.regression.StackMapAttributeTest;ADDED*;AbstractRegressionTest
8585977b682b225927c2b7dfa188383f714b1d41;CLASS;org.eclipse.jdt.internal.compiler.problem.ProblemReporter;ADDED*;ProblemHandler
8585977b682b225927c2b7dfa188383f714b1d41;CLASS;org.eclipse.jdt.core.tests.compiler.regression.AmbiguousMethodTest;ADDED*;AbstractComparableTest
8585977b682b225927c2b7dfa188383f714b1d41;CLASS;org.eclipse.jdt.core.tests.compiler.regression.GenericTypeTest;ADDED*;AbstractComparableTest
e7041eebe1b9ef3b1ae9f5f9c79b24274ea327d1;CLASS;org.eclipse.jdt.internal.core.search.indexing.AddJarFileToIndex;ADDED*;IndexRequest
e7041eebe1b9ef3b1ae9f5f9c79b24274ea327d1;CLASS;org.eclipse.jdt.internal.core.search.indexing.IndexManager;ADDED*;org.eclipse.jdt.internal.core.search.processing.JobManager
