,CBO,DIT,LCOM,LongMethod,NOC,RFC,WMC,ev(G),instance,iv(G),project_id,v(G)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,.,7.0,108,8.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,etc.testcases.taskdefsdoc.ClassToJavadoc,1.0,108,1.0
2,56.0,0.0,9.0,0.0,3.0,89.0,168.0,7.0,org.apache.tools.ant.AntClassLoader,14.0,108,14.0
3,16.0,0.0,1.0,0.0,2.0,29.0,42.0,6.0,org.apache.tools.ant.AntTypeDefinition,9.0,108,10.0
4,4.0,0.0,2.0,0.0,0.0,11.0,17.0,2.0,org.apache.tools.ant.ArgumentProcessorRegistry,6.0,108,6.0
5,38.0,0.0,5.0,0.0,0.0,14.0,11.0,1.0,org.apache.tools.ant.BuildEvent,1.0,108,1.0
6,664.0,0.0,2.0,0.0,4.0,12.0,11.0,1.0,org.apache.tools.ant.BuildException,1.0,108,1.0
7,29.0,0.0,3.0,1.0,0.0,91.0,112.0,4.0,org.apache.tools.ant.ComponentHelper,16.0,108,17.0
8,3.0,0.0,1.0,0.0,0.0,12.0,5.0,1.0,org.apache.tools.ant.DefaultDefinitions,1.0,108,1.0
9,25.0,0.0,6.0,0.0,9.0,31.0,37.0,6.0,org.apache.tools.ant.DefaultLogger,12.0,108,13.0
10,2.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,org.apache.tools.ant.DemuxInputStream,1.0,108,2.0
11,4.0,0.0,1.0,0.0,0.0,12.0,19.0,1.0,org.apache.tools.ant.DemuxOutputStream,5.0,108,9.0
12,11.0,0.0,3.0,0.0,0.0,44.0,69.0,3.0,org.apache.tools.ant.Diagnostics,10.0,108,11.0
13,75.0,0.0,7.0,1.0,4.0,106.0,193.0,9.0,org.apache.tools.ant.DirectoryScanner,31.0,108,36.0
14,75.0,0.0,7.0,1.0,4.0,106.0,193.0,9.0,org.apache.tools.ant.DirectoryScanner,31.0,108,36.0
15,4.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,org.apache.tools.ant.ExitException,1.0,108,1.0
16,7.0,1.0,1.0,0.0,0.0,7.0,4.0,1.0,org.apache.tools.ant.ExitStatusException,1.0,108,1.0
17,6.0,1.0,1.0,0.0,0.0,6.0,4.0,1.0,org.apache.tools.ant.ExtensionPoint,1.0,108,1.0
18,35.0,0.0,4.0,1.0,0.0,76.0,160.0,15.0,org.apache.tools.ant.IntrospectionHelper,42.0,108,49.0
19,35.0,0.0,4.0,1.0,0.0,76.0,160.0,15.0,org.apache.tools.ant.IntrospectionHelper,42.0,108,49.0
20,35.0,0.0,4.0,1.0,0.0,76.0,160.0,15.0,org.apache.tools.ant.IntrospectionHelper,42.0,108,49.0
21,36.0,0.0,3.0,0.0,0.0,12.0,16.0,4.0,org.apache.tools.ant.Location,3.0,108,4.0
22,30.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,org.apache.tools.ant.MagicNames,1.0,108,1.0
23,32.0,0.0,1.0,0.0,1.0,86.0,150.0,37.0,org.apache.tools.ant.Main,60.0,108,69.0
