,commit,instance
0,7,uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
1,10,uk.ac.ed.ph.aardvark.commons.util.StringUtilities.join()
2,12,uk.ac.ed.ph.aardvark.commons.xml.XSLTPreFilter.XSLTPreFilter()
3,12,uk.ac.ed.ph.aardvark.commons.xml.XMLReaderConfigurator.configureXMLReader()
4,12,uk.ac.ed.ph.aardvark.commons.xml.XMLPipeline.XMLPipeline()
5,13,uk.ac.ed.ph.aardvark.commons.xml.XMLReaderConfigurator.createConfiguration()
6,14,uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
7,18,uk.ac.ed.ph.aardvark.AardvarkTestSuite.suite()
8,18,uk.ac.ed.ph.aardvark.cms.domain.CMSDomainTestSuite.suite()
9,18,uk.ac.ed.ph.aardvark.cms.internal.filesystem.CMSInternalFilesystemTestSuite.suite()
10,18,uk.ac.ed.ph.aardvark.cms.CMSTestSuite.suite()
11,19,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getFullNodeMetadata()
12,19,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getResourcePaths()
13,19,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getCoreNodeMetadata()
14,19,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.existsResource()
15,19,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.existsNode()
16,19,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.readResource()
17,19,uk.ac.ed.ph.aardvark.cms.CMSTestSuite.suite()
18,19,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getChildNodePaths()
19,22,uk.ac.ed.ph.aardvark.cms.internal.filesystem.SimpleFilesystemResourceManager.saveResource()
20,23,uk.ac.ed.ph.aardvark.cms.internal.CMSInternalTestSuite.suite()
21,23,uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImpl.saveResource()
22,23,uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImpl.checkoutNode()
23,24,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.ensureExists()
24,24,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.getResourcePaths()
25,24,uk.ac.ed.ph.aardvark.cms.internal.ContentReaderImpl.existsNode()
26,24,uk.ac.ed.ph.aardvark.cms.internal.ContentManagerImplTest.testExistsSafeBad1()
