,commit,instance,antecedants,support,confidence,lift
0,a455e654f241c4900f8477a1eefce170c0349707,org.mime4j.message.BodyPart,org.mime4j.message.BodyPart,0.0136986301369863,1.0,54.75
1,7daa939a8e4991e021d98098a1d3ebb710c4e669,org.mime4j.message.BodyPart,org.mime4j.message.BodyPart,0.0136986301369863,1.0,54.75
2,10e4c98ef4a8099226845065563d8c9f38241143,org.mime4j.message.BodyPart,org.mime4j.message.BodyPart,0.0136986301369863,1.0,54.75
3,a455e654f241c4900f8477a1eefce170c0349707,org.mime4j.message.Message,org.mime4j.message.Message,0.0182648401826484,0.75,54.75
4,8bd9e07432bb77018d064f9d901b58375b84549d,org.mime4j.message.Message,org.mime4j.message.Message,0.0182648401826484,0.75,54.75
5,7daa939a8e4991e021d98098a1d3ebb710c4e669,org.mime4j.message.Message,org.mime4j.message.Message,0.0182648401826484,0.75,54.75
6,10e4c98ef4a8099226845065563d8c9f38241143,org.mime4j.message.Message,org.mime4j.message.Message,0.0182648401826484,0.75,54.75
7,a455e654f241c4900f8477a1eefce170c0349707,org.mime4j.message.Multipart,org.mime4j.message.Multipart,0.0182648401826484,0.75,41.0625
8,8bd9e07432bb77018d064f9d901b58375b84549d,org.mime4j.message.Multipart,org.mime4j.message.Multipart,0.0182648401826484,0.75,41.0625
9,10e4c98ef4a8099226845065563d8c9f38241143,org.mime4j.message.Multipart,org.mime4j.message.Multipart,0.0182648401826484,0.75,41.0625
10,9d2b15bd5382cc2590e5de75e048da4021d64df0,org.mime4j.message.Multipart,org.mime4j.message.Multipart,0.0182648401826484,0.75,41.0625
11,14052507d24ccd294eaeeac33bc2032408779593,org.apache.james.mime4j.field.address.MailboxList,org.apache.james.mime4j.field.address.MailboxList,0.0228310502283105,0.8,43.800000000000004
12,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.field.address.MailboxList,org.apache.james.mime4j.field.address.MailboxList,0.0228310502283105,0.8,43.800000000000004
13,d6eed742fc987e6150b63263f9351223c4b16afc,org.apache.james.mime4j.field.address.MailboxList,org.apache.james.mime4j.field.address.MailboxList,0.0228310502283105,0.8,43.800000000000004
14,a95852a4ef9a7023f5797a9bf426cbe78175b56d,org.apache.james.mime4j.field.address.MailboxList,org.apache.james.mime4j.field.address.MailboxList,0.0228310502283105,0.8,43.800000000000004
15,3ddf9fb63e7805ff998e434aaba8ba1be3199ebc,org.apache.james.mime4j.field.address.MailboxList,org.apache.james.mime4j.field.address.MailboxList,0.0228310502283105,0.8,43.800000000000004
16,7c5051689b93357334de0397198e568e2fcef07b,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
17,4cab2a8dd607acad024020b883707fdb4b684530,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
18,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
19,a95852a4ef9a7023f5797a9bf426cbe78175b56d,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
20,5f88fb8f7f23427cc4021e26029b6ea6824e891f,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
21,72507b8e6e7c99f54388ed896682bfe95bfbe8a1,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
22,73218b2b64914ff3563400dccd614165a688f5ac,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
23,10e1bc075dd556a298f19f85454484b31c60197a,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
24,038e9c5b12216e1434992301ce3e4713688e6044,org.apache.james.mime4j.field.address.AddressTest,org.apache.james.mime4j.field.address.AddressTest,0.0410958904109589,0.4444444444444444,18.25
25,733c5a703ab43c22f56369cb454348cfb6fa81f4,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
26,25af6e2b18d36f758c03b1d340276ea1b6afd851,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
27,40424f0625156e2055896517068298c17967baef,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
28,5e5b63bf221f8c343371f2d050290c91e48dfe9d,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
29,4891aa4f5d4ca8211dbd061034c7f3ffc2c6cacc,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
30,61385fb2f82fd71f01846ca37ac42afb3e999c46,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
31,085c69be02491cad869f4fb6008cdb83bb0f7cea,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
32,3b0b19fd99ba347e2883a435375351a98472dd72,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
33,21a4a8ae8adfc6395091af742dcb61009dda2554,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
34,a39fa365641666390853c4d277b269559e417513,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
35,942fc3eba9c3cd6643b39b2002fe33b4a4e93d85,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
36,42c59dd36d7179601ede6eb05b9a7aa4d0a19551,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
37,203e6e7969843fbf2dd53b60495460e75d7b60d4,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
38,1cc0295258cb5c924bf5d2681fd491385cc7fe5c,org.apache.james.mime4j.message.Header,org.apache.james.mime4j.message.Header,0.0639269406392694,0.2857142857142857,15.642857142857142
39,25af6e2b18d36f758c03b1d340276ea1b6afd851,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
40,c3319669fda0e0dc2e5369cb42d00cc683bd026e,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
41,0a5c7bb61d7e1f77c2482a4f33d408622874a317,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
42,61385fb2f82fd71f01846ca37ac42afb3e999c46,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
43,f71467c17e54f730a7631a7b30d72d57cfc79c42,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
44,4aa54cafaf77642197aa6be77f6196780cf8f72e,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
45,1cc0295258cb5c924bf5d2681fd491385cc7fe5c,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
46,fc207b7b1c3a238b44acc98611434a689c10f7bd,org.apache.james.mime4j.message.Message,org.apache.james.mime4j.message.Message,0.0410958904109589,0.3333333333333333,24.333333333333332
