,commit,instance
0,550f6379d2e184ba218895d6d8c6760c61805214,org.apache.catalina.ant.jmx.JMXAccessorQueryTask.bindAttributes()
1,e9ac952390cb23116502c6621f776f1304d2dbdd,org.apache.tomcat.util.modeler.Registry.convertValue()
2,d9c6580fca2a3554a66b5c2904d8f8513eac1a50,org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDigesterSource.execute()
3,3d855ace74a03dca765fe04427ca9c1fb04c7a2c,org.apache.tomcat.util.modeler.Registry.load()
4,3d855ace74a03dca765fe04427ca9c1fb04c7a2c,org.apache.tomcat.util.modeler.Registry.sourceTypeFromExt()
5,3d855ace74a03dca765fe04427ca9c1fb04c7a2c,org.apache.tomcat.util.modeler.Registry.loadDescriptors()
6,3d855ace74a03dca765fe04427ca9c1fb04c7a2c,org.apache.tomcat.util.modeler.Registry.loadMetaInfDescriptors()
7,3d855ace74a03dca765fe04427ca9c1fb04c7a2c,org.apache.tomcat.util.modeler.Registry.getModelerSource()
9,45b5cb87388027ef33a90403ac995fdcfa752970,org.apache.catalina.core.ApplicationFilterFactory.matchFiltersURL()
10,45b5cb87388027ef33a90403ac995fdcfa752970,org.apache.catalina.deploy.FilterMap.setURLPattern()
11,4107ef876baf8f0087507f812fca461df3afc238,org.apache.catalina.connector.CoyoteAdapter.service()
12,c38b7baaa710a7c876aef47a27b97614ad9efe60,org.apache.catalina.core.ApplicationFilterFactory.matchFiltersURL()
13,c38b7baaa710a7c876aef47a27b97614ad9efe60,org.apache.catalina.core.ApplicationFilterFactory.matchFiltersServlet()
14,c38b7baaa710a7c876aef47a27b97614ad9efe60,org.apache.catalina.deploy.FilterMap.toString()
15,c38b7baaa710a7c876aef47a27b97614ad9efe60,org.apache.catalina.startup.WebRuleSet.addRuleInstances()
16,4e45752f90afa7adf438a4bef8c894eb5a19989d,org.apache.catalina.startup.WebRuleSet.addRuleInstances()
17,10c7942700b1c57f79dbf482a3717f656ecba8a4,org.apache.catalina.startup.ContextConfig.start()
18,4d00c5deebe9193ce7af121dd2f232431353a0e1,org.apache.catalina.core.ApplicationFilterConfig.getFilter()
19,4d00c5deebe9193ce7af121dd2f232431353a0e1,org.apache.catalina.core.ApplicationFilterConfig.release()
20,4d00c5deebe9193ce7af121dd2f232431353a0e1,org.apache.catalina.core.ApplicationFilterConfig.setFilterDef()
21,4d00c5deebe9193ce7af121dd2f232431353a0e1,org.apache.catalina.core.ApplicationFilterConfig.ApplicationFilterConfig()
22,ad2406feae7edbff5588f1032ef186816fb77da8,org.apache.catalina.core.NamingContextListener.getName()
23,ad2406feae7edbff5588f1032ef186816fb77da8,org.apache.catalina.core.NamingContextListener.setName()
24,ad2406feae7edbff5588f1032ef186816fb77da8,org.apache.catalina.core.NamingContextListener.getNamingContext()
25,f6e85aeecbbe539f8cd099315ba645c411a9eb6a,org.apache.catalina.startup.Bootstrap.createClassLoader()
26,f6e85aeecbbe539f8cd099315ba645c411a9eb6a,org.apache.catalina.startup.Bootstrap.main()
27,f6e85aeecbbe539f8cd099315ba645c411a9eb6a,org.apache.catalina.startup.ClassLoaderFactory.createClassLoader()
28,eed3e554ffa41c5918faa1ecac3e1627b5a61022,org.apache.catalina.util.AnnotationProcessor.injectNamingResources()
29,a072883bc59691a1efd78e9863bb7ef9b90b81e9,org.apache.jasper.compiler.TagLibraryInfoImpl.createTagFileInfo()
30,a072883bc59691a1efd78e9863bb7ef9b90b81e9,org.apache.naming.resources.FileDirContext.release()
31,e029bbae4da36ed24c22f051493933158f19fe6d,org.apache.catalina.realm.DataSourceRealm.credentials()
32,e029bbae4da36ed24c22f051493933158f19fe6d,org.apache.catalina.realm.DataSourceRealm.roles()
33,e029bbae4da36ed24c22f051493933158f19fe6d,org.apache.catalina.realm.DataSourceRealm.start()
34,e029bbae4da36ed24c22f051493933158f19fe6d,org.apache.catalina.session.StandardSession.getLastAccessedTime()
35,e029bbae4da36ed24c22f051493933158f19fe6d,org.apache.catalina.valves.JDBCAccessLogValve.JDBCAccessLogValve()
36,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.DefaultContextMBean.getEnvironments()
37,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.DefaultContextMBean.getResources()
38,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.DefaultContextMBean.getResourceLinks()
39,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.GroupMBean.getRoles()
40,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.GroupMBean.getUsers()
41,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.createGroup()
42,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.createRole()
43,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.createUser()
44,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.findGroup()
45,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.findRole()
46,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.findUser()
47,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.removeGroup()
48,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.removeRole()
49,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.MemoryUserDatabaseMBean.removeUser()
50,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.NamingResourcesMBean.getEnvironments()
51,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.NamingResourcesMBean.getResources()
52,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.NamingResourcesMBean.getResourceLinks()
53,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.StandardContextMBean.getEnvironments()
54,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.StandardContextMBean.getResources()
55,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.StandardContextMBean.getResourceLinks()
56,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.UserMBean.getGroups()
57,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.mbeans.UserMBean.getRoles()
58,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.valves.ErrorReportValve.report()
59,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.catalina.valves.RequestFilterValve.precalculate()
60,5959268bd56da00377468dd5332042e14b7c6bce,org.apache.tomcat.util.net.jsse.JSSEFactory.getSocketFactory()
