,instance,commit_superclass
0,org.apache.cassandra.config.DatabaseDescriptor,dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50org.apache.cassandra.utils.Allocator
1,org.apache.cassandra.db.columniterator.IdentityQueryFilter,dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50org.apache.cassandra.db.filter.SliceQueryFilter
2,org.apache.cassandra.db.filter.TombstoneOverwhelmingException,dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50RuntimeException
3,org.apache.cassandra.service.StorageService,dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50javax.management.NotificationBroadcasterSupport
4,org.apache.cassandra.service.StorageServiceMBean,dc7221f0bfd44dfb70d0f9256c9cb1fe91462c50javax.management.NotificationEmitter
5,org.apache.cassandra.db.UnsortedColumns,8f88670f721f4ab4206c9b2d5594eabf1b46cebeAbstractThreadUnsafeSortedColumns
6,org.apache.cassandra.db.index.composites.CompositesIndexOnClusteringKey,58eebc9a977ef7dfafe6ea568cece963191598ceCompositesIndex
7,org.apache.cassandra.db.index.composites.CompositesIndexOnPartitionKey,58eebc9a977ef7dfafe6ea568cece963191598ceCompositesIndex
8,org.apache.cassandra.db.index.composites.CompositesSearcher,58eebc9a977ef7dfafe6ea568cece963191598ceorg.apache.cassandra.db.index.SecondaryIndexSearcher
9,org.apache.cassandra.db.AbstractScanIterator,705e8d5a7d179b4b9b4e002cb549af3848920236<name>AbstractIterator
10,org.apache.cassandra.db.FlushRunnable,898ce5f046fe2405a521f3128252d28ae9748f58org.apache.cassandra.io.util.DiskAwareRunnable
11,org.apache.cassandra.db.compaction.ValidationCompactionIterable,898ce5f046fe2405a521f3128252d28ae9748f58CompactionIterable
12,org.apache.cassandra.db.compaction.ValidationCompactionController,898ce5f046fe2405a521f3128252d28ae9748f58CompactionController
13,org.apache.cassandra.db.compaction.CompactionExecutor,898ce5f046fe2405a521f3128252d28ae9748f58ThreadPoolExecutor
14,org.apache.cassandra.db.compaction.ValidationExecutor,898ce5f046fe2405a521f3128252d28ae9748f58CompactionExecutor
