,instance,commit_superclass
0,org.eclipse.jdt.core.tests.compiler.regression.AnnotationTest,0ec27a521b8048c2a1b0de9eaba1eff6e750d179AbstractComparableTest
1,org.eclipse.jdt.core.tests.compiler.regression.EnumTest,0ec27a521b8048c2a1b0de9eaba1eff6e750d179AbstractComparableTest
2,org.eclipse.jdt.core.tests.dom.ASTConverter15JLS4Test,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ConverterTestSetup
3,org.eclipse.jdt.core.tests.dom.TestASTRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestor
4,org.eclipse.jdt.core.tests.dom.TestASTRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestorASTRequestor
5,org.eclipse.jdt.core.tests.dom.CompilationUnitRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestor
6,org.eclipse.jdt.core.tests.dom.CompilationUnitRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestorASTRequestor
7,org.eclipse.jdt.core.tests.dom.BindingRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestor
8,org.eclipse.jdt.core.tests.dom.BindingRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestorASTRequestor
9,org.eclipse.jdt.core.tests.dom.BindingRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestorASTRequestorASTRequestor
10,org.eclipse.jdt.core.tests.dom.BindingRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestorASTRequestorASTRequestorASTRequestor
11,org.eclipse.jdt.core.tests.dom.BindingRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestorASTRequestorASTRequestorASTRequestorASTRequestor
12,org.eclipse.jdt.core.tests.dom.BindingRequestor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTRequestorASTRequestorASTRequestorASTRequestorASTRequestorASTRequestor
13,org.eclipse.jdt.core.tests.dom.MyVisitor,0ec27a521b8048c2a1b0de9eaba1eff6e750d179ASTVisitor
