Class,OCavg,WMC
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy","1,25",5
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy","1,25",5
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy","2,17",13
"uk.ac.ed.ph.aardvark.cms.editors.CourseEditingStrategy","1,00",2
"uk.ac.ed.ph.aardvark.cms.editors.CustomJavaEditingStrategy","1,00",3
"uk.ac.ed.ph.aardvark.cms.editors.DeploymentEditingStrategy","1,50",6
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy","1,00",6
"uk.ac.ed.ph.aardvark.cms.editors.FlashMovieEditingStrategy","1,25",5
"uk.ac.ed.ph.aardvark.cms.editors.GIFEditingStrategy","1,00",2
"uk.ac.ed.ph.aardvark.cms.editors.HTMLEditingStrategy","1,00",1
"uk.ac.ed.ph.aardvark.cms.editors.JPEGEditingStrategy","1,00",2
"uk.ac.ed.ph.aardvark.cms.editors.JavaEditingStrategy","1,00",1
"uk.ac.ed.ph.aardvark.cms.editors.LearningOutcomesEditingStrategy","1,25",5
"uk.ac.ed.ph.aardvark.cms.editors.MCQEditingStrategy","1,50",6
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy","1,20",6
"uk.ac.ed.ph.aardvark.cms.editors.PNGEditingStrategy","1,00",2
"uk.ac.ed.ph.aardvark.cms.editors.SVGEditingStrategy","1,00",2
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy","1,33",4
"uk.ac.ed.ph.aardvark.cms.editors.TeXMacrosEditingStrategy","1,00",1
"uk.ac.ed.ph.aardvark.cms.editors.TextEditingStrategy","1,00",1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy","1,00",4
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy","1,50",6
"uk.ac.ed.ph.aardvark.cms.editors.XfigFigureEditingStrategy","1,00",1
"uk.ac.ed.ph.aardvark.core.globals.AardvarkException","1,00",4
"uk.ac.ed.ph.aardvark.core.globals.BadNumberingPatternException","1,00",4
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes","1,25",10
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes","1,08",13
