Package,PDcy,PDpt
"assemble",0,0
"uk.ac.ed.ph.aardvark.cms.editors",6,0
"uk.ac.ed.ph.aardvark.core.globals",3,22
"uk.ac.ed.ph.aardvark.core.resources",3,12
"uk.ac.ed.ph.aardvark.processor.validator",16,1
"uk.ac.ed.ph.aardvark.processor.views",14,2
"uk.ac.ed.ph.aardvark.processor.views.custom",13,0
"uk.ac.ed.ph.aardvark.processor.views.export",13,0
"uk.ac.ed.ph.aardvark.processor.views.serializers",5,4
"uk.ac.ed.ph.aardvark.processor.views.util",15,6
"uk.ac.ed.ph.aardvark.processor.views.webapp",10,0
"uk.ac.ed.ph.aardvark.server",2,9
"uk.ac.ed.ph.aardvark.server.databinding",7,10
"uk.ac.ed.ph.aardvark.tools.cms",10,1
"uk.ac.ed.ph.aardvark.tools.standalone",0,1
"uk.ac.ed.ph.orycteropus.cms",8,22
"uk.ac.ed.ph.orycteropus.cms.configuration",3,5
"uk.ac.ed.ph.orycteropus.cms.domain",5,29
"uk.ac.ed.ph.orycteropus.cms.domain.rendering",1,12
"uk.ac.ed.ph.orycteropus.cms.domain.search",1,6
"uk.ac.ed.ph.orycteropus.cms.domain.transport",1,10
"uk.ac.ed.ph.orycteropus.cms.domain.validation",2,6
"uk.ac.ed.ph.orycteropus.cms.internal",12,7
"uk.ac.ed.ph.orycteropus.cms.internal.aspects",1,0
"uk.ac.ed.ph.orycteropus.cms.internal.editing",7,2
"uk.ac.ed.ph.orycteropus.cms.internal.filesystem",7,3
"uk.ac.ed.ph.orycteropus.cms.internal.jdbc",7,1
"uk.ac.ed.ph.orycteropus.cms.readers",1,11
"uk.ac.ed.ph.orycteropus.processor",9,12
"uk.ac.ed.ph.orycteropus.processor.domain",4,13
"uk.ac.ed.ph.orycteropus.processor.framework",14,11
"uk.ac.ed.ph.orycteropus.processor.framework.config",3,4
"uk.ac.ed.ph.orycteropus.processor.framework.util",10,10
"uk.ac.ed.ph.orycteropus.processor.internal",15,4
"uk.ac.ed.ph.orycteropus.processor.internal.auditing",4,1

