Dependency metrics,Sex, 6 out 2017 18:45:43 BRT
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"android.accessibilityservice.AccessibilityService",1,8,1.418,2,3
"android.accessibilityservice.AccessibilityService.IEventListenerWrapper",1,6,1.418,1,3
"android.accessibilityservice.AccessibilityServiceInfo",0,3,1.416,2,4
"android.accounts.AbstractAccountAuthenticator",1,10,1.419,1,1
"android.accounts.AbstractAccountAuthenticator.Transport",1,8,1.419,1,1
"android.accounts.Account",1.027,4,1.415,38,2.385
"android.accounts.AccountAuthenticatorActivity",0,5,1.417,0,0
"android.accounts.AccountAuthenticatorCache",0,10,1.418,1,11
"android.accounts.AccountAuthenticatorCache.MySerializer",0,2,1.416,1,12
"android.accounts.AccountAuthenticatorResponse",0,7,1.416,5,14
"android.accounts.AccountManager",1.027,29,1.415,21,2.385
"android.accounts.AccountManager.AmsTask",1.027,11,1.415,3,2.385
"android.accounts.AccountManager.AmsTask.Response",1.027,7,1.415,1,2.385
"android.accounts.AccountManager.BaseFutureTask",1.027,6,1.415,3,2.385
"android.accounts.AccountManager.BaseFutureTask.Response",1.027,4,1.415,1,2.385
"android.accounts.AccountManager.Future2Task",1.027,7,1.415,1,2.385
"android.accounts.AccountManager.GetAuthTokenByTypeAndFeaturesTask",1.027,15,1.415,1,2.385
"android.accounts.AccountManagerResponse",1.027,5,1.415,2,2.385
"android.accounts.AccountManagerService",8,44,1.429,10,10
"android.accounts.AccountManagerService.DatabaseHelper",8,5,1.429,1,10
"android.accounts.AccountManagerService.GetAccountsByTypeAndFeatureSession",8,9,1.429,1,10
"android.accounts.AccountManagerService.MessageHandler",8,5,1.429,1,10
"android.accounts.AccountManagerService.RemoveAccountSession",8,7,1.429,1,10
"android.accounts.AccountManagerService.Session",8,18,1.429,5,10
"android.accounts.AccountManagerService.SimWatcher",8,12,1.429,1,10
"android.accounts.AccountManagerService.TestFeaturesSession",8,8,1.429,1,10
"android.accounts.AccountsException",0,0,0,3,2.391
"android.accounts.AuthenticatorDescription",1.027,3,1.415,7,2.385
"android.accounts.AuthenticatorException",0,1,1,7,2.388
"android.accounts.ChooseAccountActivity",0,14,1.417,0,0
"android.accounts.GrantCredentialsPermissionActivity",8,19,1.429,1,10
"android.accounts.NetworkErrorException",0,1,1,2,2
"android.accounts.OperationCanceledException",0,1,1,5,2.388
"android.animation.Animator",1,2,2,16,2.390
"android.animation.AnimatorInflater",1.027,15,1.415,2,2.385
"android.animation.AnimatorListenerAdapter",0,2,3,0,0
"android.animation.AnimatorSet",1.027,11,1.415,7,2.385
"android.animation.AnimatorSet.AnimatorSetListener",1.027,4,1.415,1,2.385
"android.animation.AnimatorSet.Builder",1.027,5,1.415,3,2.385
"android.animation.AnimatorSet.Dependency",1,1,4,4,2.387
"android.animation.AnimatorSet.DependencyListener",1.027,5,1.415,1,2.385
"android.animation.AnimatorSet.Node",1,2,4,5,2.387
"android.animation.DoubleEvaluator",0,1,1,2,2.386
"android.animation.FloatEvaluator",0,1,1,2,2.386
"android.animation.FloatKeyframeSet",2,5,9,3,2.388
"android.animation.IntEvaluator",0,1,1,2,2.386
"android.animation.IntKeyframeSet",2,5,9,3,2.388
"android.animation.Keyframe",3,4,4,8,2.392
"android.animation.Keyframe.FloatKeyframe",3,1,4,3,2.392
"android.animation.Keyframe.IntKeyframe",3,1,4,3,2.392
"android.animation.Keyframe.ObjectKeyframe",3,1,4,2,2.392
"android.animation.KeyframeSet",2,9,9,4,2.388
"android.animation.LayoutTransition",1.027,12,1.415,3,2.385
"android.animation.ObjectAnimator",1.027,7,1.415,9,2.385
"android.animation.PropertyValuesHolder",1.027,12,1.415,6,2.385
"android.animation.PropertyValuesHolder.FloatPropertyValuesHolder",1.027,3,1.415,1,2.385
"android.animation.PropertyValuesHolder.IntPropertyValuesHolder",1.027,3,1.415,1,2.385
"android.animation.RGBEvaluator",0,1,1,1,2.386
"android.animation.TimeAnimator",1,2,1.417,1,1
"android.animation.ValueAnimator",1.027,17,1.415,14,2.385
"android.animation.ValueAnimator.AnimationHandler",1.027,4,1.415,1,2.385
"android.annotation.SdkConstant.SdkConstantType",0,0,0,26,2.392
"android.app.ActionBar",1.027,6,1.415,5,2.385
"android.app.ActionBar.LayoutParams",1.027,6,1.415,3,2.385
"android.app.ActionBar.Tab",1.027,2,1.415,7,2.385
"android.app.Activity",1.027,79,1.415,219,2.385
"android.app.Activity.ManagedCursor",1.027,1,1.415,1,2.385
"android.app.Activity.ManagedDialog",1.027,2,1.415,1,2.385
"android.app.Activity.NonConfigurationInstances",1.027,3,1.415,5,2.385
"android.app.ActivityGroup",0,4,1.418,2,2
"android.app.ActivityManager",1.027,18,1.415,6,2.385
"android.app.ActivityManager.MemoryInfo",1.027,3,1.415,6,2.385
"android.app.ActivityManager.ProcessErrorStateInfo",1.027,3,1.415,5,2.385
"android.app.ActivityManager.RecentTaskInfo",1.027,6,1.415,4,2.385
"android.app.ActivityManager.RunningAppProcessInfo",1.027,4,1.415,4,2.385
"android.app.ActivityManager.RunningServiceInfo",1.027,4,1.415,3,2.385
"android.app.ActivityManager.RunningTaskInfo",1.027,5,1.415,3,2.385
"android.app.ActivityManagerNative",1.027,39,1.415,25,2.385
"android.app.ActivityManagerProxy",1.027,34,1.415,1,2.385
"android.app.ActivityThread",1.027,98,1.415,22,2.385
"android.app.ActivityThread.ActivityClientRecord",1.027,17,1.415,4,2.385
"android.app.ActivityThread.AppBindData",1.027,6,1.415,3,2.385
"android.app.ActivityThread.ApplicationThread",1.027,41,1.415,1,2.385
"android.app.ActivityThread.BindServiceData",1.027,2,1.415,3,2.385
