Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"android.accounts.AccountManagerCallback",0,1,4,4,2.386
"android.accounts.AccountManagerFuture",0,2,3,6,2.387
"android.accounts.IAccountAuthenticatorCache",0,4,1.416,5,13
"android.accounts.OnAccountsUpdateListener",1.027,1,1.415,2,2.385
"android.animation.Animator.AnimatorListener",1,1,2,9,2.390
"android.animation.LayoutTransition.TransitionListener",1.027,3,1.415,2,2.385
"android.animation.TimeAnimator.TimeListener",1,1,1.417,1,1
"android.animation.TimeInterpolator",0,0,0,19,2.399
"android.animation.TypeEvaluator",0,0,0,11,2.393
"android.animation.ValueAnimator.AnimatorUpdateListener",1.027,1,1.415,3,2.385
"android.app.ActionBar.OnMenuVisibilityListener",0,0,0,2,2.386
"android.app.ActionBar.OnNavigationListener",0,0,0,3,2.386
"android.app.ActionBar.TabListener",1.027,2,1.415,3,2.385
"android.app.DatePickerDialog.OnDateSetListener",0,1,1.438,1,1
"android.app.FragmentManager.BackStackEntry",0,0,0,4,2.386
"android.app.FragmentManager.OnBackStackChangedListener",0,0,0,3,2.386
"android.app.IActivityManager",1.027,25,1.415,28,2.385
"android.app.IApplicationThread",1.027,14,1.415,8,2.385
"android.app.KeyguardManager.OnKeyguardExitResult",0,0,0,1,2.386
"android.app.LoaderManager.LoaderCallbacks",1.027,2,1.415,3,2.385
"android.app.PendingIntent.OnFinished",1.027,3,1.415,3,2.385
"android.app.SearchManager.OnCancelListener",0,0,0,1,2.386
"android.app.SearchManager.OnDismissListener",0,0,0,1,2.386
"android.app.TimePickerDialog.OnTimeSetListener",0,1,1.427,1,1
"android.app.backup.BackupHelper",0,3,1.417,6,7
"android.bluetooth.BluetoothDevicePicker",0,1,1,0,0
"android.bluetooth.BluetoothPbap.ServiceListener",0,0,0,2,59
"android.bluetooth.BluetoothProfile",33,1,1.468,13,58
"android.bluetooth.BluetoothProfile.ServiceListener",33,1,1.468,7,58
"android.content.ClipboardManager.OnPrimaryClipChangedListener",0,0,0,1,2.386
"android.content.ComponentCallbacks",1.027,1,1.415,8,2.385
"android.content.ContentInsertHandler",0,1,1.416,1,1
"android.content.ContentProvider.PipeDataWriter",1.027,3,1.415,1,2.385
"android.content.DialogInterface",0,0,0,37,2.391
"android.content.DialogInterface.OnCancelListener",0,1,1,9,2.386
"android.content.DialogInterface.OnClickListener",0,1,1,16,2.386
"android.content.DialogInterface.OnDismissListener",0,1,1,7,2.386
"android.content.DialogInterface.OnKeyListener",1.027,2,1.415,4,2.385
"android.content.DialogInterface.OnMultiChoiceClickListener",0,1,1,2,2.386
"android.content.DialogInterface.OnShowListener",0,1,1,2,2.386
"android.content.EntityIterator",0,1,1.418,5,15
"android.content.IContentProvider",1.027,14,1.415,13,2.385
"android.content.IntentSender.OnFinished",1.027,3,1.415,2,2.385
"android.content.Loader.OnLoadCompleteListener",1.027,1,1.415,2,2.385
"android.content.ServiceConnection",1.027,2,1.415,20,2.385
"android.content.SharedPreferences",1,2,2,14,2.388
"android.content.SharedPreferences.Editor",0,0,0,8,2.389
"android.content.SharedPreferences.OnSharedPreferenceChangeListener",1,1,2,4,2.388
"android.content.SyncStatusObserver",0,0,0,1,2.386
"android.content.pm.RegisteredServicesCacheListener",0,0,0,4,2.386
"android.content.pm.XmlSerializerAndParser",0,0,0,3,2.386
"android.content.res.XmlResourceParser",0,1,1,33,2.386
"android.database.CrossProcessCursor",1.027,2,1.415,2,2.385
"android.database.Cursor",1.027,6,1.415,150,2.385
"android.database.DatabaseErrorHandler",1.027,1,1.415,8,2.385
"android.database.IBulkCursor",1.027,5,1.415,7,2.385
"android.database.sqlite.SQLiteCursorDriver",1.027,2,1.415,5,2.385
"android.database.sqlite.SQLiteDatabase.CursorFactory",1.027,4,1.415,10,2.385
"android.database.sqlite.SQLiteDatabase.CustomFunction",0,0,0,1,2.386
"android.database.sqlite.SQLiteTransactionListener",0,0,0,1,2.386
"android.gesture.GestureConstants",0,0,0,5,16
"android.gesture.GestureOverlayView.OnGestureListener",4,2,1.426,1,4
"android.gesture.GestureOverlayView.OnGesturePerformedListener",4,2,1.426,1,4
"android.gesture.GestureOverlayView.OnGesturingListener",4,1,1.426,1,4
"android.hardware.Camera.AutoFocusCallback",7,1,1.426,2,7
"android.hardware.Camera.ErrorCallback",7,1,1.426,2,7
"android.hardware.Camera.OnZoomChangeListener",7,1,1.426,2,7
"android.hardware.Camera.PictureCallback",7,1,1.426,2,7
"android.hardware.Camera.PreviewCallback",7,1,1.426,2,7
"android.hardware.Camera.ShutterCallback",0,0,0,2,8
"android.hardware.SensorEventListener",0,2,2,8,2.386
"android.hardware.SensorListener",0,0,0,3,2.386
"android.inputmethodservice.KeyboardView.OnKeyboardActionListener",0,0,0,2,5
"android.net.LinkSocketNotifier",1,2,1.419,1,2
"android.net.NetworkStateTracker",0,5,1.417,3,63
"android.net.UrlQuerySanitizer.ValueSanitizer",0,0,0,2,2
"android.net.dhcp.DhcpStateMachine",0,0,0,8,8
"android.net.http.EventHandler",1.027,3,1.415,16,2.385
"android.net.http.Headers.HeaderCallback",0,0,0,1,2.386
"android.net.http.RequestFeeder",1.027,1,1.415,6,2.385
"android.net.http.RequestQueue.ConnectionManager",1.027,2,1.415,2,2.385
"android.nfc.technology.TagTechnology",11,1,1.427,9,11
"android.os.Handler.Callback",1.027,1,1.415,2,2.385
"android.os.IBinder",1.027,4,1.415,149,2.385
"android.os.IBinder.DeathRecipient",0,0,0,14,2.386
"android.os.IInterface",1.027,1,1.415,25,2.385
"android.os.IServiceManager",1.027,3,1.415,3,2.385
"android.os.LocalPowerManager",0,0,0,1,2.386
"android.os.MessageQueue.IdleHandler",0,0,0,7,2.387
"android.os.Parcelable",1.027,1,1.415,183,2.385
"android.os.Parcelable.Creator",1.027,1,1.415,156,2.385
"android.os.PerformanceCollector.PerformanceResultsWriter",1.027,1,1.415,2,2.385
"android.os.RecoverySystem.ProgressListener",0,0,0,1,1
"android.os.storage.IMountService",1.027,5,1.415,10,2.385
"android.os.storage.IMountServiceListener",1.027,2,1.415,5,2.385
"android.os.storage.IMountShutdownObserver",1.027,2,1.415,6,2.385
"android.os.storage.IObbActionListener",1.027,2,1.415,5,2.385
"android.pim.ContactsAsyncHelper.OnImageLoadCompleteListener",0,1,1.416,2,4
"android.preference.GenericInflater.Factory",0,2,1.416,2,31
"android.preference.GenericInflater.Parent",0,0,0,2,30
"android.preference.OnDependencyChangeListener",12,1,1.439,1,28
"android.preference.Preference.OnPreferenceChangeInternalListener",12,1,1.439,2,28
"android.preference.Preference.OnPreferenceChangeListener",12,1,1.439,1,28
"android.preference.Preference.OnPreferenceClickListener",12,1,1.439,1,28
"android.preference.PreferenceFragment.OnPreferenceStartFragmentCallback",12,2,1.439,2,28
"android.preference.PreferenceManager.OnActivityDestroyListener",0,0,0,2,29
"android.preference.PreferenceManager.OnActivityResultListener",0,1,1.416,2,29
"android.preference.PreferenceManager.OnActivityStopListener",0,0,0,2,29
"android.preference.PreferenceManager.OnPreferenceTreeClickListener",12,2,1.439,4,28
"android.provider.Applications.ApplicationColumns",0,1,1,0,0
"android.provider.BaseColumns",0,0,0,92,2.423
"android.provider.BrowserContract.BaseSyncColumns",0,0,0,2,2.388
