Dependency metrics,Sex, 6 out 2017 19:07:04 BRT
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"com.android.AndroidConstants",0,0,0,26,703
"com.android.annotations.VisibleForTesting.Visibility",0,0,0,15,573
"com.android.ant.AaptExecLoopTask",0,1,1,0,0
"com.android.ant.AaptExecLoopTask.NoCompress",0,0,0,1,1
"com.android.ant.AidlExecTask",0,0,0,0,0
"com.android.ant.ApkBuilderTask",0,5,21,0,0
"com.android.ant.BaseTask",0,0,0,0,0
"com.android.ant.DependencyGraph",0,1,1,0,0
"com.android.ant.IfElseTask",0,0,0,0,0
"com.android.ant.NewSetupTask",0,13,26,0,0
"com.android.ant.RenderScriptTask",0,0,0,0,0
"com.android.ant.SetupTask",0,0,0,0,0
"com.android.ant.TaskHelper",0,3,12,0,0
"com.android.ant.XPathTask",0,1,4,0,0
"com.android.archquery.Main",0,1,1,0,0
"com.android.assetstudiolib.GraphicGenerator",0,1,1,1,1
"com.android.assetstudiolib.GraphicGenerator.Options",0,0,0,0,0
"com.android.assetstudiolib.LauncherIconGenerator",0,4,4,1,1
"com.android.assetstudiolib.LauncherIconGenerator.Options",0,3,3,2,2
"com.android.assetstudiolib.LauncherIconGenerator.Options.Shape",0,0,0,3,3
"com.android.assetstudiolib.LauncherIconGenerator.Options.Style",0,0,0,3,3
"com.android.assetstudiolib.MenuIconGenerator",0,1,2,0,0
"com.android.assetstudiolib.MenuIconGenerator.Options",0,1,1,1,1
"com.android.assetstudiolib.TextRenderUtil",0,1,1,1,1
"com.android.assetstudiolib.TextRenderUtil.Options",0,0,0,2,2
"com.android.assetstudiolib.Util",0,4,4,0,0
"com.android.assetstudiolib.Util.Effect",0,0,0,3,3
"com.android.assetstudiolib.Util.FillEffect",0,1,1,1,1
"com.android.assetstudiolib.Util.ShadowEffect",0,1,1,1,1
"com.android.chimpchat.AllTests",0,2,4,0,0
"com.android.chimpchat.ChimpChat",0,3,44,4,4
"com.android.chimpchat.ChimpManager",2,4,4,9,32
"com.android.chimpchat.ImageUtilsTest",0,3,4,0,0
"com.android.chimpchat.adb.AdbBackend",0,6,43,2,6
"com.android.chimpchat.adb.AdbChimpDevice",0,15,46,0,0
"com.android.chimpchat.adb.AdbChimpDeviceTest",0,0,0,1,1
"com.android.chimpchat.adb.AdbChimpImage",0,3,5,1,1
"com.android.chimpchat.adb.CommandOutputCapture",0,1,1,0,0
"com.android.chimpchat.adb.LinearInterpolator",0,2,2,0,0
"com.android.chimpchat.adb.LinearInterpolator.Point",0,0,0,5,6
"com.android.chimpchat.adb.LinearInterpolatorTest",0,2,2,1,1
"com.android.chimpchat.adb.LinearInterpolatorTest.Collector",0,1,1,1,2
"com.android.chimpchat.adb.LoggingOutputReceiver",0,1,1,0,0
"com.android.chimpchat.adb.image.CaptureRawAndConvertedImage",0,7,51,0,0
"com.android.chimpchat.adb.image.CaptureRawAndConvertedImage.ChimpRawImage",0,1,2,2,2
"com.android.chimpchat.adb.image.ImageUtils",0,1,2,2,3
"com.android.chimpchat.adb.image.SixteenBitColorModel",0,1,2,0,0
"com.android.chimpchat.adb.image.ThirtyTwoBitColorModel",0,1,2,0,0
"com.android.chimpchat.core.By",0,0,0,1,6
"com.android.chimpchat.core.ChimpException",0,0,0,1,33
"com.android.chimpchat.core.ChimpImageBase",1,1,1,3,4
"com.android.chimpchat.core.ChimpImageBase.BufferedImageChimpImage",1,1,1,1,4
"com.android.chimpchat.core.ChimpRect",0,0,0,1,1
"com.android.chimpchat.core.ChimpView",2,1,4,1,32
"com.android.chimpchat.core.MultiSelectorText",0,1,5,0,0
"com.android.chimpchat.core.PhysicalButton",0,0,0,4,33
"com.android.chimpchat.core.SelectorAccessibilityIds",0,1,5,0,0
"com.android.chimpchat.core.SelectorId",0,1,5,0,0
"com.android.chimpchat.core.TouchPressType",0,0,0,6,9
"com.android.chimpchat.hierarchyviewer.HierarchyViewer",0,6,33,5,25
"com.android.ddmlib.AdbCommandRejectedException",0,0,0,16,609
"com.android.ddmlib.AdbHelper",0,3,6,0,0
"com.android.ddmlib.AdbHelper.AdbResponse",0,0,0,3,501
"com.android.ddmlib.AllocationInfo",0,1,1,4,13
"com.android.ddmlib.AllocationInfo.AllocationSorter",0,2,3,1,11
"com.android.ddmlib.AllocationInfo.SortMode",0,0,0,2,12
"com.android.ddmlib.AndroidDebugBridge",1,4,4,22,607
"com.android.ddmlib.BadPacketException",0,0,0,0,0
"com.android.ddmlib.CanceledException",0,0,0,1,3
"com.android.ddmlib.ChunkHandler",0,1,1,0,0
"com.android.ddmlib.Client",0,2,2,26,531
"com.android.ddmlib.ClientData",0,6,8,8,505
"com.android.ddmlib.ClientData.AllocationTrackingStatus",0,0,0,3,510
"com.android.ddmlib.ClientData.DebuggerStatus",0,0,0,8,509
"com.android.ddmlib.ClientData.HeapData",0,1,2,3,507
"com.android.ddmlib.ClientData.MethodProfilingStatus",0,0,0,5,534
