Package,v(G)avg,v(G)tot
"androidprefs.src.com.android.prefs","3,25",13
"anttasks.src.com.android.ant","3,28",328
"archquery.src.com.android.archquery","10,00",10
"assetstudio.src.com.android.assetstudiolib","2,23",58
"chimpchat.src.com.android.chimpchat","1,68",57
"chimpchat.src.com.android.chimpchat.adb","2,34",136
"chimpchat.src.com.android.chimpchat.adb.image","1,12",36
"chimpchat.src.com.android.chimpchat.core","1,69",81
"chimpchat.src.com.android.chimpchat.hierarchyviewer","2,67",24
"chimpchat.test.com.android.chimpchat","2,00",14
"chimpchat.test.com.android.chimpchat.adb","1,46",19
"common.src.com.android.io","1,63",44
"common.src.com.android.resources","1,77",207
"common.src.com.android.util","2,57",18
"common.tests.src.com.android.resources","2,00",4
"ddms.app.src.com.android.ddms","2,82",319
"ddms.libs.ddmlib.src.com.android.ddmlib","2,37",1.568
"ddms.libs.ddmlib.src.com.android.ddmlib.log","3,67",279
"ddms.libs.ddmlib.src.com.android.ddmlib.testrunner","2,50",130
"ddms.libs.ddmlib.src.com.android.ddmlib.utils","1,00",4
"ddms.libs.ddmlib.tests.src.com.android.ddmlib","1,00",3
"ddms.libs.ddmlib.tests.src.com.android.ddmlib.testrunner","1,03",36
"ddms.libs.ddmuilib.src.com.android.ddmuilib","3,30",936
"ddms.libs.ddmuilib.src.com.android.ddmuilib.actions","1,00",4
"ddms.libs.ddmuilib.src.com.android.ddmuilib.console","2,20",11
"ddms.libs.ddmuilib.src.com.android.ddmuilib.explorer","4,00",156
"ddms.libs.ddmuilib.src.com.android.ddmuilib.handler","2,27",34
"ddms.libs.ddmuilib.src.com.android.ddmuilib.location","1,96",155
"ddms.libs.ddmuilib.src.com.android.ddmuilib.log.event","3,25",611
"ddms.libs.ddmuilib.src.com.android.ddmuilib.logcat","2,64",567
"ddms.libs.ddmuilib.tests.src.com.android.ddmuilib.logcat","1,10",22
"draw9patch.src.com.android.draw9patch","3,50",7
"draw9patch.src.com.android.draw9patch.graphics","2,00",16
"draw9patch.src.com.android.draw9patch.ui","3,16",202
"draw9patch.src.com.android.draw9patch.ui.action","1,14",8
"dumpeventlog.src.com.android.dumpeventlog","2,43",17
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal","1,46",19
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.actions","2,67",8
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.build","2,75",11
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.discovery","2,67",107
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.preferences","1,38",11
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.templates","8,33",50
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.wizards","1,78",16
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.common.layout","3,56",754
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.common.layout.grid","6,54",523
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.common.layout.relative","7,42",475
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.common.resources.platform","2,32",132
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt","2,72",267
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal","14,00",14
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.actions","3,70",100
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.assetstudio","4,06",146
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.build","3,25",524
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.build.builders","5,15",381
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors","3,89",622
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.animator","3,32",73
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.binaryxml","1,76",37
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.color","1,62",21
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.descriptors","3,15",331
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.drawable","2,43",34
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.export","2,40",72
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.formatting","6,15",289
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout","3,17",511
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.configuration","4,20",462
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.descriptors","2,47",84
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.gle2","3,45",3.257
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.gre","3,20",406
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.refactoring","3,64",1.107
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.layout.uimodel","5,00",15
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.manifest","3,91",137
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.manifest.descriptors","2,19",105
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.manifest.model","3,97",143
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.manifest.pages","2,39",105
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.menu","1,92",25
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.menu.descriptors","1,83",11
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.resources","3,07",46
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.resources.descriptors","1,00",9
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.resources.uimodel","3,00",12
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.ui","2,07",147
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.ui.tree","4,04",396
