Package,PDcy,PDpt
"",0,0
"androidprefs",0,0
"androidprefs.src.com.android.prefs",0,15
"anttasks",0,0
"anttasks.etc",0,0
"anttasks.src.com.android.ant",5,0
"apkbuilder",0,0
"apkbuilder.etc",0,0
"archquery",0,0
"archquery.etc",0,0
"archquery.src.com.android.archquery",0,0
"assetstudio",0,0
"assetstudio..settings",0,0
"assetstudio.src.com.android.assetstudiolib",1,1
"bash_completion",0,0
"build",0,0
"chimpchat",0,0
"chimpchat.src",0,0
"chimpchat.src.com.android.chimpchat",2,5
"chimpchat.src.com.android.chimpchat.adb",6,3
"chimpchat.src.com.android.chimpchat.adb.image",3,2
"chimpchat.src.com.android.chimpchat.core",2,8
"chimpchat.src.com.android.chimpchat.hierarchyviewer",2,4
"chimpchat.test",0,0
"chimpchat.test.com.android.chimpchat",3,0
"chimpchat.test.com.android.chimpchat.adb",1,1
"chimpchat.test.resources.com.android.monkeyrunner.adb",0,0
"common",0,0
"common.src.com.android",0,19
"common.src.com.android.annotations",0,5
"common.src.com.android.io",0,22
"common.src.com.android.resources",1,42
"common.src.com.android.util",0,40
"common.tests",0,0
"common.tests.src.com.android.resources",1,0
"ddms",0,0
"ddms.app",0,0
"ddms.app..settings",0,0
"ddms.app.etc",0,0
"ddms.app.src.com.android.ddms",9,0
"ddms.libs",0,0
"ddms.libs.ddmlib",0,0
"ddms.libs.ddmlib..settings",0,0
"ddms.libs.ddmlib.src.com.android.ddmlib",2,35
"ddms.libs.ddmlib.src.com.android.ddmlib.log",2,4
"ddms.libs.ddmlib.src.com.android.ddmlib.testrunner",1,2
"ddms.libs.ddmlib.src.com.android.ddmlib.utils",0,2
"ddms.libs.ddmlib.tests",0,0
"ddms.libs.ddmlib.tests.src.com.android.ddmlib",0,0
"ddms.libs.ddmlib.tests.src.com.android.ddmlib.testrunner",2,0
"ddms.libs.ddmuilib",0,0
"ddms.libs.ddmuilib..settings",0,0
"ddms.libs.ddmuilib.etc",0,0
"ddms.libs.ddmuilib.src.com.android.ddmuilib",2,15
"ddms.libs.ddmuilib.src.com.android.ddmuilib.actions",0,6
"ddms.libs.ddmuilib.src.com.android.ddmuilib.annotation",0,0
"ddms.libs.ddmuilib.src.com.android.ddmuilib.console",0,3
"ddms.libs.ddmuilib.src.com.android.ddmuilib.explorer",4,2
"ddms.libs.ddmuilib.src.com.android.ddmuilib.handler",3,2
"ddms.libs.ddmuilib.src.com.android.ddmuilib.location",0,1
"ddms.libs.ddmuilib.src.com.android.ddmuilib.log.event",4,2
"ddms.libs.ddmuilib.src.com.android.ddmuilib.logcat",3,3
"ddms.libs.ddmuilib.tests",0,0
"ddms.libs.ddmuilib.tests.src.com.android.ddmuilib.logcat",1,0
"docs",0,0
"draw9patch",0,0
"draw9patch.etc",0,0
"draw9patch.src.com.android.draw9patch",1,0
"draw9patch.src.com.android.draw9patch.graphics",0,1
"draw9patch.src.com.android.draw9patch.ui",2,2
"draw9patch.src.com.android.draw9patch.ui.action",1,1
"dumpeventlog",0,0
"dumpeventlog.etc",0,0
"dumpeventlog.src",0,0
"dumpeventlog.src.com.android.dumpeventlog",2,0
"eclipse",0,0
"eclipse.buildConfig",0,0
"eclipse.features.com.android.ide.eclipse.adt",0,0
"eclipse.features.com.android.ide.eclipse.adt.ndk",0,0
"eclipse.features.com.android.ide.eclipse.ddms",0,0
"eclipse.features.com.android.ide.eclipse.hierarchyviewer",0,0
"eclipse.features.com.android.ide.eclipse.pdt",0,0
"eclipse.features.com.android.ide.eclipse.tests",0,0
"eclipse.features.com.android.ide.eclipse.traceview",0,0
"eclipse.plugins",0,0
"eclipse.plugins.com.android.ide.eclipse.adt",0,0
"eclipse.plugins.com.android.ide.eclipse.adt..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.libs",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk..settings",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.META-INF",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.discovery",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal",0,5
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.actions",1,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.build",1,1
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.discovery",2,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.preferences",1,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.templates",1,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.src.com.android.ide.eclipse.adt.ndk.internal.wizards",1,1
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.templates",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.ndk.templates.resources",0,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.common.layout",7,32
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.common.layout.grid",3,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.common.layout.relative",2,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.common.resources.platform",2,14
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt",26,54
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal",2,1
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.actions",10,2
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.assetstudio",9,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.build",16,5
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.build.builders",14,2
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors",12,35
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.animator",12,5
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.binaryxml",2,0
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.color",11,3
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.descriptors",10,35
"eclipse.plugins.com.android.ide.eclipse.adt.src.com.android.ide.eclipse.adt.internal.editors.drawable",11,3
