Class,OCavg,WMC
"android.provider.Telephony","1,00",1
"android.provider.Telephony.Carriers",n/a,0
"android.provider.Telephony.CellBroadcasts","1,00",1
"android.provider.Telephony.Mms","2,67",16
"android.provider.Telephony.Mms.Addr",n/a,0
"android.provider.Telephony.Mms.Draft",n/a,0
"android.provider.Telephony.Mms.Inbox",n/a,0
"android.provider.Telephony.Mms.Intents","1,00",1
"android.provider.Telephony.Mms.Outbox",n/a,0
"android.provider.Telephony.Mms.Part",n/a,0
"android.provider.Telephony.Mms.Rate",n/a,0
"android.provider.Telephony.Mms.Sent",n/a,0
"android.provider.Telephony.MmsSms",n/a,0
"android.provider.Telephony.MmsSms.PendingMessages",n/a,0
"android.provider.Telephony.MmsSms.WordsTable",n/a,0
"android.provider.Telephony.Sms","3,00",18
"android.provider.Telephony.Sms.Conversations",n/a,0
"android.provider.Telephony.Sms.Draft","1,00",2
"android.provider.Telephony.Sms.Inbox","1,00",1
"android.provider.Telephony.Sms.Intents","3,00",3
"android.provider.Telephony.Sms.Outbox","1,00",1
"android.provider.Telephony.Sms.Sent","1,00",1
"android.provider.Telephony.Threads","2,33",7
"android.telephony.CellBroadcastMessage","1,68",47
"android.telephony.SmsCbCmasInfo","1,00",13
"android.telephony.SmsCbEtwsInfo","1,42",17
"android.telephony.SmsCbLocation","1,44",23
"android.telephony.SmsCbMessage","1,35",27
"android.telephony.SmsManager","2,60",39
"android.telephony.SmsMessage","1,66",63
"android.telephony.SmsMessage.MessageClass",n/a,0
"android.telephony.SmsMessage.SubmitPdu","1,00",2
"android.telephony.gsm.SmsManager","1,10",11
"android.telephony.gsm.SmsMessage","1,17",42
"android.telephony.gsm.SmsMessage.MessageClass",n/a,0
"android.telephony.gsm.SmsMessage.SubmitPdu","1,00",3
"com.android.internal.telephony.ATParseEx","1,00",2
"com.android.internal.telephony.ATResponseParser","3,38",27
"com.android.internal.telephony.AdnRecord","1,55",34
"com.android.internal.telephony.AdnRecordCache","3,67",44
"com.android.internal.telephony.AdnRecordLoader","4,60",23
"com.android.internal.telephony.ApnContext","1,52",44
"com.android.internal.telephony.ApnSetting","3,00",15
"com.android.internal.telephony.BaseCommands","1,11",111
"com.android.internal.telephony.Call","2,08",27
"com.android.internal.telephony.Call.State","1,00",3
"com.android.internal.telephony.CallForwardInfo","2,00",2
"com.android.internal.telephony.CallManager","2,62",259
"com.android.internal.telephony.CallStateException","1,00",2
"com.android.internal.telephony.CallTracker","1,75",14
"com.android.internal.telephony.CommandException","6,67",20
"com.android.internal.telephony.CommandException.Error",n/a,0
"com.android.internal.telephony.CommandsInterface.RadioState","1,00",2
"com.android.internal.telephony.Connection","1,20",12
"com.android.internal.telephony.Connection.DisconnectCause",n/a,0
"com.android.internal.telephony.Connection.PostDialState",n/a,0
"com.android.internal.telephony.DataCallState","17,00",34
"com.android.internal.telephony.DataCallState.SetupResult","1,00",2
"com.android.internal.telephony.DataConnection","2,50",70
"com.android.internal.telephony.DataConnection.CallSetupException","1,00",2
"com.android.internal.telephony.DataConnection.ConnectionParams","1,00",1
"com.android.internal.telephony.DataConnection.DcActivatingState","20,00",20
"com.android.internal.telephony.DataConnection.DcActiveState","4,50",18
"com.android.internal.telephony.DataConnection.DcDefaultState","16,67",50
"com.android.internal.telephony.DataConnection.DcDisconnectingState","9,00",9
"com.android.internal.telephony.DataConnection.DcDisconnectionErrorCreatingConnection","7,00",7
"com.android.internal.telephony.DataConnection.DcInactiveState","4,20",21
"com.android.internal.telephony.DataConnection.DisconnectParams","1,00",1
"com.android.internal.telephony.DataConnection.FailCause","1,40",7
"com.android.internal.telephony.DataConnection.UpdateLinkPropertyResult","1,00",1
"com.android.internal.telephony.DataConnectionAc","2,07",85
"com.android.internal.telephony.DataConnectionAc.LinkPropertyChangeAction","4,00",4
"com.android.internal.telephony.DataConnectionTracker","4,18",184
"com.android.internal.telephony.DataConnectionTracker.DataRoamingSettingObserver","1,00",4
"com.android.internal.telephony.DataConnectionTracker.TxRxSum","2,50",15
"com.android.internal.telephony.DebugService","1,00",3
"com.android.internal.telephony.DefaultPhoneNotifier","2,45",49
"com.android.internal.telephony.DriverCall","4,33",26
"com.android.internal.telephony.DriverCall.State",n/a,0
"com.android.internal.telephony.IccCard","3,26",153
"com.android.internal.telephony.IccCardApplication","10,80",54
"com.android.internal.telephony.IccCardApplication.AppState","1,00",5
"com.android.internal.telephony.IccCardApplication.AppType",n/a,0
"com.android.internal.telephony.IccCardApplication.PersoSubState","1,00",1
"com.android.internal.telephony.IccCardStatus","2,00",30
"com.android.internal.telephony.IccCardStatus.CardState","1,00",1
"com.android.internal.telephony.IccCardStatus.PinState","1,00",3
"com.android.internal.telephony.IccException","1,00",2
"com.android.internal.telephony.IccFileHandler","3,29",46
