Class,OCavg,WMC
"com.android.SdkConstants","2,80",14
"com.android.annotations.VisibleForTesting.Visibility",n/a,0
"com.android.assetstudiolib.ActionBarIconGenerator","2,00",4
"com.android.assetstudiolib.ActionBarIconGenerator.ActionBarOptions",n/a,0
"com.android.assetstudiolib.ActionBarIconGenerator.Theme",n/a,0
"com.android.assetstudiolib.GraphicGenerator","1,90",19
"com.android.assetstudiolib.GraphicGenerator.Options",n/a,0
"com.android.assetstudiolib.GraphicGenerator.Shape","1,00",1
"com.android.assetstudiolib.GraphicGenerator.Style","1,00",1
"com.android.assetstudiolib.LauncherIconGenerator","4,33",13
"com.android.assetstudiolib.LauncherIconGenerator.LauncherOptions",n/a,0
"com.android.assetstudiolib.MenuIconGenerator","1,00",2
"com.android.assetstudiolib.NotificationIconGenerator","3,25",13
"com.android.assetstudiolib.NotificationIconGenerator.NotificationOptions",n/a,0
"com.android.assetstudiolib.NotificationIconGenerator.Version","1,00",2
"com.android.assetstudiolib.TabIconGenerator","2,60",13
"com.android.assetstudiolib.TabIconGenerator.TabOptions",n/a,0
"com.android.assetstudiolib.TextRenderUtil","5,00",5
"com.android.assetstudiolib.TextRenderUtil.Options",n/a,0
"com.android.assetstudiolib.Util","2,67",32
"com.android.assetstudiolib.Util.Effect",n/a,0
"com.android.assetstudiolib.Util.FillEffect","1,00",2
"com.android.assetstudiolib.Util.ShadowEffect","1,00",1
"com.android.ddmlib.AdbCommandRejectedException","1,00",4
"com.android.ddmlib.AdbHelper","2,95",62
"com.android.ddmlib.AdbHelper.AdbResponse","1,00",1
"com.android.ddmlib.AllocationInfo","1,80",18
"com.android.ddmlib.AllocationInfo.AllocationSorter","3,00",18
"com.android.ddmlib.AllocationInfo.SortMode",n/a,0
"com.android.ddmlib.AndroidDebugBridge","2,52",101
"com.android.ddmlib.BadPacketException","1,00",2
"com.android.ddmlib.CanceledException","1,00",2
"com.android.ddmlib.ChunkHandler","1,90",19
"com.android.ddmlib.Client","1,95",82
"com.android.ddmlib.ClientData","1,04",49
"com.android.ddmlib.ClientData.AllocationTrackingStatus",n/a,0
"com.android.ddmlib.ClientData.DebuggerStatus",n/a,0
"com.android.ddmlib.ClientData.HeapData","1,22",11
"com.android.ddmlib.ClientData.MethodProfilingStatus",n/a,0
"com.android.ddmlib.CollectingOutputReceiver","1,29",9
"com.android.ddmlib.DdmConstants","6,00",6
"com.android.ddmlib.DdmPreferences","1,05",20
"com.android.ddmlib.DebugPortManager","1,00",2
"com.android.ddmlib.Debugger","2,36",33
"com.android.ddmlib.Device","1,49",88
"com.android.ddmlib.Device.BatteryReceiver","2,33",7
"com.android.ddmlib.Device.InstallReceiver","2,00",8
"com.android.ddmlib.DeviceMonitor","3,11",109
"com.android.ddmlib.EmulatorConsole","2,73",71
"com.android.ddmlib.EmulatorConsole.GsmMode","2,25",9
"com.android.ddmlib.EmulatorConsole.GsmStatus",n/a,0
"com.android.ddmlib.EmulatorConsole.NetworkStatus",n/a,0
"com.android.ddmlib.FileListingService","2,44",22
"com.android.ddmlib.FileListingService.FileEntry","1,40",42
"com.android.ddmlib.FileListingService.LsReceiver","4,43",31
"com.android.ddmlib.GetPropReceiver","2,00",8
"com.android.ddmlib.HandleAppName","1,67",10
"com.android.ddmlib.HandleExit","1,00",6
"com.android.ddmlib.HandleHeap","2,42",58
"com.android.ddmlib.HandleHello","1,70",17
"com.android.ddmlib.HandleNativeHeap","2,89",26
"com.android.ddmlib.HandleProfiling","1,86",26
"com.android.ddmlib.HandleTest","1,17",7
"com.android.ddmlib.HandleThread","2,24",38
"com.android.ddmlib.HandleWait","1,17",7
"com.android.ddmlib.HeapSegment","2,38",31
"com.android.ddmlib.HeapSegment.HeapSegmentElement","1,40",14
"com.android.ddmlib.IDevice.DeviceState","2,00",4
"com.android.ddmlib.IDevice.DeviceUnixSocketNamespace","1,00",2
"com.android.ddmlib.InstallException","1,00",3
"com.android.ddmlib.JdwpPacket","1,53",26
"com.android.ddmlib.Log","1,73",26
"com.android.ddmlib.Log.Config",n/a,0
"com.android.ddmlib.Log.LogLevel","1,71",12
"com.android.ddmlib.MonitorThread","3,00",75
"com.android.ddmlib.MultiLineReceiver","3,00",12
"com.android.ddmlib.NativeAllocationInfo","2,33",35
"com.android.ddmlib.NativeLibraryMapInfo","1,00",5
"com.android.ddmlib.NativeStackCallInfo","1,14",8
"com.android.ddmlib.NullOutputReceiver","1,00",4
"com.android.ddmlib.RawImage","2,11",19
"com.android.ddmlib.ShellCommandUnresponsiveException",n/a,0
"com.android.ddmlib.SyncException","1,00",5
"com.android.ddmlib.SyncException.SyncError","1,00",2
"com.android.ddmlib.SyncService","3,35",77
"com.android.ddmlib.SyncService.NullSyncProgresMonitor","1,00",5
"com.android.ddmlib.ThreadInfo","1,00",13
"com.android.ddmlib.TimeoutException",n/a,0
"com.android.ddmlib.log.EventContainer","4,21",59
"com.android.ddmlib.log.EventContainer.CompareMethod","1,00",3
"com.android.ddmlib.log.EventContainer.EventValueType","2,67",16
"com.android.ddmlib.log.EventLogParser","4,62",74
"com.android.ddmlib.log.EventValueDescription","2,12",17
"com.android.ddmlib.log.EventValueDescription.ValueType","1,60",8
"com.android.ddmlib.log.GcEventContainer","4,23",55
"com.android.ddmlib.log.InvalidTypeException","1,00",4
"com.android.ddmlib.log.InvalidValueTypeException","1,00",4
