Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"com.android.sdklib.IAndroidTarget",0,3,7,21,301
"com.android.sdklib.IAndroidTarget.IOptionalLibrary",0,0,0,7,303
"com.android.sdklib.ISystemImage",0,1,1,10,302
"com.android.sdklib.build.ApkBuilder.JarStatus",0,0,0,2,5
"com.android.sdklib.build.IArchiveBuilder",0,3,4,1,4
"com.android.sdklib.devices.DeviceManager.DevicesChangedListener",0,0,0,1,7
"com.android.sdklib.internal.build.DebugKeyProvider.IKeyGenOutput",0,0,0,4,8
"com.android.sdklib.internal.build.SignedJarBuilder.IZipEntryFilter",0,1,1,3,5
"com.android.sdklib.internal.project.IPropertySource",0,0,0,1,302
"com.android.sdklib.internal.repository.IDescription",0,0,0,5,300
"com.android.sdklib.internal.repository.ITask",0,1,3,1,1
"com.android.sdklib.internal.repository.ITaskFactory",0,2,4,0,0
"com.android.sdklib.internal.repository.ITaskMonitor",0,2,2,24,312
"com.android.sdklib.internal.repository.packages.IAndroidVersionProvider",0,1,4,7,299
"com.android.sdklib.internal.repository.packages.IExactApiLevelDependency",0,0,0,6,299
"com.android.sdklib.internal.repository.packages.IFullRevisionProvider",24,1,92,1,298
"com.android.sdklib.internal.repository.packages.ILayoutlibVersion",0,1,1,3,299
"com.android.sdklib.internal.repository.packages.IMinApiLevelDependency",0,0,0,9,299
"com.android.sdklib.internal.repository.packages.IMinPlatformToolsDependency",0,1,2,2,299
"com.android.sdklib.internal.repository.packages.IMinToolsDependency",0,1,2,4,299
"com.android.sdklib.internal.repository.packages.IPlatformDependency",0,1,4,2,299
"com.android.sdklib.io.IFileOp",0,0,0,7,303
"com.android.sdklib.util.GrabProcessOutput.IProcessOutput",0,0,0,1,307

