Complexity metrics,Ter, 10 out 2017 11:43:01 BRT
Class,OCavg,WMC
"org.apache.tools.ant.AntClassLoader","2,77",144
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration","1,25",5
"org.apache.tools.ant.AntTypeDefinition","2,00",40
"org.apache.tools.ant.BuildEvent","1,00",11
"org.apache.tools.ant.BuildException","1,13",17
"org.apache.tools.ant.ComponentHelper","2,50",90
"org.apache.tools.ant.ComponentHelper.AntTypeTable","1,62",13
"org.apache.tools.ant.DefaultLogger","1,59",27
"org.apache.tools.ant.DemuxInputStream","1,33",4
"org.apache.tools.ant.DemuxOutputStream","1,90",19
"org.apache.tools.ant.DemuxOutputStream.BufferInfo",n/a,0
"org.apache.tools.ant.Diagnostics","1,77",53
"org.apache.tools.ant.DirectoryScanner","3,13",188
"org.apache.tools.ant.ExitException","1,00",3
"org.apache.tools.ant.ExitStatusException","1,00",3
"org.apache.tools.ant.IntrospectionHelper","2,55",130
"org.apache.tools.ant.IntrospectionHelper.AddNestedCreator","2,00",10
"org.apache.tools.ant.IntrospectionHelper.AttributeSetter","1,00",1
"org.apache.tools.ant.IntrospectionHelper.CreateNestedCreator","1,00",2
"org.apache.tools.ant.IntrospectionHelper.Creator","2,60",13
"org.apache.tools.ant.IntrospectionHelper.NestedCreator","1,00",4
"org.apache.tools.ant.Location","1,60",16
"org.apache.tools.ant.MagicNames","1,00",1
"org.apache.tools.ant.Main","4,76",100
"org.apache.tools.ant.NoBannerLogger","1,50",6
"org.apache.tools.ant.PathTokenizer","5,00",15
"org.apache.tools.ant.Project","1,72",187
"org.apache.tools.ant.Project.AntRefTable","1,33",4
"org.apache.tools.ant.ProjectComponent","1,40",7
"org.apache.tools.ant.ProjectHelper","2,17",39
"org.apache.tools.ant.PropertyHelper","2,70",62
"org.apache.tools.ant.RuntimeConfigurable","2,43",56
"org.apache.tools.ant.Target","1,90",57
"org.apache.tools.ant.Task","1,29",40
"org.apache.tools.ant.TaskAdapter","1,60",8
"org.apache.tools.ant.UnknownElement","2,50",75
"org.apache.tools.ant.UnsupportedAttributeException","1,00",2
"org.apache.tools.ant.UnsupportedElementException","1,00",2
"org.apache.tools.ant.XmlLogger","3,00",45
"org.apache.tools.ant.XmlLogger.TimedElement","1,00",1
"org.apache.tools.ant.dispatch.DispatchTask","1,00",3
"org.apache.tools.ant.dispatch.DispatchUtils","15,00",15
"org.apache.tools.ant.filters.BaseFilterReader","1,90",19
"org.apache.tools.ant.filters.BaseParamFilterReader","1,00",4
"org.apache.tools.ant.filters.ClassConstants","2,50",10
"org.apache.tools.ant.filters.ConcatFilter","2,67",24
"org.apache.tools.ant.filters.EscapeUnicode","2,00",10
"org.apache.tools.ant.filters.ExpandProperties","2,00",8
"org.apache.tools.ant.filters.FixCrLfFilter","1,67",30
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove","1,50",9
"org.apache.tools.ant.filters.FixCrLfFilter.AddEofFilter","2,00",4
"org.apache.tools.ant.filters.FixCrLfFilter.AddTabFilter","8,00",16
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf","1,67",10
"org.apache.tools.ant.filters.FixCrLfFilter.MaskJavaTabLiteralsFilter","7,67",23
"org.apache.tools.ant.filters.FixCrLfFilter.NormalizeEolFilter","8,00",16
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveEofFilter","1,50",3
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveTabFilter","3,50",7
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader","1,25",20
"org.apache.tools.ant.filters.HeadFilter","2,20",22
"org.apache.tools.ant.filters.LineContains","2,10",21
"org.apache.tools.ant.filters.LineContains.Contains","1,00",2
"org.apache.tools.ant.filters.LineContainsRegExp","2,10",21
"org.apache.tools.ant.filters.PrefixLines","2,29",16
"org.apache.tools.ant.filters.ReplaceTokens","2,69",35
"org.apache.tools.ant.filters.ReplaceTokens.Token","1,00",4
"org.apache.tools.ant.filters.StringInputStream","1,00",2
"org.apache.tools.ant.filters.StripJavaComments","4,00",16
"org.apache.tools.ant.filters.StripLineBreaks","2,00",14
"org.apache.tools.ant.filters.StripLineComments","2,38",19
"org.apache.tools.ant.filters.StripLineComments.Comment","1,00",2
"org.apache.tools.ant.filters.TabsToSpaces","2,00",14
"org.apache.tools.ant.filters.TailFilter","2,90",29
"org.apache.tools.ant.filters.TokenFilter","2,32",44
"org.apache.tools.ant.filters.TokenFilter.ChainableReaderFilter","1,50",3
"org.apache.tools.ant.filters.TokenFilter.ContainsRegex","2,00",10
"org.apache.tools.ant.filters.TokenFilter.ContainsString","2,00",4
"org.apache.tools.ant.filters.TokenFilter.DeleteCharacters","2,40",12
"org.apache.tools.ant.filters.TokenFilter.FileTokenizer","1,00",2
"org.apache.tools.ant.filters.TokenFilter.IgnoreBlank","2,00",2
"org.apache.tools.ant.filters.TokenFilter.ReplaceRegex","1,80",9
"org.apache.tools.ant.filters.TokenFilter.ReplaceString","2,67",8
"org.apache.tools.ant.filters.TokenFilter.StringTokenizer","2,86",20
"org.apache.tools.ant.filters.TokenFilter.Trim","1,00",1
"org.apache.tools.ant.filters.util.ChainReaderHelper","3,12",25
"org.apache.tools.ant.filters.util.JavaClassHelper","5,00",5
"org.apache.tools.ant.helper.AntXMLContext","1,25",35
"org.apache.tools.ant.helper.DefaultExecutor","2,50",5
"org.apache.tools.ant.helper.ProjectHelper2","2,09",23
"org.apache.tools.ant.helper.ProjectHelper2.AntHandler","1,17",7
"org.apache.tools.ant.helper.ProjectHelper2.ElementHandler","2,60",13
"org.apache.tools.ant.helper.ProjectHelper2.MainHandler","3,00",3
"org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler","11,50",23
"org.apache.tools.ant.helper.ProjectHelper2.RootHandler","1,33",12
"org.apache.tools.ant.helper.ProjectHelper2.TargetHandler","6,33",19
"org.apache.tools.ant.helper.ProjectHelperImpl","2,75",11
"org.apache.tools.ant.helper.ProjectHelperImpl.AbstractHandler","1,25",5
"org.apache.tools.ant.helper.ProjectHelperImpl.DataTypeHandler","1,25",5
"org.apache.tools.ant.helper.ProjectHelperImpl.DescriptionHandler","1,50",3
"org.apache.tools.ant.helper.ProjectHelperImpl.NestedElementHandler","1,75",7
"org.apache.tools.ant.helper.ProjectHelperImpl.ProjectHandler","4,00",16
"org.apache.tools.ant.helper.ProjectHelperImpl.RootHandler","1,75",7
"org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler","4,67",14
"org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler","1,75",7
"org.apache.tools.ant.helper.SingleCheckExecutor","1,00",2
"org.apache.tools.ant.input.DefaultInputHandler","2,25",9
"org.apache.tools.ant.input.GreedyInputHandler","2,00",4
"org.apache.tools.ant.input.InputRequest","1,20",6
"org.apache.tools.ant.input.MultipleChoiceInputRequest","1,33",4
"org.apache.tools.ant.input.PropertyFileInputHandler","2,33",7
"org.apache.tools.ant.launch.LaunchException","1,00",1
"org.apache.tools.ant.launch.Launcher","9,33",28
"org.apache.tools.ant.launch.Locator","4,64",51
"org.apache.tools.ant.listener.AnsiColorLogger","8,50",17
"org.apache.tools.ant.listener.CommonsLoggingListener","3,14",44
