Dependency metrics,Ter, 10 out 2017 13:39:46 BRT
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.tools.ant.AntClassLoader",218,17,266,31,1.119
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration",218,2,266,1,1.119
"org.apache.tools.ant.AntTypeDefinition",218,4,266,10,1.119
"org.apache.tools.ant.BuildEvent",218,4,266,27,1.119
"org.apache.tools.ant.BuildException",218,1,266,557,1.119
"org.apache.tools.ant.ComponentHelper",218,18,266,12,1.119
"org.apache.tools.ant.ComponentHelper.AntTypeTable",218,2,266,1,1.119
"org.apache.tools.ant.DefaultLogger",218,8,266,10,1.119
"org.apache.tools.ant.DemuxInputStream",218,1,266,1,1.119
"org.apache.tools.ant.DemuxOutputStream",218,2,266,2,1.119
"org.apache.tools.ant.DemuxOutputStream.BufferInfo",0,0,0,1,1.120
"org.apache.tools.ant.Diagnostics",218,11,266,2,1.119
"org.apache.tools.ant.DirectoryScanner",218,11,266,64,1.119
"org.apache.tools.ant.ExitException",0,0,0,4,91
"org.apache.tools.ant.ExitStatusException",218,1,266,2,1.119
"org.apache.tools.ant.IntrospectionHelper",218,24,266,7,1.119
"org.apache.tools.ant.IntrospectionHelper.AddNestedCreator",218,4,266,1,1.119
"org.apache.tools.ant.IntrospectionHelper.AttributeSetter",218,2,266,1,1.119
"org.apache.tools.ant.IntrospectionHelper.CreateNestedCreator",218,2,266,1,1.119
"org.apache.tools.ant.IntrospectionHelper.Creator",218,4,266,3,1.119
"org.apache.tools.ant.IntrospectionHelper.NestedCreator",218,1,266,4,1.119
"org.apache.tools.ant.Location",218,1,266,24,1.119
"org.apache.tools.ant.MagicNames",0,0,0,22,1.121
"org.apache.tools.ant.Main",218,19,266,3,1.119
"org.apache.tools.ant.NoBannerLogger",0,4,267,0,0
"org.apache.tools.ant.PathTokenizer",218,1,266,2,1.119
"org.apache.tools.ant.Project",218,32,266,514,1.119
"org.apache.tools.ant.Project.AntRefTable",218,1,266,1,1.119
"org.apache.tools.ant.ProjectComponent",218,1,266,299,1.119
"org.apache.tools.ant.ProjectHelper",218,8,266,23,1.119
"org.apache.tools.ant.PropertyHelper",218,3,266,3,1.119
"org.apache.tools.ant.RuntimeConfigurable",218,9,266,11,1.119
"org.apache.tools.ant.Target",218,7,266,31,1.119
"org.apache.tools.ant.Task",218,8,266,317,1.119
"org.apache.tools.ant.TaskAdapter",218,7,266,3,1.119
"org.apache.tools.ant.UnknownElement",218,14,266,19,1.119
"org.apache.tools.ant.UnsupportedAttributeException",218,1,266,3,1.119
"org.apache.tools.ant.UnsupportedElementException",218,1,266,2,1.119
"org.apache.tools.ant.XmlLogger",0,12,270,0,0
"org.apache.tools.ant.XmlLogger.TimedElement",0,0,0,1,1
"org.apache.tools.ant.dispatch.DispatchTask",0,2,267,2,2
"org.apache.tools.ant.dispatch.DispatchUtils",218,4,266,3,1.119
"org.apache.tools.ant.filters.BaseFilterReader",218,2,266,17,1.119
"org.apache.tools.ant.filters.BaseParamFilterReader",218,3,266,12,1.119
"org.apache.tools.ant.filters.ClassConstants",218,2,266,1,1.119
"org.apache.tools.ant.filters.ConcatFilter",0,6,267,0,0
"org.apache.tools.ant.filters.EscapeUnicode",218,3,266,1,1.119
"org.apache.tools.ant.filters.ExpandProperties",218,3,266,1,1.119
"org.apache.tools.ant.filters.FixCrLfFilter",3,12,276,5,7
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove",0,1,267,2,8
"org.apache.tools.ant.filters.FixCrLfFilter.AddEofFilter",3,2,276,1,7
"org.apache.tools.ant.filters.FixCrLfFilter.AddTabFilter",0,1,2,1,8
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf",0,1,267,2,8
"org.apache.tools.ant.filters.FixCrLfFilter.MaskJavaTabLiteralsFilter",0,1,2,1,8
"org.apache.tools.ant.filters.FixCrLfFilter.NormalizeEolFilter",3,3,276,1,7
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveEofFilter",3,2,276,1,7
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveTabFilter",0,1,2,1,8
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader",0,1,1,6,11
"org.apache.tools.ant.filters.HeadFilter",218,6,266,1,1.119
"org.apache.tools.ant.filters.LineContains",218,7,266,1,1.119
"org.apache.tools.ant.filters.LineContains.Contains",0,0,0,1,1.120
"org.apache.tools.ant.filters.LineContainsRegExp",218,9,266,1,1.119
"org.apache.tools.ant.filters.PrefixLines",218,5,266,1,1.119
"org.apache.tools.ant.filters.ReplaceTokens",218,7,266,1,1.119
"org.apache.tools.ant.filters.ReplaceTokens.Token",0,0,0,1,1.120
"org.apache.tools.ant.filters.StringInputStream",0,1,2,0,0
"org.apache.tools.ant.filters.StripJavaComments",218,2,266,1,1.119
"org.apache.tools.ant.filters.StripLineBreaks",218,5,266,1,1.119
"org.apache.tools.ant.filters.StripLineComments",218,6,266,1,1.119
"org.apache.tools.ant.filters.StripLineComments.Comment",0,0,0,1,1.120
"org.apache.tools.ant.filters.TabsToSpaces",218,5,266,1,1.119
"org.apache.tools.ant.filters.TailFilter",218,6,266,1,1.119
"org.apache.tools.ant.filters.TokenFilter",218,17,266,6,1.119
"org.apache.tools.ant.filters.TokenFilter.ChainableReaderFilter",218,5,266,6,1.119
"org.apache.tools.ant.filters.TokenFilter.ContainsRegex",218,8,266,2,1.119
"org.apache.tools.ant.filters.TokenFilter.ContainsString",218,3,266,1,1.119
"org.apache.tools.ant.filters.TokenFilter.DeleteCharacters",218,4,266,2,1.119
"org.apache.tools.ant.filters.TokenFilter.FileTokenizer",218,3,266,2,1.119
"org.apache.tools.ant.filters.TokenFilter.IgnoreBlank",218,1,266,2,1.119
"org.apache.tools.ant.filters.TokenFilter.ReplaceRegex",218,8,266,2,1.119
"org.apache.tools.ant.filters.TokenFilter.ReplaceString",218,2,266,2,1.119
"org.apache.tools.ant.filters.TokenFilter.StringTokenizer",218,4,266,1,1.119
"org.apache.tools.ant.filters.TokenFilter.Trim",218,1,266,2,1.119
"org.apache.tools.ant.filters.util.ChainReaderHelper",218,13,266,6,1.119
"org.apache.tools.ant.filters.util.JavaClassHelper",0,1,1,0,0
"org.apache.tools.ant.helper.AntXMLContext",218,4,266,7,1.119
"org.apache.tools.ant.helper.DefaultExecutor",218,5,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2",218,17,266,7,1.119
"org.apache.tools.ant.helper.ProjectHelper2.AntHandler",218,1,266,6,1.119
"org.apache.tools.ant.helper.ProjectHelper2.ElementHandler",218,11,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2.MainHandler",218,4,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler",218,8,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2.RootHandler",218,5,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelper2.TargetHandler",218,7,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl",218,11,266,9,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.AbstractHandler",218,1,266,6,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.DataTypeHandler",218,7,266,1,1.119
"org.apache.tools.ant.helper.ProjectHelperImpl.DescriptionHandler",218,3,266,1,1.119
