Package,A,Ca,Ce,D,I
"org.apache.tools.ant","0,32",362,85,"0,49","0,18"
"org.apache.tools.ant.dispatch","0,67",6,4,"0,07","0,40"
"org.apache.tools.ant.filters","0,12",56,75,"0,31","0,65"
"org.apache.tools.ant.filters.util","0,00",3,4,"0,43","0,57"
"org.apache.tools.ant.helper","0,00",22,40,"0,35","0,56"
"org.apache.tools.ant.input","0,17",13,12,"0,35","0,48"
"org.apache.tools.ant.launch","0,25",9,2,"0,57","0,18"
"org.apache.tools.ant.listener","0,00",0,8,"0,00","1,00"
"org.apache.tools.ant.loader","0,00",0,1,"0,00","1,00"
"org.apache.tools.ant.taskdefs","0,08",289,560,"0,26","0,70"
"org.apache.tools.ant.taskdefs.compilers","0,15",17,57,"0,08","0,77"
"org.apache.tools.ant.taskdefs.condition","0,08",43,59,"0,34","0,58"
"org.apache.tools.ant.taskdefs.cvslib","0,00",9,22,"0,29","0,71"
"org.apache.tools.ant.taskdefs.email","0,09",14,18,"0,35","0,59"
"org.apache.tools.ant.taskdefs.optional","0,00",23,80,"0,22","0,88"
"org.apache.tools.ant.taskdefs.optional.ccm","0,14",2,19,"0,05","0,90"
"org.apache.tools.ant.taskdefs.optional.clearcase","0,07",1,57,"0,05","0,98"
"org.apache.tools.ant.taskdefs.optional.depend","0,12",5,15,"0,12","0,79"
"org.apache.tools.ant.taskdefs.optional.depend.constantpool","0,14",17,14,"0,41","0,45"
"org.apache.tools.ant.taskdefs.optional.dotnet","0,06",12,46,"0,15","0,86"
"org.apache.tools.ant.taskdefs.optional.ejb","0,03",24,72,"0,22","0,82"
"org.apache.tools.ant.taskdefs.optional.extension","0,06",13,32,"0,23","0,71"
"org.apache.tools.ant.taskdefs.optional.extension.resolvers","0,00",3,8,"0,27","0,73"
"org.apache.tools.ant.taskdefs.optional.i18n","0,00",0,4,"0,00","1,00"
"org.apache.tools.ant.taskdefs.optional.image","0,00",0,4,"0,00","1,00"
"org.apache.tools.ant.taskdefs.optional.j2ee","0,33",6,19,"0,09","0,76"
"org.apache.tools.ant.taskdefs.optional.javacc","0,00",1,14,"0,07","0,93"
"org.apache.tools.ant.taskdefs.optional.javah","0,25",5,19,"0,04","0,79"
"org.apache.tools.ant.taskdefs.optional.jdepend","0,00",1,7,"0,12","1,00"
"org.apache.tools.ant.taskdefs.optional.jlink","0,00",3,7,"0,30","0,70"
"org.apache.tools.ant.taskdefs.optional.jsp","0,17",10,12,"0,29","0,60"
"org.apache.tools.ant.taskdefs.optional.jsp.compilers","0,50",7,14,"0,17","0,67"
"org.apache.tools.ant.taskdefs.optional.junit","0,23",32,71,"0,08","0,75"
"org.apache.tools.ant.taskdefs.optional.native2ascii","0,40",6,18,"0,15","0,75"
"org.apache.tools.ant.taskdefs.optional.net","0,00",18,44,"0,29","0,89"
"org.apache.tools.ant.taskdefs.optional.perforce","0,17",10,52,"0,01","0,85"
"org.apache.tools.ant.taskdefs.optional.pvcs","0,00",1,4,"0,20","0,80"
"org.apache.tools.ant.taskdefs.optional.scm","0,00",0,1,"0,00","1,00"
"org.apache.tools.ant.taskdefs.optional.script","0,00",4,6,"0,40","0,75"
"org.apache.tools.ant.taskdefs.optional.sos","0,33",6,15,"0,05","0,71"
"org.apache.tools.ant.taskdefs.optional.sound","0,00",2,4,"0,33","0,75"
"org.apache.tools.ant.taskdefs.optional.splash","0,00",2,3,"0,40","0,60"
"org.apache.tools.ant.taskdefs.optional.ssh","0,25",11,15,"0,17","0,58"
"org.apache.tools.ant.taskdefs.optional.starteam","0,30",9,19,"0,02","0,71"
"org.apache.tools.ant.taskdefs.optional.unix","0,25",1,17,"0,19","0,94"
"org.apache.tools.ant.taskdefs.optional.vss","0,15",13,39,"0,10","0,77"
"org.apache.tools.ant.taskdefs.optional.windows","0,00",0,4,"0,00","1,00"
"org.apache.tools.ant.taskdefs.rmic","0,25",12,34,"0,01","0,73"
"org.apache.tools.ant.types","0,16",291,127,"0,53","0,30"
"org.apache.tools.ant.types.mappers","0,00",0,4,"0,00","1,00"
"org.apache.tools.ant.types.optional","0,20",1,13,"0,13","0,93"
"org.apache.tools.ant.types.optional.depend","0,00",2,6,"0,25","0,86"
"org.apache.tools.ant.types.optional.image","0,31",18,17,"0,21","0,48"
"org.apache.tools.ant.types.resolver","0,00",2,4,"0,33","0,67"
"org.apache.tools.ant.types.resources","0,16",70,81,"0,31","0,54"
"org.apache.tools.ant.types.resources.comparators","0,11",6,22,"0,10","0,79"
"org.apache.tools.ant.types.resources.selectors","0,07",19,33,"0,29","0,63"
"org.apache.tools.ant.types.selectors","0,27",85,76,"0,26","0,47"
"org.apache.tools.ant.types.selectors.modifiedselector","0,18",23,16,"0,41","0,43"
"org.apache.tools.ant.util","0,12",180,72,"0,59","0,26"
"org.apache.tools.ant.util.depend","1,00",6,5,"0,45","0,45"
"org.apache.tools.ant.util.depend.bcel","0,00",1,3,"0,25","0,75"
"org.apache.tools.ant.util.facade","0,00",6,2,"0,75","0,25"
"org.apache.tools.ant.util.java15","0,00",0,1,"0,00","1,00"
"org.apache.tools.ant.util.optional","0,00",1,2,"0,33","0,67"
"org.apache.tools.ant.util.regexp","0,18",24,20,"0,36","0,45"
"org.apache.tools.bzip2","0,17",9,4,"0,53","0,22"
"org.apache.tools.mail","0,00",6,1,"0,86","0,14"
"org.apache.tools.tar","0,17",14,3,"0,66","0,18"
"org.apache.tools.zip","0,15",26,9,"0,59","0,25"

