Class,OCavg,WMC
"org.apache.commons.codec.CharEncoding",n/a,0
"org.apache.commons.codec.DecoderException","1,00",4
"org.apache.commons.codec.EncoderException","1,00",4
"org.apache.commons.codec.StringEncoderComparator","1,00",2
"org.apache.commons.codec.binary.Base32","4,88",39
"org.apache.commons.codec.binary.Base32InputStream","1,00",3
"org.apache.commons.codec.binary.Base32OutputStream","1,00",3
"org.apache.commons.codec.binary.Base64","2,40",60
"org.apache.commons.codec.binary.Base64InputStream","1,00",3
"org.apache.commons.codec.binary.Base64OutputStream","1,00",3
"org.apache.commons.codec.binary.BaseNCodec","2,00",40
"org.apache.commons.codec.binary.BaseNCodecInputStream","3,75",15
"org.apache.commons.codec.binary.BaseNCodecOutputStream","2,50",15
"org.apache.commons.codec.binary.BinaryCodec","3,00",33
"org.apache.commons.codec.binary.Hex","1,50",21
"org.apache.commons.codec.binary.StringUtils","1,13",17
"org.apache.commons.codec.digest.DigestUtils","1,03",39
"org.apache.commons.codec.language.AbstractCaverphone","1,33",4
"org.apache.commons.codec.language.Caverphone1","2,00",2
"org.apache.commons.codec.language.Caverphone2","2,00",2
"org.apache.commons.codec.language.ColognePhonetic","5,67",34
"org.apache.commons.codec.language.ColognePhonetic.CologneBuffer","1,00",4
"org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer","1,00",6
"org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer","1,00",3
"org.apache.commons.codec.language.DoubleMetaphone","4,16",183
"org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult","1,33",16
"org.apache.commons.codec.language.Metaphone","5,92",71
"org.apache.commons.codec.language.RefinedSoundex","1,88",15
"org.apache.commons.codec.language.Soundex","2,00",20
"org.apache.commons.codec.language.SoundexUtils","3,33",10
"org.apache.commons.codec.language.bm.BeiderMorseEncoder","1,25",10
"org.apache.commons.codec.language.bm.Lang","3,60",18
"org.apache.commons.codec.language.bm.Lang.LangRule","1,00",2
"org.apache.commons.codec.language.bm.Languages","2,40",12
"org.apache.commons.codec.language.bm.NameType","1,00",2
"org.apache.commons.codec.language.bm.PhoneticEngine","4,21",59
"org.apache.commons.codec.language.bm.PhoneticEngine.RulesApplication","2,00",10
"org.apache.commons.codec.language.bm.ResourceConstants",n/a,0
"org.apache.commons.codec.language.bm.Rule","2,53",38
"org.apache.commons.codec.language.bm.RuleType","1,00",2
"org.apache.commons.codec.net.BCodec","1,82",20
"org.apache.commons.codec.net.QCodec","2,54",33
"org.apache.commons.codec.net.QuotedPrintableCodec","2,43",34
"org.apache.commons.codec.net.RFC1522Codec","4,50",9
"org.apache.commons.codec.net.URLCodec","2,77",36
"org.apache.commons.codec.net.Utils","2,00",2

