Chidamber-Kemerer metrics,Qui, 26 out 2017 16:50:55 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.james.mime4j.MimeException",25,3,0,3,6,3
"org.apache.james.mime4j.MimeIOException",4,4,0,1,6,2
"org.apache.james.mime4j.codec.Base64InputStream",10,2,1,0,21,48
"org.apache.james.mime4j.codec.Base64OutputStream",6,3,1,0,25,44
"org.apache.james.mime4j.codec.ByteQueue",3,1,1,0,13,8
"org.apache.james.mime4j.codec.CodecUtil",13,1,3,0,13,7
"org.apache.james.mime4j.codec.DecoderUtil",6,1,1,0,36,29
"org.apache.james.mime4j.codec.EncoderUtil",9,1,2,0,45,77
"org.apache.james.mime4j.codec.EncoderUtil.Encoding",2,n/a,0,n/a,0,0
"org.apache.james.mime4j.codec.EncoderUtil.Usage",3,n/a,0,n/a,0,0
"org.apache.james.mime4j.codec.QuotedPrintableEncoder",3,1,1,0,17,37
"org.apache.james.mime4j.codec.QuotedPrintableInputStream",9,2,1,0,18,36
"org.apache.james.mime4j.codec.QuotedPrintableOutputStream",3,3,1,0,12,7
"org.apache.james.mime4j.codec.UnboundedFifoByteBuffer",2,1,1,0,12,29
"org.apache.james.mime4j.descriptor.BodyDescriptor",n/a,n/a,n/a,n/a,1,n/a
"org.apache.james.mime4j.descriptor.ContentDescriptor",n/a,n/a,n/a,n/a,7,n/a
"org.apache.james.mime4j.descriptor.DefaultBodyDescriptor",8,1,1,1,34,27
"org.apache.james.mime4j.descriptor.MaximalBodyDescriptor",9,2,1,0,48,50
"org.apache.james.mime4j.descriptor.MutableBodyDescriptor",n/a,n/a,n/a,n/a,1,n/a
"org.apache.james.mime4j.field.AbstractField",29,1,5,8,25,13
"org.apache.james.mime4j.field.AddressListField",10,2,1,0,11,8
"org.apache.james.mime4j.field.ContentDispositionField",10,2,1,0,34,37
"org.apache.james.mime4j.field.ContentTransferEncodingField",11,2,1,0,7,5
"org.apache.james.mime4j.field.ContentTypeField",12,2,1,0,30,28
"org.apache.james.mime4j.field.DateTimeField",9,2,1,0,11,9
"org.apache.james.mime4j.field.DefaultFieldParser",11,2,0,0,2,1
"org.apache.james.mime4j.field.DelegatingFieldParser",6,1,1,1,8,4
"org.apache.james.mime4j.field.FieldName",5,1,0,0,1,1
