Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.james.mime4j.descriptor.BodyDescriptor",0,1,1,19,58
"org.apache.james.mime4j.descriptor.ContentDescriptor",0,0,0,10,59
"org.apache.james.mime4j.descriptor.MutableBodyDescriptor",0,2,5,6,53
"org.apache.james.mime4j.field.FieldParser",0,2,6,11,47
"org.apache.james.mime4j.field.ParsedField",0,2,5,11,48
"org.apache.james.mime4j.io.LineNumberSource",0,0,0,3,50
"org.apache.james.mime4j.message.Body",14,2,109,10,27
"org.apache.james.mime4j.message.Disposable",0,0,0,2,28
"org.apache.james.mime4j.parser.ContentHandler",0,3,6,4,36
"org.apache.james.mime4j.parser.EntityStateMachine",0,3,6,5,50
"org.apache.james.mime4j.parser.EntityStates",0,0,0,16,50
"org.apache.james.mime4j.parser.Field",0,1,2,29,80
"org.apache.james.mime4j.parser.RecursionMode",0,0,0,8,48
"org.apache.james.mime4j.storage.Storage",0,0,0,16,49
"org.apache.james.mime4j.storage.StorageProvider",0,2,3,10,37
"org.apache.james.mime4j.util.ByteSequence",1,1,1,24,100

