Package,v(G)avg,v(G)tot
"javacc.org.apache.james.mime4j.field.contentdisposition","4,67",28
"javacc.org.apache.james.mime4j.field.contenttype","4,67",28
"javacc.org.apache.james.mime4j.field.datetime","4,67",28
"javacc.org.apache.james.mime4j.field.language","4,67",28
"javacc.org.apache.james.mime4j.field.mimeversion","4,67",28
"javacc.org.apache.james.mime4j.field.structured","4,67",28
"jjtree.org.apache.james.mime4j.field.address","4,67",28
"org.apache.james.mime4j","1,00",5
"org.apache.james.mime4j.codec","3,42",349
"org.apache.james.mime4j.descriptor","2,24",101
"org.apache.james.mime4j.field","1,82",215
"org.apache.james.mime4j.field.address","2,13",132
"org.apache.james.mime4j.field.datetime","2,33",35
"org.apache.james.mime4j.io","2,63",197
"org.apache.james.mime4j.message","1,65",296
"org.apache.james.mime4j.parser","2,23",236
"org.apache.james.mime4j.storage","1,79",104
"org.apache.james.mime4j.util","2,56",182

