Martin packaging metrics,Qui, 26 out 2017 14:34:05 BRST
Package,A,Ca,Ce,D,I
"org.apache.commons.lang3","0,00",60,30,"0,67","0,30"
"org.apache.commons.lang3.builder","0,14",20,20,"0,36","0,48"
"org.apache.commons.lang3.concurrent","0,29",16,17,"0,19","0,52"
"org.apache.commons.lang3.event","0,00",4,6,"0,40","0,67"
"org.apache.commons.lang3.exception","0,17",6,9,"0,23","0,60"
"org.apache.commons.lang3.math","0,00",5,1,"0,83","0,17"
"org.apache.commons.lang3.mutable","0,11",14,8,"0,53","0,36"
"org.apache.commons.lang3.reflect","0,20",6,8,"0,23","0,57"
"org.apache.commons.lang3.text","0,16",21,21,"0,34","0,50"
"org.apache.commons.lang3.text.translate","0,18",20,10,"0,48","0,34"
"org.apache.commons.lang3.time","0,12",25,23,"0,40","0,54"
"org.apache.commons.lang3.tuple","0,33",6,5,"0,21","0,45"

