Package,v(G)avg,v(G)tot
"org.apache.commons.lang3","3,33",2.409
"org.apache.commons.lang3.builder","2,18",772
"org.apache.commons.lang3.concurrent","1,66",161
"org.apache.commons.lang3.event","1,45",29
"org.apache.commons.lang3.exception","2,00",126
"org.apache.commons.lang3.math","4,30",400
"org.apache.commons.lang3.mutable","1,14",182
"org.apache.commons.lang3.reflect","3,96",337
"org.apache.commons.lang3.text","2,32",789
"org.apache.commons.lang3.text.translate","2,82",110
"org.apache.commons.lang3.time","2,44",512
"org.apache.commons.lang3.tuple","1,24",26

