Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.commons.logging.LogConfigurationException",0,0,0,3,4
"org.apache.commons.logging.LogFactory",0,2,2,2,2
"org.apache.commons.logging.LogSource",0,2,2,0,0
"org.apache.commons.logging.impl.AvalonLogger",0,1,1,0,0
"org.apache.commons.logging.impl.Jdk13LumberjackLogger",0,1,1,0,0
"org.apache.commons.logging.impl.Jdk14Logger",0,2,2,0,0
"org.apache.commons.logging.impl.Log4JLogger",0,1,1,0,0
"org.apache.commons.logging.impl.LogFactoryImpl",0,4,4,0,0
"org.apache.commons.logging.impl.LogKitLogger",0,1,1,0,0
"org.apache.commons.logging.impl.NoOpLog",0,1,1,1,1
"org.apache.commons.logging.impl.ServletContextCleaner",0,1,3,0,0
"org.apache.commons.logging.impl.SimpleLog",0,2,2,0,0
"org.apache.commons.logging.impl.WeakHashtable",0,3,3,0,0
"org.apache.commons.logging.impl.WeakHashtable.Entry",0,0,0,1,1
"org.apache.commons.logging.impl.WeakHashtable.Referenced",1,1,1,2,2
"org.apache.commons.logging.impl.WeakHashtable.WeakKey",1,1,1,2,2

