Martin packaging metrics,Qui, 26 out 2017 17:08:51 BRST
Package,A,Ca,Ce,D,I
"bayeux.java.org.apache.cometd.bayeux","1,00",14,0,"0,00","0,00"
"bayeux.java.org.apache.tomcat.bayeux","0,20",9,25,"0,06","0,74"
"bayeux.java.org.apache.tomcat.bayeux.request","0,00",6,25,"0,19","0,81"
"bayeux.test.org.apache.cometd.bayeux.samples","0,00",5,10,"0,33","0,75"
"docs.appdev.sample.src.mypackage","0,00",0,2,"0,00","1,00"
"examples.WEB-INF.classes","0,00",0,19,"0,00","1,00"
"examples.WEB-INF.classes.async","0,12",2,16,"0,01","1,00"
"examples.WEB-INF.classes.cal","0,00",0,4,"0,00","1,00"
"examples.WEB-INF.classes.chat","0,00",2,6,"0,25","0,80"
"examples.WEB-INF.classes.checkbox","0,00",0,0,"0,00","1,00"
"examples.WEB-INF.classes.colors","0,00",0,0,"0,00","1,00"
"examples.WEB-INF.classes.compressionFilters","0,00",0,8,"0,00","1,00"
"examples.WEB-INF.classes.dates","0,00",0,0,"0,00","1,00"
"examples.WEB-INF.classes.error","0,00",0,0,"0,00","1,00"
"examples.WEB-INF.classes.examples","0,17",1,14,"0,10","0,93"
"examples.WEB-INF.classes.filters","0,00",0,2,"0,00","1,00"
"examples.WEB-INF.classes.jsp2.examples","0,00",1,0,"1,00","0,00"
"examples.WEB-INF.classes.jsp2.examples.el","0,00",0,0,"0,00","1,00"
"examples.WEB-INF.classes.jsp2.examples.simpletag","0,00",0,13,"0,00","1,00"
"examples.WEB-INF.classes.listeners","0,00",0,3,"0,00","1,00"
"examples.WEB-INF.classes.num","0,00",0,0,"0,00","1,00"
"examples.WEB-INF.classes.sessions","0,00",0,0,"0,00","1,00"
"examples.WEB-INF.classes.util","0,00",1,0,"1,00","0,00"
"examples.WEB-INF.classes.validators","0,00",0,1,"0,00","1,00"
"examples.WEB-INF.jsp.applet","0,00",0,0,"0,00","1,00"
"examples.jsp.plugin.applet","0,00",0,0,"0,00","1,00"
"javax.annotation","0,83",8,2,"0,03","0,25"
"javax.annotation.security","1,00",2,0,"0,00","0,00"
"javax.ejb","1,00",2,1,"0,33","0,33"
"javax.el","0,35",103,20,"0,49","0,15"
"javax.mail","0,00",5,1,"0,83","0,17"
"javax.mail.internet","0,25",6,3,"0,42","0,33"
"javax.persistence","0,83",6,3,"0,17","0,33"
"javax.servlet","0,64",291,36,"0,25","0,10"
"javax.servlet.annotation","0,82",16,6,"0,09","0,38"
"javax.servlet.descriptor","1,00",13,1,"0,07","0,07"
"javax.servlet.http","0,56",136,24,"0,29","0,15"
"javax.servlet.jsp","0,67",38,16,"0,04","0,30"
"javax.servlet.jsp.el","0,45",21,14,"0,15","0,33"
"javax.servlet.jsp.tagext","0,54",62,25,"0,17","0,29"
"javax.xml.ws","1,00",2,1,"0,33","0,33"
"jdbc-pool.java.org.apache.tomcat.jdbc.naming","0,00",0,1,"0,00","1,00"
"jdbc-pool.java.org.apache.tomcat.jdbc.pool","0,09",36,24,"0,51","0,38"
"jdbc-pool.java.org.apache.tomcat.jdbc.pool.interceptor","0,20",17,24,"0,21","0,62"
"jdbc-pool.java.org.apache.tomcat.jdbc.pool.jmx","0,50",0,3,"0,50","1,00"
"jdbc-pool.test.org.apache.tomcat.jdbc.pool.interceptor","0,00",1,1,"0,50","0,50"
"jdbc-pool.test.org.apache.tomcat.jdbc.test","0,00",12,35,"0,26","0,83"
"jdbc-pool.test.org.apache.tomcat.jdbc.test.driver","0,00",1,0,"1,00","0,00"
"org.apache.catalina","0,78",297,56,"0,06","0,16"
"org.apache.catalina.ant","0,12",3,20,"0,01","0,87"
"org.apache.catalina.ant.jmx","0,00",2,13,"0,13","0,87"
"org.apache.catalina.authenticator","0,10",9,66,"0,02","0,88"
"org.apache.catalina.comet","0,67",26,9,"0,08","0,33"
"org.apache.catalina.connector","0,00",65,106,"0,38","0,64"
"org.apache.catalina.core","0,02",97,286,"0,23","0,76"
"org.apache.catalina.deploy","0,03",88,34,"0,69","0,28"
"org.apache.catalina.filters","0,13",9,41,"0,05","0,90"
"org.apache.catalina.ha","0,70",29,21,"0,12","0,42"
"org.apache.catalina.ha.authenticator","0,00",4,12,"0,25","0,75"
"org.apache.catalina.ha.backend","0,14",7,10,"0,27","0,62"
"org.apache.catalina.ha.context","0,00",3,13,"0,19","0,89"
"org.apache.catalina.ha.deploy","0,12",8,14,"0,24","0,70"
"org.apache.catalina.ha.jmx","0,00",1,9,"0,10","0,90"
"org.apache.catalina.ha.session","0,12",19,84,"0,07","0,82"
"org.apache.catalina.ha.tcp","0,00",5,25,"0,17","0,83"
"org.apache.catalina.ha.util","1,00",1,0,"0,00","0,00"
"org.apache.catalina.loader","0,10",13,22,"0,27","0,66"
"org.apache.catalina.manager","0,00",4,34,"0,11","0,89"
"org.apache.catalina.manager.host","0,00",2,17,"0,11","0,89"
"org.apache.catalina.manager.util","0,33",2,4,"0,00","0,67"
"org.apache.catalina.mbeans","0,00",13,63,"0,17","0,84"
"org.apache.catalina.realm","0,06",23,64,"0,21","0,76"
"org.apache.catalina.security","0,00",5,7,"0,42","0,58"
"org.apache.catalina.servlets","0,00",11,35,"0,24","0,80"
"org.apache.catalina.session","0,15",28,69,"0,14","0,74"
"org.apache.catalina.ssi","0,15",32,50,"0,24","0,66"
"org.apache.catalina.startup","0,02",76,198,"0,26","0,73"
"org.apache.catalina.tribes","0,70",137,17,"0,19","0,10"
"org.apache.catalina.tribes.group","0,13",37,33,"0,40","0,46"
"org.apache.catalina.tribes.group.interceptors","0,00",33,72,"0,31","0,70"
"org.apache.catalina.tribes.io","0,22",34,15,"0,47","0,30"
"org.apache.catalina.tribes.membership","0,00",22,29,"0,43","0,54"
"org.apache.catalina.tribes.tipis","0,50",15,19,"0,06","0,55"
"org.apache.catalina.tribes.transport","0,54",44,23,"0,12","0,33"
"org.apache.catalina.tribes.transport.bio","0,00",3,20,"0,13","0,87"
"org.apache.catalina.tribes.transport.bio.util","0,00",4,6,"0,40","0,60"
"org.apache.catalina.tribes.transport.nio","0,00",9,25,"0,26","0,74"
"org.apache.catalina.tribes.util","0,00",23,6,"0,79","0,21"
"org.apache.catalina.users","0,25",11,26,"0,05","0,70"
"org.apache.catalina.util","0,07",86,27,"0,69","0,24"
"org.apache.catalina.valves","0,06",54,161,"0,19","0,85"
"org.apache.coyote","0,50",66,18,"0,29","0,21"
"org.apache.coyote.ajp","0,00",14,56,"0,20","0,80"
"org.apache.coyote.http11","0,19",39,137,"0,03","0,79"
"org.apache.coyote.http11.filters","0,00",11,31,"0,26","0,74"
"org.apache.coyote.memory","0,00",2,7,"0,22","1,00"
"org.apache.el","0,00",6,18,"0,25","0,75"
"org.apache.el.lang","0,08",18,23,"0,36","0,58"
"org.apache.el.parser","0,10",62,121,"0,24","0,67"
"org.apache.el.util","0,00",8,3,"0,73","0,27"
"org.apache.jasper","0,17",21,22,"0,32","0,51"
"org.apache.jasper.compiler","0,05",146,277,"0,29","0,66"
"org.apache.jasper.compiler.tagplugin","1,00",5,1,"0,17","0,17"
"org.apache.jasper.el","0,00",16,26,"0,38","0,62"
"org.apache.jasper.runtime","0,15",20,83,"0,04","0,83"
"org.apache.jasper.security","0,00",4,3,"0,57","0,43"
"org.apache.jasper.servlet","0,00",6,21,"0,22","0,78"
"org.apache.jasper.tagplugins.jstl","0,00",1,5,"0,17","0,75"
"org.apache.jasper.tagplugins.jstl.core","0,00",0,18,"0,00","1,00"
"org.apache.jasper.util","0,00",7,1,"0,88","0,12"
"org.apache.jasper.xmlparser","0,00",18,17,"0,51","0,50"
"org.apache.juli","0,00",10,7,"0,59","0,33"
"org.apache.juli.logging","0,25",124,2,"0,73","0,02"
"org.apache.naming","0,05",40,16,"0,66","0,29"
"org.apache.naming.factory","0,00",3,15,"0,17","0,83"
"org.apache.naming.factory.webservices","0,00",1,2,"0,33","0,67"
"org.apache.naming.java","0,00",0,1,"0,00","1,00"
"org.apache.naming.resources","0,05",38,26,"0,54","0,40"
"org.apache.naming.resources.jndi","0,00",0,1,"0,00","1,00"
"org.apache.tomcat","1,00",14,2,"0,12","0,12"
"org.apache.tomcat.buildutil","0,00",0,0,"0,00","1,00"
"org.apache.tomcat.jni","0,13",27,12,"0,56","0,31"
"org.apache.tomcat.util","0,29",30,6,"0,55","0,13"
"org.apache.tomcat.util.bcel","1,00",1,0,"0,00","0,00"
"org.apache.tomcat.util.bcel.classfile","0,17",71,117,"0,21","0,62"
"org.apache.tomcat.util.bcel.util","0,33",3,1,"0,42","0,33"
"org.apache.tomcat.util.buf","0,19",74,17,"0,62","0,21"
"org.apache.tomcat.util.digester","0,25",40,44,"0,23","0,53"
"org.apache.tomcat.util.http","0,00",29,15,"0,66","0,34"
"org.apache.tomcat.util.http.fileupload","0,30",54,34,"0,32","0,37"
"org.apache.tomcat.util.http.mapper","0,14",11,9,"0,41","0,45"
"org.apache.tomcat.util.log","0,00",3,1,"0,75","0,25"
"org.apache.tomcat.util.modeler","0,07",35,12,"0,68","0,26"
"org.apache.tomcat.util.modeler.modules","0,14",3,19,"0,01","0,86"
"org.apache.tomcat.util.net","0,22",83,80,"0,29","0,49"
"org.apache.tomcat.util.net.jsse","0,00",9,12,"0,43","0,60"
"org.apache.tomcat.util.res","0,00",27,0,"1,00","0,00"
"org.apache.tomcat.util.scan","0,00",5,5,"0,50","0,50"
"org.apache.tomcat.util.threads","0,20",11,2,"0,65","0,17"
"tomcat-lite.java.org.apache.coyote.lite","0,00",3,15,"0,17","0,86"
"tomcat-lite.java.org.apache.tomcat.lite.http","0,20",74,51,"0,39","0,42"
"tomcat-lite.java.org.apache.tomcat.lite.io","0,28",76,11,"0,60","0,11"
"tomcat-lite.java.org.apache.tomcat.lite.io.jsse","0,00",5,4,"0,56","0,67"
"tomcat-lite.java.org.apache.tomcat.lite.proxy","0,00",9,19,"0,32","0,67"
"tomcat-lite.java.org.apache.tomcat.lite.service","0,00",1,3,"0,25","0,75"
"tomcat-lite.java.org.apache.tomcat.lite.util","0,00",0,0,"0,00","1,00"
"tomcat-lite.test.org.apache.coyote.lite","0,00",4,23,"0,15","0,94"
"tomcat-lite.test.org.apache.tomcat.lite","0,00",5,6,"0,45","0,55"
"tomcat-lite.test.org.apache.tomcat.lite.http","0,00",2,13,"0,13","0,87"
"tomcat-lite.test.org.apache.tomcat.lite.http.services","0,00",2,5,"0,29","0,71"
"tomcat-lite.test.org.apache.tomcat.lite.io","0,00",0,2,"0,00","1,00"
"tomcat-lite.test.org.apache.tomcat.lite.load","0,00",0,6,"0,00","1,00"
"tomcat-lite.test.org.apache.tomcat.lite.proxy","0,00",0,5,"0,00","1,00"
"tomcat-lite.test.org.apache.tomcat.lite.util","0,00",0,0,"0,00","1,00"
"tomcat-lite.test.org.apache.tomcat.test.watchdog","0,08",6,5,"0,47","0,67"

