Package,PDcy,PDpt
"avro",0,0
"java.org.apache.cassandra.auth",3,6
"java.org.apache.cassandra.cache",8,7
"java.org.apache.cassandra.cli",8,0
"java.org.apache.cassandra.client",2,1
"java.org.apache.cassandra.concurrent",1,11
"java.org.apache.cassandra.config",13,26
"java.org.apache.cassandra.cql",13,1
"java.org.apache.cassandra.db",20,19
"java.org.apache.cassandra.db.columniterator",8,5
"java.org.apache.cassandra.db.commitlog",8,3
"java.org.apache.cassandra.db.compaction",12,8
"java.org.apache.cassandra.db.context",3,5
"java.org.apache.cassandra.db.filter",5,8
"java.org.apache.cassandra.db.marshal",6,14
"java.org.apache.cassandra.db.migration",9,5
"java.org.apache.cassandra.dht",10,15
"java.org.apache.cassandra.gms",9,7
"java.org.apache.cassandra.hadoop",8,0
"java.org.apache.cassandra.io",4,14
"java.org.apache.cassandra.io.sstable",14,11
"java.org.apache.cassandra.io.util",6,18
"java.org.apache.cassandra.locator",7,10
"java.org.apache.cassandra.net",13,11
"java.org.apache.cassandra.net.io",0,1
"java.org.apache.cassandra.net.sink",1,1
"java.org.apache.cassandra.scheduler",2,2
"java.org.apache.cassandra.security",1,2
"java.org.apache.cassandra.security.streaming",4,1
"java.org.apache.cassandra.service",20,15
"java.org.apache.cassandra.streaming",11,7
"java.org.apache.cassandra.thrift",12,6
"java.org.apache.cassandra.tools",16,1
"java.org.apache.cassandra.utils",12,27
"java.org.apache.cassandra.utils.obs",0,1
"resources.org.apache.cassandra.cli",0,0

