Chidamber-Kemerer metrics,Sex, 6 out 2017 16:14:45 BRT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy",7,2,4,0,18,5
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy",6,2,4,0,11,5
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy",11,0,2,0,18,13
"uk.ac.ed.ph.aardvark.cms.editors.CourseEditingStrategy",3,2,2,0,2,2
"uk.ac.ed.ph.aardvark.cms.editors.CustomJavaEditingStrategy",4,2,3,0,4,3
"uk.ac.ed.ph.aardvark.cms.editors.DeploymentEditingStrategy",9,2,4,0,24,6
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy",9,1,5,0,9,6
"uk.ac.ed.ph.aardvark.cms.editors.FlashMovieEditingStrategy",6,2,4,0,31,5
"uk.ac.ed.ph.aardvark.cms.editors.GIFEditingStrategy",4,2,2,0,4,2
"uk.ac.ed.ph.aardvark.cms.editors.HTMLEditingStrategy",3,2,1,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.JPEGEditingStrategy",4,2,2,0,4,2
"uk.ac.ed.ph.aardvark.cms.editors.JavaEditingStrategy",3,2,1,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.LearningOutcomesEditingStrategy",6,2,4,0,11,5
"uk.ac.ed.ph.aardvark.cms.editors.MCQEditingStrategy",8,2,4,0,22,6
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy",10,2,4,0,15,6
"uk.ac.ed.ph.aardvark.cms.editors.PNGEditingStrategy",4,2,2,0,4,2
"uk.ac.ed.ph.aardvark.cms.editors.SVGEditingStrategy",4,2,2,0,4,2
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy",4,2,3,0,7,4
"uk.ac.ed.ph.aardvark.cms.editors.TeXMacrosEditingStrategy",3,2,1,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TextEditingStrategy",3,2,1,0,1,1
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy",6,2,4,0,16,4
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy",8,2,4,0,13,6
"uk.ac.ed.ph.aardvark.cms.editors.XfigFigureEditingStrategy",3,2,1,0,1,1
"uk.ac.ed.ph.aardvark.core.globals.AardvarkException",4,0,1,2,4,4
"uk.ac.ed.ph.aardvark.core.globals.BadNumberingPatternException",5,0,0,0,4,4
"uk.ac.ed.ph.aardvark.core.globals.CoreGlobalsTestSuite",2,1,1,0,4,1
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes",12,n/a,6,n/a,9,10
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes",28,n/a,11,n/a,13,13
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys",27,n/a,6,n/a,10,13
"uk.ac.ed.ph.aardvark.core.globals.Entities",n/a,n/a,n/a,n/a,0,n/a
"uk.ac.ed.ph.aardvark.core.globals.IMSConstants",n/a,n/a,n/a,n/a,0,n/a
"uk.ac.ed.ph.aardvark.core.globals.Namespaces",n/a,n/a,n/a,n/a,0,n/a
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes",24,n/a,7,n/a,10,11
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroup",n/a,n/a,n/a,n/a,1,n/a
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern",8,0,2,0,15,13
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPatternTestSuite",5,0,1,0,6,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPatternTestSuite.BadParsingTest",3,2,1,0,5,2
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPatternTestSuite.GoodParsingTest",3,2,1,0,9,2
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern",17,0,2,0,15,37
"uk.ac.ed.ph.aardvark.core.globals.NumberingPatternTestSuite",6,0,1,0,6,1
"uk.ac.ed.ph.aardvark.core.globals.NumberingPatternTestSuite.BadParsingTest",3,2,1,0,5,2
"uk.ac.ed.ph.aardvark.core.globals.NumberingPatternTestSuite.GoodParsingTest",3,2,1,0,9,2
"uk.ac.ed.ph.aardvark.core.globals.NumberingScheme",6,n/a,1,n/a,2,11
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypeOptions",n/a,n/a,n/a,n/a,0,n/a
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes",89,n/a,11,n/a,13,13
"uk.ac.ed.ph.aardvark.core.globals.Roles",5,n/a,2,n/a,3,3
"uk.ac.ed.ph.aardvark.core.globals.StructuralElementType",8,n/a,3,n/a,5,6
"uk.ac.ed.ph.aardvark.core.resources.AbstractOrganisationTreeMasterNode",5,0,0,2,0,0
"uk.ac.ed.ph.aardvark.core.resources.AbstractOrganisationTreeSourceNode",8,0,1,2,2,2
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource",5,0,4,0,9,8
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.Question",4,0,2,0,6,6
"uk.ac.ed.ph.aardvark.core.resources.CheckpointSource",4,0,3,0,7,6
"uk.ac.ed.ph.aardvark.core.resources.ContentPageLearningResources",9,0,3,0,6,6
"uk.ac.ed.ph.aardvark.core.resources.ContentPageSource",3,0,2,0,8,6
"uk.ac.ed.ph.aardvark.core.resources.CoreResourcesTestSuite",2,1,1,0,4,1
