Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy",0,7,37,0,0
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy",0,6,36,0,0
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy",0,11,38,0,0
"uk.ac.ed.ph.aardvark.cms.editors.CourseEditingStrategy",0,3,32,0,0
"uk.ac.ed.ph.aardvark.cms.editors.CustomJavaEditingStrategy",0,4,37,0,0
"uk.ac.ed.ph.aardvark.cms.editors.DeploymentEditingStrategy",0,9,44,0,0
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy",0,9,35,0,0
"uk.ac.ed.ph.aardvark.cms.editors.FlashMovieEditingStrategy",0,6,36,0,0
"uk.ac.ed.ph.aardvark.cms.editors.GIFEditingStrategy",0,4,33,0,0
"uk.ac.ed.ph.aardvark.cms.editors.HTMLEditingStrategy",0,3,32,0,0
"uk.ac.ed.ph.aardvark.cms.editors.JPEGEditingStrategy",0,4,33,0,0
"uk.ac.ed.ph.aardvark.cms.editors.JavaEditingStrategy",0,3,32,0,0
"uk.ac.ed.ph.aardvark.cms.editors.LearningOutcomesEditingStrategy",0,6,36,0,0
"uk.ac.ed.ph.aardvark.cms.editors.MCQEditingStrategy",0,8,41,0,0
"uk.ac.ed.ph.aardvark.cms.editors.OrganisationTreeEditingStrategy",0,10,49,0,0
"uk.ac.ed.ph.aardvark.cms.editors.PNGEditingStrategy",0,4,33,0,0
"uk.ac.ed.ph.aardvark.cms.editors.SVGEditingStrategy",0,4,33,0,0
"uk.ac.ed.ph.aardvark.cms.editors.StandardTimeToThinkEditingStrategy",0,4,40,0,0
"uk.ac.ed.ph.aardvark.cms.editors.TeXMacrosEditingStrategy",0,3,32,0,0
"uk.ac.ed.ph.aardvark.cms.editors.TextEditingStrategy",0,3,32,0,0
"uk.ac.ed.ph.aardvark.cms.editors.TutorialQuestionEditingStrategy",0,6,36,0,0
"uk.ac.ed.ph.aardvark.cms.editors.WorkshopEditingStrategy",0,8,41,0,0
"uk.ac.ed.ph.aardvark.cms.editors.XfigFigureEditingStrategy",0,3,32,0,0
"uk.ac.ed.ph.aardvark.core.globals.AardvarkException",0,0,0,4,496
"uk.ac.ed.ph.aardvark.core.globals.BadNumberingPatternException",0,0,0,5,28
"uk.ac.ed.ph.aardvark.core.globals.CoreNodeTypes",0,4,8,8,18
"uk.ac.ed.ph.aardvark.core.globals.CoreResourceTypes",0,4,6,24,226
"uk.ac.ed.ph.aardvark.core.globals.DynamicRenderingKeys",0,10,17,17,77
"uk.ac.ed.ph.aardvark.core.globals.NodeTypes",0,5,9,19,162
"uk.ac.ed.ph.aardvark.core.globals.NumberingGroupPattern",1,4,5,5,27
"uk.ac.ed.ph.aardvark.core.globals.NumberingPattern",1,5,5,13,27
"uk.ac.ed.ph.aardvark.core.globals.NumberingScheme",0,2,2,4,28
"uk.ac.ed.ph.aardvark.core.globals.ResourceTypes",0,4,6,85,221
"uk.ac.ed.ph.aardvark.core.globals.Roles",0,1,1,4,79
"uk.ac.ed.ph.aardvark.core.globals.StructuralElementType",0,0,0,8,213
"uk.ac.ed.ph.aardvark.core.resources.AbstractOrganisationTreeMasterNode",0,0,0,5,51
"uk.ac.ed.ph.aardvark.core.resources.AbstractOrganisationTreeSourceNode",0,1,7,7,11
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource",0,1,1,4,4
"uk.ac.ed.ph.aardvark.core.resources.BinaryTimeToThinkSource.Question",0,0,0,4,5
"uk.ac.ed.ph.aardvark.core.resources.CheckpointSource",0,0,0,4,4
"uk.ac.ed.ph.aardvark.core.resources.ContentPageLearningResources",0,1,4,8,12
"uk.ac.ed.ph.aardvark.core.resources.ContentPageSource",0,1,5,2,2
"uk.ac.ed.ph.aardvark.core.resources.DeploymentLocation",0,0,0,9,44
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster",0,5,46,24,34
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeInfo",0,4,44,13,35
"uk.ac.ed.ph.aardvark.core.resources.DeploymentMaster.DMTreeNode",0,3,41,13,36
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource",0,3,19,6,9
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSNodeInfo",0,2,16,4,11
"uk.ac.ed.ph.aardvark.core.resources.DeploymentSource.DSTreeInfo",0,3,17,5,10
"uk.ac.ed.ph.aardvark.core.resources.ExternalResourceSource",0,0,0,3,3
"uk.ac.ed.ph.aardvark.core.resources.FlashMovieSettings",0,0,0,3,3
"uk.ac.ed.ph.aardvark.core.resources.JavaNodeDescriptor",0,3,8,6,77
"uk.ac.ed.ph.aardvark.core.resources.JavaNodeDescriptor.StrategyEntry",0,0,0,11,78
"uk.ac.ed.ph.aardvark.core.resources.LearningOutcomesSource",0,0,0,4,4
"uk.ac.ed.ph.aardvark.core.resources.MCQSource",0,2,5,5,5
