Method,ev(G),iv(G),v(G)
"null.accept(File,String)",1,3,3
"null.allowsInnerResources()",1,1,1
"null.compare(DynamicRenderingKey,DynamicRenderingKey)",1,1,1
"null.getContentType()",1,1,1
"null.getDescription()",1,1,1
"null.getFileBaseName()",1,1,1
"null.getFileExtension()",1,1,1
"null.getName()",1,1,1
"null.getProductionType()",1,1,1
"null.getTitle()",1,1,1
"null.isCacheable()",1,1,1
"null.isInvariantAsInnerResource()",1,1,1
"null.isVariable()",1,1,1
"null.mapRow(ResultSet,int)",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy.doTextSearchAndReplaceOnSourceResource(BinaryTimeToThinkSource,ResourceName,SearchAndReplaceMapper)",1,2,2
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.BinaryTimeToThinkEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy.doTextSearchAndReplaceOnSourceResource(CheckpointSource,ResourceName,SearchAndReplaceMapper)",1,2,2
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CheckpointEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.createResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.doLinkIdSearchAndReplace(String,List<NodeLinkId>,SearchAndReplaceMapper)",1,2,2
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.doTextSearchAndReplace(Serializable,ResourceName,SearchAndReplaceMapper)",3,3,3
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.getSerializableReaderCallback(ResourceType)",3,3,3
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.includeResourceInMap(ResourceName)",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ContentPageEditingStrategy.serializeResourceObject(Serializable,ResourceType,FileOutputStream)",1,3,3
"uk.ac.ed.ph.aardvark.cms.editors.CourseEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CourseEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CustomJavaEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CustomJavaEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.CustomJavaEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.DeploymentEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.DeploymentEditingStrategy.doTextSearchAndReplaceOnSourceResource(DeploymentSource,ResourceName,SearchAndReplaceMapper)",1,3,3
"uk.ac.ed.ph.aardvark.cms.editors.DeploymentEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.DeploymentEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy.createSourceResourceTemplate()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy.doTextSearchAndReplaceOnSourceResource(ExternalResourceSource,ResourceName,SearchAndReplaceMapper)",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy.getSourceReaderCallback()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy.getSourceResourceClass()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy.getSourceResourceType()",1,1,1
"uk.ac.ed.ph.aardvark.cms.editors.ExternalResourceEditingStrategy.serializeSourceResource(ExternalResourceSource,FileOutputStream)",1,1,1
