Package,C(rec),LOC(rec),METH(rec)
"",579,47.566,2.906
"uk",579,47.566,2.906
"uk.ac",579,47.566,2.906
"uk.ac.ed",579,47.566,2.906
"uk.ac.ed.ph",579,47.566,2.906
"uk.ac.ed.ph.aardvark",305,22.627,1.296
"uk.ac.ed.ph.aardvark.cms",23,972,70
"uk.ac.ed.ph.aardvark.cms.editors",23,972,70
"uk.ac.ed.ph.aardvark.core",53,4.069,343
"uk.ac.ed.ph.aardvark.core.globals",17,2.034,87
"uk.ac.ed.ph.aardvark.core.resources",36,2.035,256
"uk.ac.ed.ph.aardvark.processor",159,12.563,555
"uk.ac.ed.ph.aardvark.processor.validator",31,2.003,99
"uk.ac.ed.ph.aardvark.processor.views",128,10.560,456
"uk.ac.ed.ph.aardvark.processor.views.custom",10,942,45
"uk.ac.ed.ph.aardvark.processor.views.export",39,2.800,141
"uk.ac.ed.ph.aardvark.processor.views.serializers",8,342,31
"uk.ac.ed.ph.aardvark.processor.views.util",22,2.620,121
"uk.ac.ed.ph.aardvark.processor.views.webapp",3,196,4
"uk.ac.ed.ph.aardvark.server",51,3.646,269
"uk.ac.ed.ph.aardvark.server.databinding",48,3.452,252
"uk.ac.ed.ph.aardvark.tools",19,1.377,59
"uk.ac.ed.ph.aardvark.tools.cms",17,1.297,55
"uk.ac.ed.ph.aardvark.tools.standalone",2,80,4
"uk.ac.ed.ph.orycteropus",274,24.939,1.610
"uk.ac.ed.ph.orycteropus.cms",182,16.344,1.051
"uk.ac.ed.ph.orycteropus.cms.configuration",3,198,15
"uk.ac.ed.ph.orycteropus.cms.domain",75,5.157,454
"uk.ac.ed.ph.orycteropus.cms.domain.rendering",8,482,52
"uk.ac.ed.ph.orycteropus.cms.domain.search",12,651,94
"uk.ac.ed.ph.orycteropus.cms.domain.transport",8,334,33
"uk.ac.ed.ph.orycteropus.cms.domain.validation",6,377,25
"uk.ac.ed.ph.orycteropus.cms.internal",63,8.511,431
"uk.ac.ed.ph.orycteropus.cms.internal.aspects",3,145,14
"uk.ac.ed.ph.orycteropus.cms.internal.editing",10,1.290,74
"uk.ac.ed.ph.orycteropus.cms.internal.filesystem",7,2.082,103
"uk.ac.ed.ph.orycteropus.cms.internal.jdbc",22,1.619,77
"uk.ac.ed.ph.orycteropus.cms.readers",9,423,31
"uk.ac.ed.ph.orycteropus.processor",92,8.595,559
"uk.ac.ed.ph.orycteropus.processor.domain",22,1.490,128
"uk.ac.ed.ph.orycteropus.processor.framework",43,3.983,226
"uk.ac.ed.ph.orycteropus.processor.framework.config",6,188,13
"uk.ac.ed.ph.orycteropus.processor.framework.util",10,1.319,79
"uk.ac.ed.ph.orycteropus.processor.internal",19,2.541,167
"uk.ac.ed.ph.orycteropus.processor.internal.auditing",3,233,10

