Package,v(G)avg,v(G)tot
"uk.ac.ed.ph.aardvark.cms.editors","1,27",89
"uk.ac.ed.ph.aardvark.core.globals","1,59",137
"uk.ac.ed.ph.aardvark.core.resources","1,12",286
"uk.ac.ed.ph.aardvark.processor.validator","2,13",185
"uk.ac.ed.ph.aardvark.processor.views","2,71",285
"uk.ac.ed.ph.aardvark.processor.views.custom","2,00",84
"uk.ac.ed.ph.aardvark.processor.views.export","2,07",285
"uk.ac.ed.ph.aardvark.processor.views.serializers","1,07",31
"uk.ac.ed.ph.aardvark.processor.views.util","2,28",262
"uk.ac.ed.ph.aardvark.processor.views.webapp","2,50",10
"uk.ac.ed.ph.aardvark.server","1,35",23
"uk.ac.ed.ph.aardvark.server.databinding","1,78",448
"uk.ac.ed.ph.aardvark.tools.cms","2,09",113
"uk.ac.ed.ph.aardvark.tools.standalone","1,00",4
"uk.ac.ed.ph.orycteropus.cms","1,00",64
"uk.ac.ed.ph.orycteropus.cms.configuration","1,73",19
"uk.ac.ed.ph.orycteropus.cms.domain","1,64",377
"uk.ac.ed.ph.orycteropus.cms.domain.rendering","1,52",67
"uk.ac.ed.ph.orycteropus.cms.domain.search","1,03",97
"uk.ac.ed.ph.orycteropus.cms.domain.transport","1,03",34
"uk.ac.ed.ph.orycteropus.cms.domain.validation","2,00",48
"uk.ac.ed.ph.orycteropus.cms.internal","2,29",309
"uk.ac.ed.ph.orycteropus.cms.internal.aspects","1,43",20
"uk.ac.ed.ph.orycteropus.cms.internal.editing","2,21",137
"uk.ac.ed.ph.orycteropus.cms.internal.filesystem","2,62",270
"uk.ac.ed.ph.orycteropus.cms.internal.jdbc","2,17",165
"uk.ac.ed.ph.orycteropus.cms.readers","1,67",45
"uk.ac.ed.ph.orycteropus.processor","1,00",16
"uk.ac.ed.ph.orycteropus.processor.domain","1,35",170
"uk.ac.ed.ph.orycteropus.processor.framework","1,94",184
"uk.ac.ed.ph.orycteropus.processor.framework.config","1,33",16
"uk.ac.ed.ph.orycteropus.processor.framework.util","1,92",152
"uk.ac.ed.ph.orycteropus.processor.internal","1,80",279
"uk.ac.ed.ph.orycteropus.processor.internal.auditing","2,50",25

