Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.andengine.AndEngine",4,0,5,5,12,0,0,1,68,38,0,0,0,"1,20",1,9,6
"org.andengine.audio.BaseAudioEntity",5,4,32,36,4,0,1,1,117,89,2,0,0,"1,05",8,21,20
"org.andengine.audio.BaseAudioManager",7,2,10,12,2,0,1,1,62,34,2,0,0,"1,40",2,8,7
"org.andengine.audio.IAudioEntity",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a
"org.andengine.audio.IAudioManager",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"org.andengine.audio.exception.AudioException",2,1,8,9,1,1,0,0,42,15,0,0,0,"1,00",0,8,4
"org.andengine.audio.music.Music",6,5,47,52,9,1,1,2,104,76,0,9,9,"1,00",3,27,15
"org.andengine.audio.music.MusicFactory",4,1,7,8,10,0,0,4,79,48,0,0,0,"1,14",5,9,8
"org.andengine.audio.music.MusicLibrary",2,1,6,7,11,1,0,0,29,2,0,4,0,n/a,0,0,0
"org.andengine.audio.music.MusicManager",5,2,11,13,9,1,1,0,32,4,0,5,0,"1,00",0,1,1
"org.andengine.audio.music.exception.MusicException",2,1,8,9,1,1,0,0,42,15,1,0,0,"1,00",0,8,4
"org.andengine.audio.music.exception.MusicReleasedException",2,1,8,9,2,2,0,0,30,3,0,0,0,n/a,0,0,0
"org.andengine.audio.sound.Sound",5,9,51,60,9,1,1,2,136,108,0,9,9,"1,37",6,32,26
"org.andengine.audio.sound.SoundFactory",3,1,9,10,10,0,0,5,90,59,0,0,0,"1,11",7,12,10
"org.andengine.audio.sound.SoundLibrary",2,1,6,7,11,1,0,0,30,2,0,4,0,n/a,0,0,0
"org.andengine.audio.sound.SoundManager",7,6,17,23,9,1,1,2,73,45,0,4,3,"1,43",2,13,10
"org.andengine.audio.sound.exception.SoundException",3,1,8,9,1,1,0,0,42,15,1,0,0,"1,00",0,8,4
"org.andengine.audio.sound.exception.SoundReleasedException",2,1,8,9,2,2,0,0,30,3,0,0,0,n/a,0,0,0
"org.andengine.engine.Engine",55,31,74,105,213,0,1,6,594,519,4,0,0,"1,56",32,164,114
"org.andengine.engine.Engine.EngineDestroyedException",1,1,0,1,0,0,0,0,24,3,0,0,0,n/a,0,0,0
"org.andengine.engine.Engine.EngineLock",2,3,5,8,0,0,0,1,47,26,0,0,0,"1,40",0,5,7
"org.andengine.engine.Engine.UpdateThread",5,2,4,6,213,0,0,1,49,28,0,0,0,"1,50",0,9,6
"org.andengine.engine.FixedStepEngine",3,30,75,105,214,1,1,1,48,17,0,66,1,"1,50",0,4,3
"org.andengine.engine.LimitedFPSEngine",3,29,75,104,214,1,1,1,51,19,0,66,1,"1,50",0,4,3
"org.andengine.engine.camera.BoundCamera",3,25,95,120,101,1,1,1,149,113,1,65,1,"1,60",9,25,24
"org.andengine.engine.camera.Camera",53,18,81,99,100,0,1,5,458,428,1,0,0,"1,34",31,100,106
"org.andengine.engine.camera.CameraFactory",1,0,2,2,101,0,0,1,39,11,0,0,0,"1,00",2,3,2
"org.andengine.engine.camera.SmoothCamera",3,32,129,161,103,3,1,1,159,129,0,87,3,"1,43",9,28,30
"org.andengine.engine.camera.ZoomCamera",6,26,108,134,102,2,1,1,126,97,1,69,10,"1,69",7,32,22
"org.andengine.engine.camera.hud.HUD",4,53,327,380,100,3,4,0,37,6,1,187,0,"1,00",0,3,1
"org.andengine.engine.camera.hud.controls.AnalogOnScreenControl",10,60,348,408,113,5,6,3,67,39,0,193,3,"1,12",2,18,9
"org.andengine.engine.camera.hud.controls.AnalogOnScreenControl.IAnalogOnScreenControlListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.engine.camera.hud.controls.BaseOnScreenControl",17,60,339,399,108,4,5,2,147,106,2,187,0,"1,62",5,28,21
"org.andengine.engine.camera.hud.controls.BaseOnScreenControl.IOnScreenControlListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.engine.camera.hud.controls.DigitalOnScreenControl",6,63,345,408,109,5,5,1,97,69,0,195,1,"3,83",2,10,23
"org.andengine.engine.handler.BaseEntityUpdateHandler",4,1,8,9,101,0,1,2,48,20,1,0,0,"1,00",1,6,5
"org.andengine.engine.handler.DrawHandlerList",5,1,27,28,101,1,1,1,42,15,0,21,0,"1,33",0,6,4
"org.andengine.engine.handler.IDrawHandler",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.engine.handler.IUpdateHandler",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.andengine.engine.handler.IUpdateHandler.IUpdateHandlerMatcher",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.andengine.engine.handler.UpdateHandlerList",5,1,29,30,4,1,1,2,50,22,0,21,0,"1,50",0,8,6
"org.andengine.engine.handler.collision.CollisionHandler",4,3,6,9,105,0,1,2,67,39,0,0,0,"2,50",0,6,10
"org.andengine.engine.handler.collision.ICollisionCallback",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.engine.handler.physics.PhysicsHandler",5,7,28,35,102,1,1,1,126,95,0,3,1,"1,20",6,26,24
"org.andengine.engine.handler.runnable.RunnableHandler",4,1,5,6,1,0,1,1,46,18,0,0,0,"1,33",0,3,4
"org.andengine.engine.handler.timer.ITimerCallback",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.engine.handler.timer.TimerHandler",4,5,13,18,2,0,1,1,93,65,0,0,0,"1,55",4,12,17
"org.andengine.engine.options.AudioOptions",5,2,6,8,12,0,0,2,51,24,0,0,0,"1,00",6,10,6
"org.andengine.engine.options.EngineOptions",19,11,18,29,213,0,0,11,102,71,0,0,0,"1,00",14,18,18
"org.andengine.engine.options.MusicOptions",1,1,2,3,0,0,0,1,37,10,0,0,0,"1,00",2,2,2
"org.andengine.engine.options.RenderOptions",4,2,4,6,0,0,0,2,44,16,0,0,0,"1,00",2,4,4
"org.andengine.engine.options.ScreenOrientation",2,4,0,4,0,n/a,0,0,40,6,n/a,0,0,n/a,0,0,0
"org.andengine.engine.options.SoundOptions",3,2,4,6,10,0,0,2,45,18,0,0,0,"1,00",4,4,4
"org.andengine.engine.options.TouchOptions",2,3,4,7,0,0,0,2,45,18,0,0,0,"1,00",3,4,4
"org.andengine.engine.options.WakeLockOptions",2,5,2,7,0,n/a,0,1,48,13,n/a,0,0,"1,00",1,2,2
"org.andengine.engine.options.resolutionpolicy.BaseResolutionPolicy",5,0,2,2,214,0,1,1,37,9,4,0,0,"2,00",0,1,2
"org.andengine.engine.options.resolutionpolicy.FillResolutionPolicy",2,0,2,2,215,1,1,1,37,9,0,0,0,"1,00",0,3,1
"org.andengine.engine.options.resolutionpolicy.FixedResolutionPolicy",2,2,3,5,215,1,1,1,40,12,0,0,0,"1,00",0,3,2
"org.andengine.engine.options.resolutionpolicy.IResolutionPolicy",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.engine.options.resolutionpolicy.RatioResolutionPolicy",2,1,4,5,215,1,1,1,55,27,0,0,0,"1,33",0,5,4
"org.andengine.engine.options.resolutionpolicy.RelativeResolutionPolicy",2,2,4,6,215,1,1,1,46,18,0,0,0,"1,00",0,5,3
"org.andengine.engine.splitscreen.DoubleSceneSplitScreenEngine",7,30,90,120,214,1,1,3,137,107,0,57,10,"1,35",8,32,23
"org.andengine.engine.splitscreen.SingleSceneSplitScreenEngine",6,29,82,111,214,1,1,1,101,71,0,61,6,"1,33",4,20,12
"org.andengine.entity.Entity",56,40,273,313,100,0,4,7,1.136,1.028,5,0,0,"1,56",72,213,229
"org.andengine.entity.IEntity",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,122,n/a
"org.andengine.entity.IEntityComparator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.andengine.entity.IEntityFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.entity.IEntityMatcher",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.entity.IEntityParameterCallable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.andengine.entity.TagEntityMatcher",2,1,6,7,101,0,2,1,43,16,0,0,0,"1,00",2,5,4
