Class,OCavg,WMC
"org.andengine.AndEngine","1,20",6
"org.andengine.audio.BaseAudioEntity","1,05",20
"org.andengine.audio.BaseAudioManager","1,40",7
"org.andengine.audio.exception.AudioException","1,00",4
"org.andengine.audio.music.Music","1,00",15
"org.andengine.audio.music.MusicFactory","1,14",8
"org.andengine.audio.music.MusicLibrary",n/a,0
"org.andengine.audio.music.MusicManager","1,00",1
"org.andengine.audio.music.exception.MusicException","1,00",4
"org.andengine.audio.music.exception.MusicReleasedException",n/a,0
"org.andengine.audio.sound.Sound","1,37",26
"org.andengine.audio.sound.SoundFactory","1,11",10
"org.andengine.audio.sound.SoundLibrary",n/a,0
"org.andengine.audio.sound.SoundManager","1,43",10
"org.andengine.audio.sound.exception.SoundException","1,00",4
"org.andengine.audio.sound.exception.SoundReleasedException",n/a,0
"org.andengine.engine.Engine","1,56",114
"org.andengine.engine.Engine.EngineDestroyedException",n/a,0
"org.andengine.engine.Engine.EngineLock","1,40",7
"org.andengine.engine.Engine.UpdateThread","1,50",6
"org.andengine.engine.FixedStepEngine","1,50",3
"org.andengine.engine.LimitedFPSEngine","1,50",3
"org.andengine.engine.camera.BoundCamera","1,60",24
"org.andengine.engine.camera.Camera","1,34",106
"org.andengine.engine.camera.CameraFactory","1,00",2
"org.andengine.engine.camera.SmoothCamera","1,43",30
"org.andengine.engine.camera.ZoomCamera","1,69",22
"org.andengine.engine.camera.hud.HUD","1,00",1
"org.andengine.engine.camera.hud.controls.AnalogOnScreenControl","1,12",9
"org.andengine.engine.camera.hud.controls.BaseOnScreenControl","1,62",21
"org.andengine.engine.camera.hud.controls.DigitalOnScreenControl","3,83",23
"org.andengine.engine.handler.BaseEntityUpdateHandler","1,00",5
"org.andengine.engine.handler.DrawHandlerList","1,33",4
"org.andengine.engine.handler.UpdateHandlerList","1,50",6
"org.andengine.engine.handler.collision.CollisionHandler","2,50",10
"org.andengine.engine.handler.physics.PhysicsHandler","1,20",24
"org.andengine.engine.handler.runnable.RunnableHandler","1,33",4
"org.andengine.engine.handler.timer.TimerHandler","1,55",17
"org.andengine.engine.options.AudioOptions","1,00",6
"org.andengine.engine.options.EngineOptions","1,00",18
"org.andengine.engine.options.MusicOptions","1,00",2
"org.andengine.engine.options.RenderOptions","1,00",4
"org.andengine.engine.options.ScreenOrientation",n/a,0
"org.andengine.engine.options.SoundOptions","1,00",4
"org.andengine.engine.options.TouchOptions","1,00",4
"org.andengine.engine.options.WakeLockOptions","1,00",2
"org.andengine.engine.options.resolutionpolicy.BaseResolutionPolicy","2,00",2
"org.andengine.engine.options.resolutionpolicy.FillResolutionPolicy","1,00",1
"org.andengine.engine.options.resolutionpolicy.FixedResolutionPolicy","1,00",2
"org.andengine.engine.options.resolutionpolicy.RatioResolutionPolicy","1,33",4
"org.andengine.engine.options.resolutionpolicy.RelativeResolutionPolicy","1,00",3
"org.andengine.engine.splitscreen.DoubleSceneSplitScreenEngine","1,35",23
"org.andengine.engine.splitscreen.SingleSceneSplitScreenEngine","1,33",12
"org.andengine.entity.Entity","1,56",229
"org.andengine.entity.TagEntityMatcher","1,00",4
"org.andengine.entity.ZIndexSorter","1,11",10
"org.andengine.entity.modifier.AlphaModifier","1,00",8
"org.andengine.entity.modifier.CardinalSplineMoveModifier","1,10",11
"org.andengine.entity.modifier.CardinalSplineMoveModifier.CardinalSplineMoveModifierConfig","1,14",8
"org.andengine.entity.modifier.CatmullRomSplineMoveModifier","1,00",4
"org.andengine.entity.modifier.CatmullRomSplineMoveModifier.CatmullRomMoveModifierConfig","1,00",1
"org.andengine.entity.modifier.ColorModifier","1,00",12
"org.andengine.entity.modifier.CubicBezierCurveMoveModifier","1,00",7
"org.andengine.entity.modifier.DelayModifier","1,00",6
"org.andengine.entity.modifier.DoubleValueChangeEntityModifier","1,00",3
"org.andengine.entity.modifier.DoubleValueSpanEntityModifier","1,00",5
"org.andengine.entity.modifier.DurationEntityModifier","1,00",3
"org.andengine.entity.modifier.EntityModifier","1,00",2
"org.andengine.entity.modifier.EntityModifierList","1,00",2
"org.andengine.entity.modifier.FadeInModifier","1,00",6
"org.andengine.entity.modifier.FadeOutModifier","1,00",6
"org.andengine.entity.modifier.JumpModifier","1,00",11
"org.andengine.entity.modifier.LoopEntityModifier","1,00",7
"org.andengine.entity.modifier.MoveByModifier","1,00",5
"org.andengine.entity.modifier.MoveModifier","1,00",8
"org.andengine.entity.modifier.MoveXModifier","1,00",8
"org.andengine.entity.modifier.MoveYModifier","1,00",8
"org.andengine.entity.modifier.ParallelEntityModifier","1,00",4
"org.andengine.entity.modifier.PathModifier","1,27",28
"org.andengine.entity.modifier.PathModifier.Path","1,27",14
"org.andengine.entity.modifier.QuadraticBezierCurveMoveModifier","1,00",7
"org.andengine.entity.modifier.RotationAtModifier","1,00",7
"org.andengine.entity.modifier.RotationByModifier","1,00",5
"org.andengine.entity.modifier.RotationModifier","1,00",8
"org.andengine.entity.modifier.ScaleAtModifier","1,00",11
"org.andengine.entity.modifier.ScaleModifier","1,00",12
"org.andengine.entity.modifier.SequenceEntityModifier","1,00",6
"org.andengine.entity.modifier.SingleValueChangeEntityModifier","1,00",3
"org.andengine.entity.modifier.SingleValueSpanEntityModifier","1,00",5
"org.andengine.entity.modifier.SkewModifier","1,00",8
"org.andengine.entity.modifier.SkewXModifier","1,00",8
"org.andengine.entity.modifier.SkewYModifier","1,00",8
"org.andengine.entity.modifier.TripleValueSpanEntityModifier","1,00",3
"org.andengine.entity.particle.BatchedPseudoSpriteParticleSystem","1,25",5
"org.andengine.entity.particle.BatchedSpriteParticleSystem","1,25",5
"org.andengine.entity.particle.BlendFunctionParticleSystem","1,18",13
"org.andengine.entity.particle.Particle","1,27",14
"org.andengine.entity.particle.ParticleSystem","1,71",29
"org.andengine.entity.particle.SpriteParticleSystem","1,00",4
"org.andengine.entity.particle.emitter.BaseCircleParticleEmitter","1,00",8
"org.andengine.entity.particle.emitter.BaseParticleEmitter","1,00",8
"org.andengine.entity.particle.emitter.BaseRectangleParticleEmitter","1,00",6
