Package,PDcy,PDpt
"org.andengine",3,8
"org.andengine.audio",1,3
"org.andengine.audio.exception",1,1
"org.andengine.audio.music",3,2
"org.andengine.audio.music.exception",1,1
"org.andengine.audio.sound",3,3
"org.andengine.audio.sound.exception",1,1
"org.andengine.engine",24,5
"org.andengine.engine.camera",13,19
"org.andengine.engine.camera.hud",1,2
"org.andengine.engine.camera.hud.controls",13,0
"org.andengine.engine.handler",5,17
"org.andengine.engine.handler.collision",3,0
"org.andengine.engine.handler.physics",2,2
"org.andengine.engine.handler.runnable",1,2
"org.andengine.engine.handler.timer",1,2
"org.andengine.engine.options",4,6
"org.andengine.engine.options.resolutionpolicy",1,2
"org.andengine.engine.splitscreen",7,0
"org.andengine.entity",11,27
"org.andengine.entity.modifier",7,3
"org.andengine.entity.particle",16,2
"org.andengine.entity.particle.emitter",3,1
"org.andengine.entity.particle.initializer",6,2
"org.andengine.entity.particle.modifier",7,1
"org.andengine.entity.primitive",11,4
"org.andengine.entity.primitive.vbo",6,1
"org.andengine.entity.scene",11,11
"org.andengine.entity.scene.background",16,2
"org.andengine.entity.scene.background.modifier",4,0
"org.andengine.entity.scene.menu",6,0
"org.andengine.entity.scene.menu.animator",7,1
"org.andengine.entity.scene.menu.item",9,3
"org.andengine.entity.scene.menu.item.decorator",14,0
"org.andengine.entity.shape",12,18
"org.andengine.entity.sprite",17,8
"org.andengine.entity.sprite.batch",16,2
"org.andengine.entity.sprite.batch.vbo",4,1
"org.andengine.entity.sprite.vbo",7,2
"org.andengine.entity.text",15,3
"org.andengine.entity.text.exception",1,1
"org.andengine.entity.text.vbo",8,2
"org.andengine.entity.util",8,0
"org.andengine.input.sensor",0,3
"org.andengine.input.sensor.acceleration",1,2
"org.andengine.input.sensor.location",1,2
"org.andengine.input.sensor.orientation",2,2
"org.andengine.input.touch",1,11
"org.andengine.input.touch.controller",4,1
"org.andengine.input.touch.detector",5,1
"org.andengine.opengl",2,1
"org.andengine.opengl.exception",1,2
"org.andengine.opengl.font",12,5
"org.andengine.opengl.font.exception",1,1
"org.andengine.opengl.shader",6,11
"org.andengine.opengl.shader.constants",0,7
"org.andengine.opengl.shader.exception",1,2
"org.andengine.opengl.shader.source",3,1
"org.andengine.opengl.texture",11,21
"org.andengine.opengl.texture.atlas",4,4
"org.andengine.opengl.texture.atlas.bitmap",10,3
"org.andengine.opengl.texture.atlas.bitmap.source",3,3
"org.andengine.opengl.texture.atlas.bitmap.source.decorator",6,1
"org.andengine.opengl.texture.atlas.bitmap.source.decorator.shape",1,1
"org.andengine.opengl.texture.atlas.buildable",7,2
"org.andengine.opengl.texture.atlas.buildable.builder",5,1
"org.andengine.opengl.texture.atlas.source",0,9
"org.andengine.opengl.texture.bitmap",6,5
"org.andengine.opengl.texture.compressed.etc1",3,0
"org.andengine.opengl.texture.compressed.pvr",10,2
"org.andengine.opengl.texture.compressed.pvr.pixelbufferstrategy",4,2
"org.andengine.opengl.texture.region",4,13
"org.andengine.opengl.texture.render",4,0
"org.andengine.opengl.util",10,31
"org.andengine.opengl.util.criteria",2,1
"org.andengine.opengl.vbo",6,17
"org.andengine.opengl.vbo.attribute",4,11
"org.andengine.opengl.view",5,4
"org.andengine.ui",3,1
"org.andengine.ui.activity",22,0
"org.andengine.ui.dialog",2,0
"org.andengine.util",8,32
"org.andengine.util.adt",0,6
"org.andengine.util.adt.array",1,5
"org.andengine.util.adt.bit",1,0
"org.andengine.util.adt.bounds",2,3
"org.andengine.util.adt.cache",1,1
"org.andengine.util.adt.cache.concurrent",1,0
"org.andengine.util.adt.data",0,0
"org.andengine.util.adt.data.operator",0,1
"org.andengine.util.adt.io.in",0,3
"org.andengine.util.adt.io.out",0,1
"org.andengine.util.adt.list",5,19
"org.andengine.util.adt.list.concurrent",1,0
"org.andengine.util.adt.map",1,5
"org.andengine.util.adt.pool",8,5
"org.andengine.util.adt.queue",1,4
"org.andengine.util.adt.queue.concurrent",2,2
"org.andengine.util.adt.spatial",1,1
"org.andengine.util.adt.spatial.bounds.util",1,3
"org.andengine.util.adt.spatial.quadtree",7,0
"org.andengine.util.adt.transformation",2,5
"org.andengine.util.adt.trie",0,0
"org.andengine.util.algorithm",1,0
"org.andengine.util.algorithm.collision",8,3
"org.andengine.util.algorithm.hull",2,0
"org.andengine.util.algorithm.path",1,2
"org.andengine.util.algorithm.path.astar",5,1
"org.andengine.util.algorithm.sort",1,1
"org.andengine.util.animationpack",7,0
"org.andengine.util.animationpack.exception",0,1
"org.andengine.util.base64",0,0
"org.andengine.util.call",0,10
"org.andengine.util.color",1,16
"org.andengine.util.color.constants",0,0
"org.andengine.util.debug",1,19
"org.andengine.util.exception",0,20
"org.andengine.util.level",4,0
"org.andengine.util.level.constants",0,0
"org.andengine.util.levelstats",5,0
"org.andengine.util.math",0,24
"org.andengine.util.mime",0,0
"org.andengine.util.modifier",5,7
"org.andengine.util.modifier.ease",1,5
"org.andengine.util.modifier.util",1,1
"org.andengine.util.preferences",0,2
"org.andengine.util.progress",1,2
"org.andengine.util.system",2,7
"org.andengine.util.texturepack",8,1
"org.andengine.util.texturepack.exception",0,1
"org.andengine.util.time",0,5

