Class,CBO,CSA,CSO,CSOA,Dcy,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"com.android.AndroidConstants",26,12,0,12,0,0,0,0,29,14,0,0,0,n/a,0,0,0
"com.android.annotations.Nullable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.android.annotations.VisibleForTesting",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.annotations.VisibleForTesting.Visibility",15,3,0,3,0,n/a,0,0,12,5,n/a,0,0,n/a,0,0,0
"com.android.io.FileWrapper",10,1,13,14,0,0,0,8,109,73,0,0,0,"1,23",7,13,16
"com.android.io.FolderWrapper",7,1,13,14,1,0,0,6,111,75,0,0,0,"1,64",8,13,23
"com.android.io.IAbstractFile",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"com.android.io.IAbstractFile.PreferredWriteMode",2,2,0,2,0,n/a,0,0,3,3,n/a,0,0,n/a,0,0,0
"com.android.io.IAbstractFolder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"com.android.io.IAbstractFolder.FilenameFilter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.io.IAbstractResource",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.android.io.StreamException",13,1,1,2,0,0,0,0,9,6,0,0,0,"1,00",0,1,1
"com.android.resources.Density",27,10,12,22,0,n/a,0,6,92,77,n/a,0,0,"1,75",11,13,21
"com.android.resources.FolderTypeRelationship",5,2,5,7,0,0,0,1,126,89,0,0,0,"3,20",3,5,16
"com.android.resources.Keyboard",11,7,9,16,0,n/a,0,7,68,59,n/a,0,0,"1,67",8,10,15
"com.android.resources.KeyboardState",8,6,9,15,0,n/a,0,7,65,56,n/a,0,0,"1,67",8,10,15
"com.android.resources.Navigation",11,7,9,16,0,n/a,0,7,66,57,n/a,0,0,"1,67",8,10,15
"com.android.resources.NavigationState",7,5,9,14,0,n/a,0,7,64,55,n/a,0,0,"1,67",8,10,15
"com.android.resources.NightMode",5,5,9,14,0,n/a,0,7,64,55,n/a,0,0,"1,67",8,10,15
"com.android.resources.ResourceEnum",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"com.android.resources.ResourceFolderType",26,12,4,16,1,n/a,0,1,52,32,n/a,0,0,"1,50",3,5,6
"com.android.resources.ResourceType",70,26,6,32,1,n/a,0,2,85,65,n/a,0,0,"2,00",5,7,12
"com.android.resources.ScreenOrientation",13,6,9,15,0,n/a,0,7,65,56,n/a,0,0,"1,67",8,10,15
"com.android.resources.ScreenRatio",6,5,9,14,0,n/a,0,7,64,55,n/a,0,0,"1,67",8,10,15
"com.android.resources.ScreenSize",12,7,9,16,0,n/a,0,7,66,57,n/a,0,0,"1,67",8,10,15
"com.android.resources.TouchScreen",11,6,9,15,0,n/a,0,7,65,56,n/a,0,0,"1,67",8,10,15
"com.android.resources.UiMode",6,6,9,15,0,n/a,0,5,64,55,n/a,0,0,"1,67",8,10,15
"com.android.util.Pair",95,2,7,9,0,0,0,3,82,51,0,0,0,"2,57",6,7,18

