Package,v(G)avg,v(G)tot
"android.accessibilityservice","1,62",21
"android.accounts","2,84",716
"android.animation","2,81",706
"android.app","2,45",4.983
"android.app.admin","2,62",204
"android.app.backup","1,86",182
"android.appwidget","2,40",156
"android.bluetooth","3,09",1.046
"android.content","2,78",2.973
"android.content.pm","3,54",1.005
"android.content.res","2,40",981
"android.database","1,92",702
"android.database.sqlite","2,34",750
"android.ddm","2,11",131
"android.debug","1,00",5
"android.emoji","1,46",41
"android.gesture","2,19",383
"android.hardware","2,08",465
"android.inputmethodservice","3,07",814
"android.net","1,97",1.275
"android.net.dhcp","2,24",132
"android.net.http","2,93",859
"android.nfc","2,15",153
"android.nfc.technology","2,16",145
"android.os","2,23",2.287
"android.os.storage","1,99",181
"android.pim","3,25",276
"android.preference","2,12",1.066
"android.provider","2,32",772
"android.security","1,23",16
"android.server","3,27",941
"android.server.search","2,53",43
"android.service.wallpaper","3,15",167
"android.speech","2,30",124
"android.speech.srec","1,58",188
"android.speech.tts","5,57",128
"android.test","2,38",69
"android.text","4,06",1.839
"android.text.format","4,05",344
"android.text.method","3,20",751
"android.text.style","1,30",244
"android.text.util","4,77",167
"android.util","2,60",1.099
"android.view","2,77",5.012
"android.view.accessibility","1,32",74
"android.view.animation","1,95",379
"android.view.inputmethod","2,46",501
"android.webkit","2,79",4.993
"android.widget","3,09",10.449
"com.android.internal.app","2,53",561
"com.android.internal.backup","2,88",46
"com.android.internal.content","2,86",146
"com.android.internal.database","3,25",65
"com.android.internal.http","4,67",28
"com.android.internal.http.multipart","1,70",104
"com.android.internal.logging","2,12",17
"com.android.internal.net","10,67",160
"com.android.internal.nfc","2,33",93
"com.android.internal.os","2,89",1.406
"com.android.internal.os.storage","3,90",39
"com.android.internal.policy","1,00",5
"com.android.internal.preference","1,38",22
"com.android.internal.service.wallpaper","2,00",28
"com.android.internal.statusbar","1,52",61
"com.android.internal.util","2,44",692
"com.android.internal.view","2,11",260
"com.android.internal.view.menu","2,01",785
"com.android.internal.widget","2,82",1.139
"com.android.server","3,00",9
"com.google.android.collect","1,00",7
"com.google.android.mms","1,52",32
"com.google.android.mms.pdu","3,25",939
"com.google.android.mms.util","2,57",77
"com.google.android.util","2,28",338

