Package,PDcy,PDpt
"",0,0
"android",0,0
"android.accessibilityservice",6,1
"android.accounts",12,5
"android.animation",6,8
"android.annotation",0,12
"android.app",32,78
"android.app.admin",7,2
"android.app.backup",4,3
"android.appwidget",7,1
"android.bluetooth",8,7
"android.content",19,85
"android.content.pm",10,28
"android.content.res",7,44
"android.database",7,28
"android.database.sqlite",10,12
"android.ddm",2,2
"android.debug",0,0
"android.emoji",0,1
"android.gesture",7,0
"android.hardware",3,4
"android.inputmethodservice",15,2
"android.net",8,35
"android.net.dhcp",1,0
"android.net.http",8,3
"android.nfc",7,3
"android.nfc.technology",3,1
"android.os",11,88
"android.os.storage",2,8
"android.pim",10,2
"android.preference",14,3
"android.provider",17,32
"android.security",0,2
"android.server",8,1
"android.server.search",6,1
"android.service.wallpaper",10,2
"android.speech",8,2
"android.speech.srec",0,0
"android.speech.tts",4,1
"android.test",6,29
"android.test.suitebuilder.annotation",0,0
"android.text",9,35
"android.text.format",4,9
"android.text.method",10,10
"android.text.style",8,8
"android.text.util",6,3
"android.util",9,87
"android.view",19,50
"android.view.accessibility",5,8
"android.view.animation",6,11
"android.view.inputmethod",11,7
"android.webkit",22,5
"android.widget",28,39
"com.android.internal",0,0
"com.android.internal.app",20,1
"com.android.internal.appwidget",0,0
"com.android.internal.backup",5,0
"com.android.internal.content",10,2
"com.android.internal.database",2,0
"com.android.internal.http",1,1
"com.android.internal.http.multipart",0,1
"com.android.internal.logging",1,1
"com.android.internal.net",1,2
"com.android.internal.nfc",3,0
"com.android.internal.os",11,11
"com.android.internal.os.storage",7,1
"com.android.internal.policy",2,3
"com.android.internal.preference",6,0
"com.android.internal.service.wallpaper",7,0
"com.android.internal.statusbar",2,0
"com.android.internal.util",5,15
"com.android.internal.view",8,5
"com.android.internal.view.menu",9,7
"com.android.internal.widget",21,4
"com.android.server",1,0
"com.google.android.collect",0,13
"com.google.android.mms",0,1
"com.google.android.mms.pdu",8,1
"com.google.android.mms.util",9,1
"com.google.android.util",3,0

