Chidamber-Kemerer metrics,Sex, 6 out 2017 18:57:38 BRT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat",3,0,3,0,13,18
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl",2,1,5,0,5,5
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl",3,0,5,1,5,5
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoVersionImpl",n/a,n/a,n/a,n/a,5,n/a
"android.support.v4.app.ActivityCompat",1,1,1,0,1,2
"android.support.v4.app.BackStackRecord",6,1,1,0,52,110
"android.support.v4.app.BackStackRecord.Op",3,0,0,0,0,0
"android.support.v4.app.BackStackState",6,0,2,0,8,20
"android.support.v4.app.DialogFragment",3,1,2,0,43,55
"android.support.v4.app.Fragment",18,0,15,2,88,117
"android.support.v4.app.Fragment.InstantiationException",1,0,0,0,1,1
"android.support.v4.app.Fragment.SavedState",4,0,2,0,4,7
"android.support.v4.app.FragmentActivity",10,0,4,0,79,103
"android.support.v4.app.FragmentActivity.FragmentTag",1,0,0,0,0,0
"android.support.v4.app.FragmentActivity.NonConfigurationInstances",4,0,0,0,0,0
"android.support.v4.app.FragmentManager",10,0,19,1,20,2
"android.support.v4.app.FragmentManager.BackStackEntry",n/a,n/a,n/a,n/a,6,n/a
"android.support.v4.app.FragmentManager.OnBackStackChangedListener",n/a,n/a,n/a,n/a,1,n/a
"android.support.v4.app.FragmentManagerImpl",18,1,2,0,124,421
"android.support.v4.app.FragmentManagerState",3,0,2,0,4,6
"android.support.v4.app.FragmentPagerAdapter",4,1,5,0,22,22
"android.support.v4.app.FragmentState",4,0,2,0,7,14
"android.support.v4.app.FragmentStatePagerAdapter",6,1,4,0,21,34
"android.support.v4.app.FragmentTransaction",7,0,24,1,24,0
"android.support.v4.app.ListFragment",1,1,2,0,20,37
"android.support.v4.app.LoaderManager",5,0,7,1,7,2
"android.support.v4.app.LoaderManager.LoaderCallbacks",n/a,n/a,n/a,n/a,3,n/a
"android.support.v4.app.LoaderManagerImpl",10,1,1,0,42,70
"android.support.v4.app.LoaderManagerImpl.LoaderInfo",8,0,1,0,28,56
"android.support.v4.app.NavUtils",4,0,1,0,13,13
"android.support.v4.app.NavUtils.NavUtilsImpl",n/a,n/a,n/a,n/a,4,n/a
"android.support.v4.app.NavUtils.NavUtilsImplBase",3,0,4,1,5,8
"android.support.v4.app.NavUtils.NavUtilsImplJB",2,1,4,0,6,6
"android.support.v4.app.NoSaveStateFrameLayout",1,0,3,0,4,5
"android.support.v4.app.NotificationCompat",6,0,0,0,0,3
"android.support.v4.app.NotificationCompat.Action",2,0,0,0,1,1
"android.support.v4.app.NotificationCompat.BigPictureStyle",3,1,3,0,6,5
"android.support.v4.app.NotificationCompat.BigTextStyle",3,1,3,0,6,5
"android.support.v4.app.NotificationCompat.Builder",11,0,14,0,35,37
"android.support.v4.app.NotificationCompat.InboxStyle",3,1,3,0,6,5
"android.support.v4.app.NotificationCompat.NotificationCompatImpl",n/a,n/a,n/a,n/a,1,n/a
"android.support.v4.app.NotificationCompat.NotificationCompatImplBase",3,0,1,0,1,2
"android.support.v4.app.NotificationCompat.NotificationCompatImplHoneycomb",3,0,1,0,1,1
"android.support.v4.app.NotificationCompat.NotificationCompatImplIceCreamSandwich",3,0,1,0,1,1
"android.support.v4.app.NotificationCompat.NotificationCompatImplJellybean",8,0,1,0,1,6
"android.support.v4.app.NotificationCompat.Style",5,0,1,3,4,5
"android.support.v4.app.ServiceCompat",0,0,0,0,1,1
"android.support.v4.app.ShareCompat",6,0,3,0,5,9
"android.support.v4.app.ShareCompat.IntentBuilder",6,0,5,0,25,45
"android.support.v4.app.ShareCompat.IntentReader",3,0,3,0,23,32
"android.support.v4.app.ShareCompat.ShareCompatImpl",n/a,n/a,n/a,n/a,2,n/a
"android.support.v4.app.ShareCompat.ShareCompatImplBase",4,0,2,1,4,10
