Class,OCavg,WMC
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat","2,25",18
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl","1,00",5
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl","1,00",5
"android.support.v4.app.ActivityCompat","2,00",2
"android.support.v4.app.BackStackRecord","2,75",110
"android.support.v4.app.BackStackRecord.Op",n/a,0
"android.support.v4.app.BackStackState","2,86",20
"android.support.v4.app.DialogFragment","2,20",55
"android.support.v4.app.Fragment","1,56",117
"android.support.v4.app.Fragment.InstantiationException","1,00",1
"android.support.v4.app.Fragment.SavedState","1,17",7
"android.support.v4.app.FragmentActivity","3,03",103
"android.support.v4.app.FragmentActivity.FragmentTag",n/a,0
"android.support.v4.app.FragmentActivity.NonConfigurationInstances",n/a,0
"android.support.v4.app.FragmentManager","1,00",2
"android.support.v4.app.FragmentManagerImpl","5,33",421
"android.support.v4.app.FragmentManagerState","1,00",6
"android.support.v4.app.FragmentPagerAdapter","2,00",22
"android.support.v4.app.FragmentState","2,00",14
"android.support.v4.app.FragmentStatePagerAdapter","3,78",34
"android.support.v4.app.FragmentTransaction",n/a,0
"android.support.v4.app.ListFragment","2,06",37
"android.support.v4.app.LoaderManager","1,00",2
"android.support.v4.app.LoaderManagerImpl","3,68",70
"android.support.v4.app.LoaderManagerImpl.LoaderInfo","5,09",56
"android.support.v4.app.NavUtils","1,44",13
"android.support.v4.app.NavUtils.NavUtilsImplBase","2,00",8
"android.support.v4.app.NavUtils.NavUtilsImplJB","1,50",6
"android.support.v4.app.NoSaveStateFrameLayout","1,25",5
"android.support.v4.app.NotificationCompat",n/a,3
"android.support.v4.app.NotificationCompat.Action","1,00",1
"android.support.v4.app.NotificationCompat.BigPictureStyle","1,00",5
"android.support.v4.app.NotificationCompat.BigTextStyle","1,00",5
"android.support.v4.app.NotificationCompat.Builder","1,16",37
"android.support.v4.app.NotificationCompat.InboxStyle","1,00",5
"android.support.v4.app.NotificationCompat.NotificationCompatImplBase","2,00",2
"android.support.v4.app.NotificationCompat.NotificationCompatImplHoneycomb","1,00",1
"android.support.v4.app.NotificationCompat.NotificationCompatImplIceCreamSandwich","1,00",1
"android.support.v4.app.NotificationCompat.NotificationCompatImplJellybean","6,00",6
"android.support.v4.app.NotificationCompat.Style","2,50",5
"android.support.v4.app.ServiceCompat","1,00",1
"android.support.v4.app.ShareCompat","2,25",9
"android.support.v4.app.ShareCompat.IntentBuilder","1,80",45
"android.support.v4.app.ShareCompat.IntentReader","1,60",32
"android.support.v4.app.ShareCompat.ShareCompatImplBase","3,33",10
"android.support.v4.app.ShareCompat.ShareCompatImplICS","1,50",3
"android.support.v4.app.ShareCompat.ShareCompatImplJB","1,00",2
"android.support.v4.app.SuperNotCalledException","1,00",1
"android.support.v4.app.TaskStackBuilder","1,40",21
"android.support.v4.app.TaskStackBuilder.TaskStackBuilderImplBase","1,00",1
"android.support.v4.app.TaskStackBuilder.TaskStackBuilderImplHoneycomb","1,00",1
"android.support.v4.app.TaskStackBuilder.TaskStackBuilderImplJellybean","1,00",1
"android.support.v4.content.AsyncTaskLoader","3,45",38
"android.support.v4.content.AsyncTaskLoader.LoadTask","2,00",8
"android.support.v4.content.ContextCompat","2,00",4
"android.support.v4.content.CursorLoader","1,45",29
"android.support.v4.content.IntentCompat","1,00",1
"android.support.v4.content.Loader","1,21",29
"android.support.v4.content.Loader.ForceLoadContentObserver","1,00",3
"android.support.v4.content.LocalBroadcastManager","5,62",45
"android.support.v4.content.LocalBroadcastManager.BroadcastRecord","1,00",1
"android.support.v4.content.LocalBroadcastManager.ReceiverRecord","1,00",2
"android.support.v4.content.ModernAsyncTask","1,26",29
"android.support.v4.content.ModernAsyncTask.AsyncTaskResult","1,00",1
"android.support.v4.content.ModernAsyncTask.InternalHandler","3,00",3
"android.support.v4.content.ModernAsyncTask.Status",n/a,0
"android.support.v4.content.ModernAsyncTask.WorkerRunnable",n/a,0
"android.support.v4.content.pm.ActivityInfoCompat","1,00",1
"android.support.v4.database.DatabaseUtilsCompat","2,00",6
"android.support.v4.net.ConnectivityManagerCompat","2,50",5
"android.support.v4.net.ConnectivityManagerCompat.BaseConnectivityManagerCompatImpl","5,00",5
"android.support.v4.net.ConnectivityManagerCompat.GingerbreadConnectivityManagerCompatImpl","1,00",1
"android.support.v4.net.ConnectivityManagerCompat.HoneycombMR2ConnectivityManagerCompatImpl","1,00",1
"android.support.v4.net.ConnectivityManagerCompat.JellyBeanConnectivityManagerCompatImpl","1,00",1
"android.support.v4.net.TrafficStatsCompat","1,14",8
"android.support.v4.net.TrafficStatsCompat.BaseTrafficStatsCompatImpl","1,00",8
"android.support.v4.net.TrafficStatsCompat.BaseTrafficStatsCompatImpl.SocketTags",n/a,0
"android.support.v4.net.TrafficStatsCompat.IcsTrafficStatsCompatImpl","1,00",7
"android.support.v4.os.ParcelableCompat","2,00",2
"android.support.v4.os.ParcelableCompat.CompatCreator","1,00",3
"android.support.v4.util.AtomicFile","2,22",20
"android.support.v4.util.DebugUtils","4,00",4
"android.support.v4.util.LogWriter","1,60",8
"android.support.v4.util.LongSparseArray","2,43",51
"android.support.v4.util.LruCache","1,89",36
"android.support.v4.util.SparseArrayCompat","2,48",52
"android.support.v4.util.TimeUtils","4,00",28
