Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat",0,3,3,0,0
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl",0,1,2,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl",0,1,1,2,2
"android.support.v4.app.ActivityCompat",0,1,1,0,0
"android.support.v4.app.BackStackRecord",13,5,27,2,17
"android.support.v4.app.BackStackRecord.Op",13,1,27,2,17
"android.support.v4.app.BackStackState",13,5,27,2,17
"android.support.v4.app.DialogFragment",0,3,28,0,0
"android.support.v4.app.Fragment",13,8,27,13,17
"android.support.v4.app.Fragment.InstantiationException",0,0,0,1,18
"android.support.v4.app.Fragment.SavedState",0,0,0,4,18
"android.support.v4.app.FragmentActivity",13,8,27,5,17
"android.support.v4.app.FragmentActivity.FragmentTag",0,0,0,1,18
"android.support.v4.app.FragmentActivity.NonConfigurationInstances",13,3,27,1,17
"android.support.v4.app.FragmentManager",13,6,27,6,17
"android.support.v4.app.FragmentManagerImpl",13,17,27,8,17
"android.support.v4.app.FragmentManagerState",13,2,27,1,17
"android.support.v4.app.FragmentPagerAdapter",0,4,29,0,0
"android.support.v4.app.FragmentState",13,3,27,2,17
"android.support.v4.app.FragmentStatePagerAdapter",0,6,29,0,0
"android.support.v4.app.FragmentTransaction",13,1,27,6,17
"android.support.v4.app.ListFragment",0,1,28,0,0
"android.support.v4.app.LoaderManager",13,3,27,3,17
"android.support.v4.app.LoaderManagerImpl",13,8,27,6,17
"android.support.v4.app.LoaderManagerImpl.LoaderInfo",13,8,27,1,17
"android.support.v4.app.NavUtils",2,3,3,2,3
"android.support.v4.app.NavUtils.NavUtilsImplBase",2,2,3,2,3
"android.support.v4.app.NavUtils.NavUtilsImplJB",2,1,3,1,3
"android.support.v4.app.NoSaveStateFrameLayout",0,0,0,1,18
"android.support.v4.app.NotificationCompat",10,5,11,2,10
"android.support.v4.app.NotificationCompat.Action",0,0,0,2,11
"android.support.v4.app.NotificationCompat.BigPictureStyle",10,2,11,1,10
"android.support.v4.app.NotificationCompat.BigTextStyle",10,2,11,1,10
"android.support.v4.app.NotificationCompat.Builder",10,4,11,9,10
"android.support.v4.app.NotificationCompat.InboxStyle",10,2,11,1,10
"android.support.v4.app.NotificationCompat.NotificationCompatImplBase",10,3,11,1,10
"android.support.v4.app.NotificationCompat.NotificationCompatImplHoneycomb",10,2,11,1,10
"android.support.v4.app.NotificationCompat.NotificationCompatImplIceCreamSandwich",10,2,11,1,10
"android.support.v4.app.NotificationCompat.NotificationCompatImplJellybean",10,7,11,1,10
"android.support.v4.app.NotificationCompat.Style",10,1,11,5,10
"android.support.v4.app.ServiceCompat",0,0,0,0,0
"android.support.v4.app.ShareCompat",5,5,7,2,6
"android.support.v4.app.ShareCompat.IntentBuilder",5,3,7,4,6
"android.support.v4.app.ShareCompat.IntentReader",0,3,8,0,0
"android.support.v4.app.ShareCompat.ShareCompatImplBase",5,2,7,2,6
"android.support.v4.app.ShareCompat.ShareCompatImplICS",5,2,7,2,6
"android.support.v4.app.ShareCompat.ShareCompatImplJB",5,1,7,1,6
"android.support.v4.app.SuperNotCalledException",0,0,0,1,18
"android.support.v4.app.TaskStackBuilder",0,7,10,0,0
"android.support.v4.app.TaskStackBuilder.TaskStackBuilderImplBase",0,2,2,1,1
