Method,ev(G),iv(G),v(G)
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoCompat()",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getCanRetrieveWindowContent(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getDescription(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getId(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getResolveInfo(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl.getSettingsActivityName(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getCanRetrieveWindowContent(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getDescription(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getId(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getResolveInfo(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl.getSettingsActivityName(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.feedbackTypeToString(int)",2,4,8
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.flagToString(int)",3,2,3
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getCanRetrieveWindowContent(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getDescription(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getId(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getResolveInfo(AccessibilityServiceInfo)",1,1,1
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getSettingsActivityName(AccessibilityServiceInfo)",1,1,1
"android.support.v4.app.ActivityCompat.invalidateOptionsMenu(Activity)",2,2,2
"android.support.v4.app.BackStackRecord.BackStackRecord(FragmentManagerImpl)",1,1,1
"android.support.v4.app.BackStackRecord.add(Fragment,String)",1,1,1
"android.support.v4.app.BackStackRecord.add(int,Fragment)",1,1,1
"android.support.v4.app.BackStackRecord.add(int,Fragment,String)",1,1,1
"android.support.v4.app.BackStackRecord.addOp(Op)",1,1,2
"android.support.v4.app.BackStackRecord.addToBackStack(String)",2,1,2
"android.support.v4.app.BackStackRecord.attach(Fragment)",1,1,1
"android.support.v4.app.BackStackRecord.bumpBackStackNesting(int)",2,8,9
"android.support.v4.app.BackStackRecord.commit()",1,1,1
"android.support.v4.app.BackStackRecord.commitAllowingStateLoss()",1,1,1
"android.support.v4.app.BackStackRecord.commitInternal(boolean)",2,3,4
"android.support.v4.app.BackStackRecord.detach(Fragment)",1,1,1
"android.support.v4.app.BackStackRecord.disallowAddToBackStack()",2,1,2
"android.support.v4.app.BackStackRecord.doAddOp(int,Fragment,String,int)",5,3,7
"android.support.v4.app.BackStackRecord.dump(String,FileDescriptor,PrintWriter,String[])",1,14,20
"android.support.v4.app.BackStackRecord.getBreadCrumbShortTitle()",2,2,2
"android.support.v4.app.BackStackRecord.getBreadCrumbShortTitleRes()",1,1,1
"android.support.v4.app.BackStackRecord.getBreadCrumbTitle()",2,2,2
"android.support.v4.app.BackStackRecord.getBreadCrumbTitleRes()",1,1,1
"android.support.v4.app.BackStackRecord.getId()",1,1,1
"android.support.v4.app.BackStackRecord.getName()",1,1,1
"android.support.v4.app.BackStackRecord.getTransition()",1,1,1
"android.support.v4.app.BackStackRecord.getTransitionStyle()",1,1,1
"android.support.v4.app.BackStackRecord.hide(Fragment)",1,1,1
"android.support.v4.app.BackStackRecord.isAddToBackStackAllowed()",1,1,1
"android.support.v4.app.BackStackRecord.isEmpty()",1,1,1
"android.support.v4.app.BackStackRecord.popFromBackStack(boolean)",3,9,16
"android.support.v4.app.BackStackRecord.remove(Fragment)",1,1,1
"android.support.v4.app.BackStackRecord.replace(int,Fragment)",1,1,1
"android.support.v4.app.BackStackRecord.replace(int,Fragment,String)",2,1,2
"android.support.v4.app.BackStackRecord.run()",5,13,24
"android.support.v4.app.BackStackRecord.setBreadCrumbShortTitle(CharSequence)",1,1,1
"android.support.v4.app.BackStackRecord.setBreadCrumbShortTitle(int)",1,1,1
"android.support.v4.app.BackStackRecord.setBreadCrumbTitle(CharSequence)",1,1,1
"android.support.v4.app.BackStackRecord.setBreadCrumbTitle(int)",1,1,1
"android.support.v4.app.BackStackRecord.setCustomAnimations(int,int)",1,1,1
"android.support.v4.app.BackStackRecord.setCustomAnimations(int,int,int,int)",1,1,1
"android.support.v4.app.BackStackRecord.setTransition(int)",1,1,1
"android.support.v4.app.BackStackRecord.setTransitionStyle(int)",1,1,1
"android.support.v4.app.BackStackRecord.show(Fragment)",1,1,1
"android.support.v4.app.BackStackState.BackStackState(FragmentManagerImpl,BackStackRecord)",2,6,8
"android.support.v4.app.BackStackState.BackStackState(Parcel)",1,1,1
"android.support.v4.app.BackStackState.describeContents()",1,1,1
"android.support.v4.app.BackStackState.instantiate(FragmentManagerImpl)",1,7,7
"android.support.v4.app.BackStackState.writeToParcel(Parcel,int)",1,1,1
"android.support.v4.app.DialogFragment.DialogFragment()",1,1,1
"android.support.v4.app.DialogFragment.dismiss()",1,1,1
"android.support.v4.app.DialogFragment.dismissAllowingStateLoss()",1,1,1
"android.support.v4.app.DialogFragment.dismissInternal(boolean)",2,4,5
"android.support.v4.app.DialogFragment.getDialog()",1,1,1
"android.support.v4.app.DialogFragment.getLayoutInflater(Bundle)",4,5,5
"android.support.v4.app.DialogFragment.getShowsDialog()",1,1,1
"android.support.v4.app.DialogFragment.getTheme()",1,1,1
"android.support.v4.app.DialogFragment.isCancelable()",1,1,1
"android.support.v4.app.DialogFragment.onActivityCreated(Bundle)",4,4,6
"android.support.v4.app.DialogFragment.onAttach(Activity)",1,1,2
"android.support.v4.app.DialogFragment.onCancel(DialogInterface)",1,1,1
"android.support.v4.app.DialogFragment.onCreate(Bundle)",1,2,2
"android.support.v4.app.DialogFragment.onCreateDialog(Bundle)",1,1,1
"android.support.v4.app.DialogFragment.onDestroyView()",1,2,2
"android.support.v4.app.DialogFragment.onDetach()",1,1,3
"android.support.v4.app.DialogFragment.onDismiss(DialogInterface)",1,2,2
"android.support.v4.app.DialogFragment.onSaveInstanceState(Bundle)",1,8,8
"android.support.v4.app.DialogFragment.onStart()",1,2,2
"android.support.v4.app.DialogFragment.onStop()",1,2,2
