Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"android.provider.Telephony",8,3,1,4,0,0,0,0,13,7,0,0,0,"1,00",0,1,1
"android.provider.Telephony.BaseMmsColumns",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"android.provider.Telephony.CanonicalAddressesColumns",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"android.provider.Telephony.Carriers",4,25,0,25,0,0,0,0,57,28,0,0,0,n/a,0,0,0
"android.provider.Telephony.CellBroadcasts",1,24,1,25,0,0,0,0,149,49,0,0,0,"1,00",0,1,1
"android.provider.Telephony.Mms",4,6,6,12,1,0,1,4,91,60,0,0,0,"2,67",6,6,16
"android.provider.Telephony.Mms.Addr",0,5,0,5,0,0,0,0,23,7,0,0,0,n/a,0,0,0
"android.provider.Telephony.Mms.Draft",1,2,0,2,1,0,1,0,14,5,0,0,0,n/a,0,0,0
"android.provider.Telephony.Mms.Inbox",1,2,0,2,1,0,1,0,14,5,0,0,0,n/a,0,0,0
"android.provider.Telephony.Mms.Intents",0,7,1,8,0,0,0,0,38,12,0,0,0,"1,00",0,1,1
"android.provider.Telephony.Mms.Outbox",1,2,0,2,1,0,1,0,14,5,0,0,0,n/a,0,0,0
"android.provider.Telephony.Mms.Part",0,13,0,13,0,0,0,0,63,15,0,0,0,n/a,0,0,0
"android.provider.Telephony.Mms.Rate",1,2,0,2,2,0,0,0,9,5,0,0,0,n/a,0,0,0
"android.provider.Telephony.Mms.Sent",1,2,0,2,1,0,1,0,14,5,0,0,0,n/a,0,0,0
"android.provider.Telephony.MmsSms",2,18,0,18,0,0,0,0,40,27,0,0,0,n/a,0,0,0
"android.provider.Telephony.MmsSms.PendingMessages",1,9,0,9,1,0,0,0,43,12,0,0,0,n/a,0,0,0
"android.provider.Telephony.MmsSms.WordsTable",0,4,0,4,0,0,0,0,6,6,0,0,0,n/a,0,0,0
"android.provider.Telephony.Sms",7,2,6,8,1,0,1,2,125,77,0,0,0,"3,00",6,6,18
"android.provider.Telephony.Sms.Conversations",1,4,0,4,1,0,1,0,25,8,0,0,0,n/a,0,0,0
"android.provider.Telephony.Sms.Draft",2,2,2,4,2,0,1,2,44,17,0,0,0,"1,00",2,3,2
"android.provider.Telephony.Sms.Inbox",2,2,1,3,2,0,1,1,31,11,0,0,0,"1,00",1,2,1
"android.provider.Telephony.Sms.Intents",8,12,1,13,13,0,0,1,196,47,0,0,0,"3,00",1,2,3
"android.provider.Telephony.Sms.Outbox",2,2,1,3,2,0,1,1,31,11,0,0,0,"1,00",1,2,1
"android.provider.Telephony.Sms.Sent",2,2,1,3,2,0,1,1,29,10,0,0,0,"1,00",1,2,1
"android.provider.Telephony.TextBasedSmsColumns",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"android.provider.Telephony.Threads",4,7,3,10,5,0,1,1,65,45,0,0,0,"2,33",2,5,7
"android.provider.Telephony.ThreadsColumns",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"android.telephony.CellBroadcastMessage",6,5,26,31,8,0,0,2,339,257,0,0,0,"1,68",21,57,47
"android.telephony.SmsCbCmasInfo",3,46,11,57,0,0,0,2,223,110,0,0,0,"1,00",8,11,13
"android.telephony.SmsCbEtwsInfo",4,11,10,21,2,0,0,2,150,86,0,0,0,"1,42",7,11,17
"android.telephony.SmsCbLocation",5,4,14,18,0,0,0,2,158,98,0,0,0,"1,44",9,14,23
"android.telephony.SmsCbMessage",6,22,18,40,0,0,0,2,318,144,0,0,0,"1,35",15,18,27
"android.telephony.SmsManager",10,12,15,27,3,0,0,12,440,195,0,0,0,"2,60",11,16,39
