Method,ev(G),iv(G),v(G)
"android.provider.Telephony.CellBroadcasts.CellBroadcasts()",1,1,1
"android.provider.Telephony.Mms.Intents.Intents()",1,1,1
"android.provider.Telephony.Mms.extractAddrSpec(String)",2,2,2
"android.provider.Telephony.Mms.getMessageBoxName(int)",7,2,7
"android.provider.Telephony.Mms.isEmailAddress(String)",2,1,2
"android.provider.Telephony.Mms.isPhoneNumber(String)",2,1,2
"android.provider.Telephony.Mms.query(ContentResolver,String[])",1,1,1
"android.provider.Telephony.Mms.query(ContentResolver,String[],String,String)",1,1,2
"android.provider.Telephony.Sms.Draft.addMessage(ContentResolver,String,String,String,Long)",1,1,1
"android.provider.Telephony.Sms.Draft.saveMessage(ContentResolver,Uri,String)",1,1,1
"android.provider.Telephony.Sms.Inbox.addMessage(ContentResolver,String,String,String,Long,boolean)",1,1,1
"android.provider.Telephony.Sms.Intents.getMessagesFromIntent(Intent)",1,2,3
"android.provider.Telephony.Sms.Outbox.addMessage(ContentResolver,String,String,String,Long,boolean,long)",1,1,1
"android.provider.Telephony.Sms.Sent.addMessage(ContentResolver,String,String,String,Long)",1,1,1
"android.provider.Telephony.Sms.addMessageToUri(ContentResolver,Uri,String,String,String,Long,boolean,boolean)",1,1,1
"android.provider.Telephony.Sms.addMessageToUri(ContentResolver,Uri,String,String,String,Long,boolean,boolean,long)",1,5,5
"android.provider.Telephony.Sms.isOutgoingFolder(int)",1,1,4
"android.provider.Telephony.Sms.moveMessageToFolder(Context,Uri,int,int)",3,4,8
"android.provider.Telephony.Sms.query(ContentResolver,String[])",1,1,1
"android.provider.Telephony.Sms.query(ContentResolver,String[],String,String)",1,1,2
"android.provider.Telephony.Telephony()",1,1,1
"android.provider.Telephony.Threads.Threads()",1,1,1
"android.provider.Telephony.Threads.getOrCreateThreadId(Context,Set<String>)",3,5,5
"android.provider.Telephony.Threads.getOrCreateThreadId(Context,String)",1,1,1
"android.telephony.CellBroadcastMessage.CellBroadcastMessage(Parcel)",1,1,1
"android.telephony.CellBroadcastMessage.CellBroadcastMessage(SmsCbMessage)",1,1,1
"android.telephony.CellBroadcastMessage.CellBroadcastMessage(SmsCbMessage,long,boolean)",1,1,1
"android.telephony.CellBroadcastMessage.createFromCursor(Cursor)",1,21,21
"android.telephony.CellBroadcastMessage.describeContents()",1,1,1
"android.telephony.CellBroadcastMessage.getCmasMessageClass()",2,2,2
"android.telephony.CellBroadcastMessage.getCmasWarningInfo()",1,1,1
"android.telephony.CellBroadcastMessage.getContentValues()",1,6,6
"android.telephony.CellBroadcastMessage.getDateString(Context)",1,1,1
"android.telephony.CellBroadcastMessage.getDeliveryTime()",1,1,1
