Chidamber-Kemerer metrics,Sex, 6 out 2017 20:03:42 BRT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"com.android.SdkConstants",127,0,4,0,5,14
"com.android.annotations.NonNull",n/a,n/a,n/a,n/a,0,n/a
"com.android.annotations.NonNullByDefault",n/a,n/a,n/a,n/a,0,n/a
"com.android.annotations.Nullable",n/a,n/a,n/a,n/a,0,n/a
"com.android.annotations.VisibleForTesting",n/a,n/a,n/a,n/a,1,n/a
"com.android.annotations.VisibleForTesting.Visibility",18,n/a,0,n/a,0,0
"com.android.assetstudiolib.ActionBarIconGenerator",9,1,1,0,8,4
"com.android.assetstudiolib.ActionBarIconGenerator.ActionBarOptions",4,1,0,0,0,0
"com.android.assetstudiolib.ActionBarIconGenerator.Theme",3,n/a,0,n/a,0,0
"com.android.assetstudiolib.GraphicGenerator",11,0,6,5,14,19
"com.android.assetstudiolib.GraphicGenerator.Options",15,0,0,4,0,0
"com.android.assetstudiolib.GraphicGenerator.Shape",6,n/a,0,n/a,1,1
"com.android.assetstudiolib.GraphicGenerator.Style",3,n/a,0,n/a,1,1
"com.android.assetstudiolib.GraphicGeneratorContext",n/a,n/a,n/a,n/a,1,n/a
"com.android.assetstudiolib.LauncherIconGenerator",9,1,1,0,12,13
"com.android.assetstudiolib.LauncherIconGenerator.LauncherOptions",5,1,0,0,0,0
"com.android.assetstudiolib.MenuIconGenerator",8,1,1,0,9,2
"com.android.assetstudiolib.NotificationIconGenerator",12,1,1,0,17,13
"com.android.assetstudiolib.NotificationIconGenerator.NotificationOptions",5,1,0,0,0,0
"com.android.assetstudiolib.NotificationIconGenerator.Version",2,n/a,1,n/a,2,2
"com.android.assetstudiolib.TabIconGenerator",9,1,1,0,14,13
"com.android.assetstudiolib.TabIconGenerator.TabOptions",3,1,0,0,0,0
"com.android.assetstudiolib.TextRenderUtil",2,0,1,0,2,5
"com.android.assetstudiolib.TextRenderUtil.Options",1,0,0,0,0,0
"com.android.assetstudiolib.Util",10,0,4,0,12,32
"com.android.assetstudiolib.Util.Effect",7,0,0,2,0,0
"com.android.assetstudiolib.Util.FillEffect",6,1,0,0,2,2
"com.android.assetstudiolib.Util.ShadowEffect",5,1,0,0,1,1
"com.android.ddmlib.AdbCommandRejectedException",9,0,2,0,4,4
"com.android.ddmlib.AdbHelper",15,0,1,0,38,62
"com.android.ddmlib.AdbHelper.AdbResponse",3,0,0,0,1,1
"com.android.ddmlib.AllocationInfo",5,0,4,0,10,18
"com.android.ddmlib.AllocationInfo.AllocationSorter",2,0,1,0,8,18
"com.android.ddmlib.AllocationInfo.SortMode",1,n/a,0,n/a,0,0
"com.android.ddmlib.AndroidDebugBridge",20,0,2,0,69,101
"com.android.ddmlib.AndroidDebugBridge.IClientChangeListener",n/a,n/a,n/a,n/a,1,n/a
"com.android.ddmlib.AndroidDebugBridge.IDebugBridgeChangeListener",n/a,n/a,n/a,n/a,1,n/a
"com.android.ddmlib.AndroidDebugBridge.IDeviceChangeListener",n/a,n/a,n/a,n/a,3,n/a
"com.android.ddmlib.BadPacketException",1,0,0,0,2,2
"com.android.ddmlib.CanceledException",2,0,1,2,3,2
"com.android.ddmlib.ChunkHandler",18,0,8,9,24,19
"com.android.ddmlib.Client",27,0,12,0,92,82
"com.android.ddmlib.ClientData",21,0,21,0,49,49
"com.android.ddmlib.ClientData.AllocationTrackingStatus",2,n/a,0,n/a,0,0
"com.android.ddmlib.ClientData.DebuggerStatus",4,n/a,0,n/a,0,0
"com.android.ddmlib.ClientData.HeapData",5,0,3,0,10,11
"com.android.ddmlib.ClientData.IHprofDumpHandler",n/a,n/a,n/a,n/a,3,n/a
"com.android.ddmlib.ClientData.IMethodProfilingHandler",n/a,n/a,n/a,n/a,4,n/a
"com.android.ddmlib.ClientData.MethodProfilingStatus",3,n/a,0,n/a,0,0
"com.android.ddmlib.CollectingOutputReceiver",2,0,2,0,7,9
"com.android.ddmlib.DdmConstants",1,0,1,0,1,6
