Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"com.android.SdkConstants",127,565,5,570,0,0,0,4,985,656,0,0,0,"2,80",5,5,14
"com.android.annotations.NonNull",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.android.annotations.NonNullByDefault",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.android.annotations.Nullable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.android.annotations.VisibleForTesting",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.annotations.VisibleForTesting.Visibility",18,3,0,3,0,n/a,0,0,12,5,n/a,0,0,n/a,0,0,0
"com.android.assetstudiolib.ActionBarIconGenerator",9,0,7,7,12,1,0,1,38,34,0,4,0,"2,00",1,8,4
"com.android.assetstudiolib.ActionBarIconGenerator.ActionBarOptions",4,5,0,5,4,1,0,0,7,4,0,0,0,n/a,0,0,0
"com.android.assetstudiolib.ActionBarIconGenerator.Theme",3,2,0,2,0,n/a,0,0,7,4,n/a,0,0,n/a,0,0,0
"com.android.assetstudiolib.GraphicGenerator",11,0,10,10,4,0,0,6,193,107,5,0,0,"1,90",9,14,19
"com.android.assetstudiolib.GraphicGenerator.Options",15,3,0,3,2,0,0,0,11,5,4,0,0,n/a,0,0,0
"com.android.assetstudiolib.GraphicGenerator.Shape",6,4,1,5,0,n/a,0,0,14,9,n/a,0,0,"1,00",0,1,1
"com.android.assetstudiolib.GraphicGenerator.Style",3,2,1,3,0,n/a,0,0,10,7,n/a,0,0,"1,00",0,1,1
"com.android.assetstudiolib.GraphicGeneratorContext",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.assetstudiolib.LauncherIconGenerator",9,2,8,10,13,1,0,1,85,81,0,2,2,"4,33",2,12,13
"com.android.assetstudiolib.LauncherIconGenerator.LauncherOptions",5,8,0,8,5,1,0,0,21,7,0,0,0,n/a,0,0,0
"com.android.assetstudiolib.MenuIconGenerator",8,0,7,7,10,1,0,1,54,50,0,4,0,"1,00",1,9,2
"com.android.assetstudiolib.NotificationIconGenerator",12,0,9,9,13,1,0,1,98,94,0,2,2,"3,25",2,17,13
"com.android.assetstudiolib.NotificationIconGenerator.NotificationOptions",5,5,0,5,5,1,0,0,14,4,0,0,0,n/a,0,0,0
"com.android.assetstudiolib.NotificationIconGenerator.Version",2,4,2,6,0,n/a,0,1,25,12,n/a,0,0,"1,00",1,2,2
"com.android.assetstudiolib.TabIconGenerator",9,0,10,10,11,1,0,1,153,147,0,1,3,"2,60",3,14,13
"com.android.assetstudiolib.TabIconGenerator.TabOptions",3,5,0,5,3,1,0,0,7,4,0,0,0,n/a,0,0,0
"com.android.assetstudiolib.TextRenderUtil",2,0,1,1,6,0,0,1,58,39,0,0,0,"5,00",1,2,5
"com.android.assetstudiolib.TextRenderUtil.Options",1,6,0,6,0,0,0,0,35,8,0,0,0,n/a,0,0,0
"com.android.assetstudiolib.Util",10,0,12,12,4,0,0,4,338,234,0,0,0,"2,67",9,12,32
"com.android.assetstudiolib.Util.Effect",7,0,0,0,0,0,0,0,6,2,2,0,0,n/a,0,0,0
"com.android.assetstudiolib.Util.FillEffect",6,2,2,4,1,1,0,0,15,12,0,0,0,"1,00",0,2,2
"com.android.assetstudiolib.Util.ShadowEffect",5,6,1,7,1,1,0,0,20,17,0,0,0,"1,00",0,1,1
"com.android.ddmlib.AdbCommandRejectedException",9,3,4,7,0,0,0,2,32,21,0,0,0,"1,00",2,4,4
"com.android.ddmlib.AdbHelper",15,2,21,23,79,0,0,1,653,411,0,0,0,"2,95",9,38,62
"com.android.ddmlib.AdbHelper.AdbResponse",3,2,1,3,0,0,0,0,10,7,0,0,0,"1,00",0,1,1
"com.android.ddmlib.AllocationInfo",5,5,11,16,2,0,1,4,91,63,0,0,0,"1,80",9,10,18
"com.android.ddmlib.AllocationInfo.AllocationSorter",2,2,6,8,4,0,0,1,72,68,0,0,0,"3,00",4,8,18
"com.android.ddmlib.AllocationInfo.SortMode",1,6,0,6,0,n/a,0,0,3,3,n/a,0,0,n/a,0,0,0
"com.android.ddmlib.AndroidDebugBridge",20,21,38,59,79,0,0,2,948,595,0,0,0,"2,52",20,69,101
"com.android.ddmlib.AndroidDebugBridge.IClientChangeListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ddmlib.AndroidDebugBridge.IDebugBridgeChangeListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ddmlib.AndroidDebugBridge.IDeviceChangeListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.android.ddmlib.BadPacketException",1,0,2,2,0,0,0,0,14,11,0,0,0,"1,00",0,2,2
"com.android.ddmlib.CanceledException",2,1,3,4,0,0,0,1,19,10,2,0,0,"1,00",1,3,2
"com.android.ddmlib.ChunkHandler",18,3,13,16,79,0,0,8,167,97,9,0,0,"1,90",6,24,19
"com.android.ddmlib.Client",27,36,42,78,79,0,0,12,713,417,0,0,0,"1,95",17,92,82
"com.android.ddmlib.ClientData",21,31,47,78,79,0,0,21,410,192,0,0,0,"1,04",25,49,49
"com.android.ddmlib.ClientData.AllocationTrackingStatus",2,3,0,3,0,n/a,0,0,14,5,n/a,0,0,n/a,0,0,0
"com.android.ddmlib.ClientData.DebuggerStatus",4,4,0,4,0,n/a,0,0,14,6,n/a,0,0,n/a,0,0,0
"com.android.ddmlib.ClientData.HeapData",5,4,9,13,2,0,0,3,85,47,0,0,0,"1,22",4,10,11
"com.android.ddmlib.ClientData.IHprofDumpHandler",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.android.ddmlib.ClientData.IMethodProfilingHandler",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.android.ddmlib.ClientData.MethodProfilingStatus",3,3,0,3,0,n/a,0,0,14,5,n/a,0,0,n/a,0,0,0
"com.android.ddmlib.CollectingOutputReceiver",2,3,10,13,1,0,1,2,55,38,0,0,0,"1,29",2,7,9
"com.android.ddmlib.DdmConstants",1,8,1,9,0,0,0,1,38,23,0,0,0,"6,00",1,1,6
"com.android.ddmlib.DdmPreferences",10,18,19,37,79,0,0,9,175,81,0,0,0,"1,05",9,23,20
"com.android.ddmlib.DebugPortManager",2,1,2,3,79,0,0,1,29,9,0,0,0,"1,00",1,2,2
"com.android.ddmlib.DebugPortManager.IDebugPortProvider",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ddmlib.Debugger",6,13,14,27,79,0,0,1,283,173,0,0,0,"2,36",6,30,33
"com.android.ddmlib.Device",28,20,99,119,79,0,1,14,626,517,0,0,0,"1,49",36,92,88
"com.android.ddmlib.Device.BatteryReceiver",3,7,11,18,79,1,1,2,46,39,0,4,0,"2,33",2,4,7
"com.android.ddmlib.Device.InstallReceiver",2,6,12,18,2,1,1,2,32,29,0,4,0,"2,00",2,4,8
"com.android.ddmlib.DeviceMonitor",20,13,31,44,79,0,0,1,765,587,0,0,0,"3,11",13,79,109
"com.android.ddmlib.EmulatorConsole",10,32,26,58,79,0,0,1,558,366,0,0,0,"2,73",23,31,71
"com.android.ddmlib.EmulatorConsole.GsmMode",3,7,4,11,1,n/a,0,1,39,35,n/a,0,0,"2,25",2,5,9
"com.android.ddmlib.EmulatorConsole.GsmStatus",2,2,0,2,2,0,0,0,7,4,0,0,0,n/a,0,0,0
"com.android.ddmlib.EmulatorConsole.NetworkStatus",1,2,0,2,0,0,0,0,7,4,0,0,0,n/a,0,0,0
"com.android.ddmlib.FileListingService",10,27,6,33,79,0,0,1,251,139,0,0,0,"2,44",3,15,22
"com.android.ddmlib.FileListingService.FileEntry",5,16,29,45,79,0,0,9,271,161,0,0,0,"1,40",22,29,42
"com.android.ddmlib.FileListingService.IListingReceiver",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.android.ddmlib.FileListingService.LsReceiver",8,7,13,20,79,1,1,2,181,132,0,4,0,"4,43",2,11,31
"com.android.ddmlib.GetPropReceiver",4,6,12,18,79,1,1,2,45,32,0,3,1,"2,00",1,6,8
"com.android.ddmlib.HandleAppName",6,2,11,13,79,1,0,3,74,54,0,1,0,"1,67",0,18,10
"com.android.ddmlib.HandleExit",5,2,11,13,79,1,0,5,43,25,0,1,0,"1,00",0,15,6
"com.android.ddmlib.HandleHeap",13,19,29,48,79,1,0,2,488,329,0,1,0,"2,42",1,59,58
"com.android.ddmlib.HandleHello",8,3,15,18,79,1,0,3,145,109,0,1,0,"1,70",0,33,17
"com.android.ddmlib.HandleNativeHeap",10,5,14,19,79,1,0,3,215,160,0,1,0,"2,89",0,31,26
"com.android.ddmlib.HandleProfiling",11,7,19,26,79,1,0,3,231,157,0,1,0,"1,86",0,36,26
"com.android.ddmlib.HandleTest",7,2,11,13,79,1,0,3,50,28,0,1,0,"1,17",0,12,7
"com.android.ddmlib.HandleThread",8,9,20,29,79,1,0,2,296,227,0,1,0,"2,24",0,38,38
"com.android.ddmlib.HandleWait",7,2,11,13,79,1,0,3,51,32,0,1,0,"1,17",0,14,7
"com.android.ddmlib.HeapSegment",2,7,13,20,1,0,0,2,201,126,0,0,0,"2,38",11,15,31
"com.android.ddmlib.HeapSegment.HeapSegmentElement",2,21,10,31,1,0,0,1,149,75,0,0,0,"1,40",5,10,14
"com.android.ddmlib.IDevice",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40,n/a
"com.android.ddmlib.IDevice.DeviceState",3,5,2,7,0,n/a,0,1,27,18,n/a,0,0,"2,00",1,3,4
"com.android.ddmlib.IDevice.DeviceUnixSocketNamespace",2,4,2,6,0,n/a,0,1,15,12,n/a,0,0,"1,00",1,2,2
"com.android.ddmlib.IShellOutputReceiver",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.android.ddmlib.IStackTraceInfo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ddmlib.InstallException",4,1,6,7,3,1,0,1,21,14,0,0,0,"1,00",1,5,3
"com.android.ddmlib.JdwpPacket",13,18,17,35,79,0,0,2,297,155,0,0,0,"1,53",10,19,26
"com.android.ddmlib.Log",29,4,15,19,79,0,0,1,191,115,0,0,0,"1,73",1,20,26
"com.android.ddmlib.Log.Config",1,2,0,2,0,0,0,0,4,4,0,0,0,n/a,0,0,0
"com.android.ddmlib.Log.ILogOutput",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.android.ddmlib.Log.LogLevel",7,9,7,16,0,n/a,0,3,72,47,n/a,0,0,"1,71",6,8,12
"com.android.ddmlib.MonitorThread",20,11,25,36,79,0,0,2,646,452,0,0,0,"3,00",7,66,75
"com.android.ddmlib.MultiLineReceiver",7,3,8,11,1,0,1,1,95,54,9,0,0,"3,00",0,6,12
"com.android.ddmlib.NativeAllocationInfo",3,15,15,30,1,0,0,5,241,164,0,0,0,"2,33",12,20,35
"com.android.ddmlib.NativeLibraryMapInfo",1,3,5,8,0,0,0,2,49,22,0,0,0,"1,00",4,5,5
"com.android.ddmlib.NativeStackCallInfo",1,6,7,13,0,0,0,5,79,43,0,0,0,"1,14",6,7,8
"com.android.ddmlib.NullOutputReceiver",2,1,7,8,1,0,1,4,29,16,0,0,0,"1,00",2,4,4
"com.android.ddmlib.RawImage",4,14,9,23,1,0,0,2,179,131,0,0,0,"2,11",9,9,19
"com.android.ddmlib.ShellCommandUnresponsiveException",8,1,0,1,0,0,0,0,8,3,0,0,0,n/a,0,0,0
"com.android.ddmlib.SyncException",6,2,8,10,2,1,0,1,32,23,0,0,0,"1,00",2,8,5
"com.android.ddmlib.SyncException.SyncError",2,14,2,16,0,n/a,0,1,35,22,n/a,0,0,"1,00",1,2,2
"com.android.ddmlib.SyncService",16,21,23,44,79,0,0,2,670,402,0,0,0,"3,35",12,47,77
"com.android.ddmlib.SyncService.ISyncProgressMonitor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"com.android.ddmlib.SyncService.NullSyncProgresMonitor",2,0,10,10,1,0,1,5,21,18,0,0,0,"1,00",1,5,5
"com.android.ddmlib.ThreadInfo",3,9,14,23,1,0,1,4,105,58,0,0,0,"1,00",9,13,13
"com.android.ddmlib.TimeoutException",9,1,0,1,0,0,0,0,7,3,0,0,0,n/a,0,0,0
"com.android.ddmlib.log.EventContainer",7,6,14,20,5,0,0,1,262,191,1,0,0,"4,21",12,16,59
"com.android.ddmlib.log.EventContainer.CompareMethod",2,8,3,11,0,n/a,0,1,31,21,n/a,0,0,"1,00",2,3,3
"com.android.ddmlib.log.EventContainer.EventValueType",5,8,6,14,0,n/a,0,1,88,60,n/a,0,0,"2,67",5,7,16
"com.android.ddmlib.log.EventLogParser",11,11,14,25,88,0,0,1,456,373,0,0,0,"4,62",11,31,74
"com.android.ddmlib.log.EventValueDescription",5,3,8,11,3,0,0,3,122,70,0,0,0,"2,12",6,11,17
"com.android.ddmlib.log.EventValueDescription.ValueType",5,8,5,13,2,n/a,0,2,52,35,n/a,0,0,"1,60",3,6,8
"com.android.ddmlib.log.GcEventContainer",10,24,27,51,9,1,0,3,301,239,0,4,5,"4,23",8,18,55
"com.android.ddmlib.log.InvalidTypeException",2,1,4,5,0,0,0,0,49,15,0,0,0,"1,00",0,4,4
"com.android.ddmlib.log.InvalidValueTypeException",4,1,4,5,0,0,0,0,50,15,0,0,0,"1,00",0,4,4
"com.android.ddmlib.log.LogReceiver",7,7,5,12,4,0,0,1,147,80,0,0,0,"2,60",2,9,13
"com.android.ddmlib.log.LogReceiver.ILogListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.android.ddmlib.log.LogReceiver.LogEntry",5,6,0,6,0,0,0,0,20,8,0,0,0,n/a,0,0,0
"com.android.ddmlib.testrunner.IRemoteAndroidTestRunner",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,n/a
"com.android.ddmlib.testrunner.IRemoteAndroidTestRunner.TestSize",2,4,3,7,0,n/a,0,1,40,25,n/a,0,0,"1,67",2,4,5
"com.android.ddmlib.testrunner.ITestRunListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
"com.android.ddmlib.testrunner.ITestRunListener.TestFailure",5,2,0,2,0,n/a,0,0,9,4,n/a,0,0,n/a,0,0,0
"com.android.ddmlib.testrunner.InstrumentationResultParser",11,25,28,53,87,1,1,2,468,292,0,3,1,"3,30",4,35,66
"com.android.ddmlib.testrunner.InstrumentationResultParser.Prefixes",1,6,0,6,0,0,0,0,9,8,0,0,0,n/a,0,0,0
"com.android.ddmlib.testrunner.InstrumentationResultParser.StatusCodes",1,5,0,5,0,0,0,0,8,7,0,0,0,n/a,0,0,0
"com.android.ddmlib.testrunner.InstrumentationResultParser.StatusKeys",1,6,0,6,0,0,0,0,9,8,0,0,0,n/a,0,0,0
"com.android.ddmlib.testrunner.InstrumentationResultParser.TestResult",1,5,2,7,0,0,0,1,30,25,0,0,0,"2,50",2,2,5
"com.android.ddmlib.testrunner.RemoteAndroidTestRunner",11,18,40,58,90,0,1,2,255,172,0,0,0,"1,36",4,30,30
"com.android.ddmlib.testrunner.TestIdentifier",6,2,6,8,0,0,0,2,66,51,0,0,0,"3,00",5,6,18
"com.android.ddmlib.testrunner.TestResult",3,5,13,18,1,0,0,6,102,62,0,0,0,"1,23",9,13,16
"com.android.ddmlib.testrunner.TestResult.TestStatus",3,4,0,4,0,n/a,0,0,10,6,n/a,0,0,n/a,0,0,0
"com.android.ddmlib.testrunner.TestRunResult",5,11,25,36,83,0,0,6,269,170,0,0,0,"1,64",17,32,41
"com.android.ddmlib.testrunner.XmlTestRunListener",9,20,22,42,86,0,1,2,178,140,1,0,0,"1,33",4,35,20
"com.android.ddmlib.utils.ArrayHelper",3,0,4,4,0,0,0,4,65,34,0,0,0,"1,00",3,4,4
"com.android.draw9patch.Application",2,0,2,2,18,0,0,1,29,29,0,0,0,"1,33",0,2,4
"com.android.draw9patch.graphics.GraphicsUtilities",6,0,8,8,1,0,0,2,55,54,0,0,0,"1,75",8,8,14
"com.android.draw9patch.ui.GradientPanel",1,1,2,3,0,0,0,1,16,16,0,0,0,"1,00",0,2,2
"com.android.draw9patch.ui.ImageEditorPanel",9,21,10,31,17,0,0,3,274,272,0,0,0,"1,73",3,15,26
"com.android.draw9patch.ui.ImageEditorPanel.ImageViewer",5,27,20,47,17,0,0,2,462,453,0,0,0,"3,00",10,23,84
"com.android.draw9patch.ui.ImageEditorPanel.Pair",3,2,2,4,0,0,0,0,12,12,0,0,0,"1,00",1,2,2
"com.android.draw9patch.ui.ImageEditorPanel.StretchesViewer",3,8,5,13,17,0,0,3,116,116,0,0,0,"4,00",0,6,20
"com.android.draw9patch.ui.ImageEditorPanel.StretchesViewer.StretchView",3,5,3,8,17,0,0,2,103,103,0,0,0,"3,67",1,3,11
"com.android.draw9patch.ui.ImageTransferHandler",3,1,4,5,17,0,0,2,59,57,0,0,0,"3,50",3,5,14
"com.android.draw9patch.ui.MainFrame",12,4,8,12,17,0,0,4,83,82,0,0,0,"1,62",2,18,13
"com.android.draw9patch.ui.MainFrame.OpenTask",2,1,3,4,17,0,0,1,20,20,0,0,0,"1,00",1,5,3
"com.android.draw9patch.ui.MainFrame.SaveTask",2,1,2,3,17,0,0,1,14,14,0,0,0,"1,00",1,3,2
"com.android.draw9patch.ui.OpenFilePanel",3,1,3,4,17,0,0,1,22,22,0,0,0,"1,00",0,5,3
"com.android.draw9patch.ui.PngFileFilter",2,0,2,2,0,0,0,2,10,10,0,0,0,"1,00",2,2,2
"com.android.draw9patch.ui.action.BackgroundAction",2,0,1,1,0,0,0,1,7,7,2,0,0,"2,00",0,1,2
"com.android.draw9patch.ui.action.ExitAction",1,2,2,4,0,0,0,1,17,17,0,0,0,"1,00",0,2,2
"com.android.draw9patch.ui.action.OpenAction",2,2,3,5,17,1,0,1,16,16,0,1,0,"1,00",0,4,2
"com.android.draw9patch.ui.action.SaveAction",2,2,3,5,17,1,0,1,16,16,0,1,0,"1,00",0,4,2
"com.android.dvlib.DeviceSchema",5,63,3,66,1,0,0,1,141,102,0,0,0,"1,00",3,5,3
"com.android.dvlib.DeviceSchema.ValidationHandler",1,6,8,14,1,0,0,1,92,73,0,0,0,"2,25",1,8,18
"com.android.ide.common.api.AbstractViewRule",11,0,38,38,36,0,1,19,103,92,0,0,0,"1,00",7,19,19
"com.android.ide.common.api.DrawingStyle",1,24,0,24,0,n/a,0,0,134,27,n/a,0,0,n/a,0,0,0
"com.android.ide.common.api.DropFeedback",5,19,1,20,17,0,0,0,147,37,0,0,0,"1,00",0,1,1
"com.android.ide.common.api.IAttributeInfo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
"com.android.ide.common.api.IAttributeInfo.Format",2,20,2,22,2,n/a,0,1,85,71,n/a,0,0,"9,50",2,2,19
"com.android.ide.common.api.IClientRulesEngine",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,25,n/a
"com.android.ide.common.api.IClientRulesEngine.AttributeFilter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ide.common.api.IColor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.android.ide.common.api.IDragElement",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
"com.android.ide.common.api.IDragElement.IDragAttribute",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.android.ide.common.api.IFeedbackPainter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ide.common.api.IGraphics",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,24,n/a
"com.android.ide.common.api.IGraphics.LineStyle",1,5,0,5,0,n/a,0,0,15,7,n/a,0,0,n/a,0,0,0
"com.android.ide.common.api.IMenuCallback",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ide.common.api.INode",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17,n/a
"com.android.ide.common.api.INode.IAttribute",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.android.ide.common.api.INodeHandler",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ide.common.api.IValidator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ide.common.api.IViewMetadata",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"com.android.ide.common.api.IViewMetadata.FillPreference",1,7,2,9,0,n/a,0,1,48,17,n/a,0,0,"1,00",2,2,2
"com.android.ide.common.api.IViewRule",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19,n/a
"com.android.ide.common.api.InsertType",2,5,1,6,0,n/a,0,1,37,11,n/a,0,0,"1,00",1,1,1
"com.android.ide.common.api.MarginType",1,3,0,3,0,n/a,0,0,34,6,n/a,0,0,n/a,0,0,0
"com.android.ide.common.api.Margins",2,4,2,6,0,0,0,0,40,20,0,0,0,"1,00",1,2,2
"com.android.ide.common.api.Point",4,2,8,10,0,0,0,1,56,43,0,0,0,"1,12",5,8,9
"com.android.ide.common.api.Rect",9,4,26,30,1,0,0,1,201,138,0,0,0,"1,42",23,27,37
"com.android.ide.common.api.ResizePolicy",0,15,13,28,0,0,0,6,145,70,0,0,0,"1,38",12,13,18
"com.android.ide.common.api.RuleAction",11,9,19,28,20,0,0,6,406,179,4,0,0,"1,37",18,26,26
"com.android.ide.common.api.RuleAction.ActionProvider",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ide.common.api.RuleAction.ChoiceProvider",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.android.ide.common.api.RuleAction.Choices",3,11,19,30,20,1,0,5,85,45,1,11,0,"1,00",5,8,7
"com.android.ide.common.api.RuleAction.DelayedChoices",4,13,24,37,20,2,0,1,37,36,0,14,3,"1,20",3,7,6
"com.android.ide.common.api.RuleAction.NestedAction",4,7,14,21,20,1,0,1,28,17,0,11,0,"1,00",1,4,2
"com.android.ide.common.api.RuleAction.Separator",2,6,13,19,20,1,0,0,8,6,0,11,0,"1,00",0,2,1
"com.android.ide.common.api.RuleAction.Toggle",2,7,16,23,20,1,0,1,55,24,0,9,2,"1,00",3,7,4
"com.android.ide.common.api.Segment",3,7,2,9,13,0,0,0,53,32,0,0,0,"1,50",1,3,3
"com.android.ide.common.api.SegmentType",6,8,4,12,11,n/a,0,1,91,58,n/a,0,0,"3,75",4,5,15
"com.android.ide.common.rendering.HardwareConfigHelper",6,6,5,11,32,0,0,1,119,74,0,0,0,"2,40",4,15,12
"com.android.ide.common.rendering.LayoutLibrary",26,14,26,40,44,0,0,4,605,407,0,0,0,"2,93",21,84,85
"com.android.ide.common.rendering.StaticRenderSession",4,3,18,21,28,1,0,3,32,22,0,11,3,"1,00",3,4,4
"com.android.ide.common.rendering.api.AdapterBinding",4,4,12,16,2,0,0,4,47,43,0,0,0,"1,00",8,12,12
"com.android.ide.common.rendering.api.AttrResourceValue",4,5,24,29,5,2,1,1,27,15,0,13,0,"1,33",1,4,4
"com.android.ide.common.rendering.api.Bridge",8,1,11,12,32,0,0,8,120,37,0,0,0,"1,00",10,12,10
"com.android.ide.common.rendering.api.Capability",2,12,0,12,0,n/a,0,0,51,14,n/a,0,0,n/a,0,0,0
"com.android.ide.common.rendering.api.DataBindingItem",2,3,10,13,1,0,0,3,60,44,0,0,0,"1,20",4,11,12
"com.android.ide.common.rendering.api.DeclareStyleableResourceValue",5,5,25,30,6,2,1,1,41,25,0,13,0,"1,75",2,7,7
"com.android.ide.common.rendering.api.DensityBasedResourceValue",8,5,28,33,9,2,2,1,59,46,0,7,3,"2,17",5,15,13
"com.android.ide.common.rendering.api.DrawableParams",8,16,33,49,23,1,0,1,40,22,0,28,0,"1,00",1,5,3
"com.android.ide.common.rendering.api.HardwareConfig",7,8,9,17,4,0,0,8,58,52,0,0,0,"1,00",8,9,9
"com.android.ide.common.rendering.api.IAnimationListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
