Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.android.SdkConstants.androidCmdName()",2,4,n/a,10,1,0,5,2
"com.android.SdkConstants.currentPlatform()",4,4,n/a,17,1,0,8,4
"com.android.SdkConstants.currentPlatformName()",4,0,n/a,16,1,0,8,4
"com.android.SdkConstants.ext(String,String)",0,10,n/a,7,1,2,3,2
"com.android.SdkConstants.mkSdCardCmdName()",2,1,n/a,10,1,0,5,2
"com.android.annotations.VisibleForTesting.visibility()",n/a,36,0,n/a,n/a,0,n/a,n/a
"com.android.assetstudiolib.ActionBarIconGenerator.ActionBarIconGenerator()",0,1,n/a,3,0,0,0,1
"com.android.assetstudiolib.ActionBarIconGenerator.generate(GraphicGeneratorContext,Options)",19,1,n/a,30,1,2,18,3
"com.android.assetstudiolib.GraphicGenerator.Shape.Shape(String)",0,3,n/a,3,0,1,1,1
"com.android.assetstudiolib.GraphicGenerator.Style.Style(String)",0,1,n/a,3,0,1,1,1
"com.android.assetstudiolib.GraphicGenerator.generate(GraphicGeneratorContext,Options)",n/a,1,5,n/a,n/a,2,n/a,n/a
"com.android.assetstudiolib.GraphicGenerator.generate(String,Map<String, Map<String, BufferedImage>>,GraphicGeneratorContext,Options,String)",13,11,n/a,4,3,5,19,8
"com.android.assetstudiolib.GraphicGenerator.getClipartIcon(String)",3,1,n/a,18,1,1,4,1
"com.android.assetstudiolib.GraphicGenerator.getClipartImage(String)",3,2,n/a,18,1,1,4,1
"com.android.assetstudiolib.GraphicGenerator.getClipartNames()",20,2,n/a,38,3,0,22,7
"com.android.assetstudiolib.GraphicGenerator.getIconFolder(Options)",1,3,n/a,8,0,1,1,1
"com.android.assetstudiolib.GraphicGenerator.getIconName(Options,String)",0,1,n/a,7,0,2,1,1
"com.android.assetstudiolib.GraphicGenerator.getIconPath(Options,String)",2,3,n/a,15,0,2,1,1
"com.android.assetstudiolib.GraphicGenerator.getMdpiScaleFactor(Density)",2,5,n/a,10,0,1,1,1
"com.android.assetstudiolib.GraphicGenerator.getStencilImage(String)",3,1,n/a,16,1,1,4,1
"com.android.assetstudiolib.GraphicGeneratorContext.loadImageResource(String)",n/a,4,1,n/a,n/a,1,n/a,n/a
