Package,C(rec),LOC(rec),METH(rec)
"",749,115.955,5.506
"app",n/a,116,n/a
"app.",n/a,3,n/a
"app..settings",n/a,3,n/a
"app.etc",n/a,89,n/a
"com",749,115.749,5.506
"com.android",749,115.749,5.506
"com.android.annotations",5,168,1
"com.android.assetstudiolib",23,1.451,48
"com.android.ddmlib",117,16.705,988
"com.android.ddmlib.log",13,1.750,80
"com.android.ddmlib.testrunner",15,1.852,131
"com.android.ddmlib.utils",1,81,4
"com.android.draw9patch",29,1.645,95
"com.android.draw9patch.graphics",1,80,8
"com.android.draw9patch.ui",26,1.516,84
"com.android.draw9patch.ui.action",4,138,7
"com.android.dvlib",2,266,11
"com.android.ide",128,14.849,1.089
"com.android.ide.common",128,14.849,1.089
"com.android.ide.common.api",38,3.605,233
"com.android.ide.common.rendering",34,3.411,250
"com.android.ide.common.rendering.api",28,2.479,209
"com.android.ide.common.rendering.legacy",2,77,3
"com.android.ide.common.resources",45,6.572,522
"com.android.ide.common.resources.configuration",26,3.198,348
"com.android.ide.common.sdk",1,22,0
"com.android.ide.common.xml",10,1.239,84
"com.android.io",10,481,47
"com.android.layoutlib",10,584,38
"com.android.layoutlib.api",10,584,38
"com.android.manifmerger",13,2.747,73
"com.android.ninepatch",5,709,36
"com.android.prefs",2,111,4
"com.android.resources",17,1.478,132
"com.android.sdklib",181,34.525,1.398
"com.android.sdklib.build",18,1.633,80
"com.android.sdklib.devices",25,4.148,242
"com.android.sdklib.internal",98,17.831,747
"com.android.sdklib.internal.avd",11,2.191,74
"com.android.sdklib.internal.build",13,976,48
"com.android.sdklib.internal.project",7,1.881,56
"com.android.sdklib.internal.repository",67,12.783,569
"com.android.sdklib.internal.repository.archives",7,1.551,60
"com.android.sdklib.internal.repository.packages",29,5.702,277
"com.android.sdklib.internal.repository.sources",10,2.162,109
"com.android.sdklib.io",4,544,38
"com.android.sdklib.repository",7,5.854,12
"com.android.sdklib.util",15,1.804,110
"com.android.sdkstats",8,956,44
"com.android.tools",183,35.942,1.401
"com.android.tools.lint",183,35.942,1.401
"com.android.tools.lint.checks",119,22.151,769
"com.android.tools.lint.client",23,5.348,257
"com.android.tools.lint.client.api",23,5.348,257
"com.android.tools.lint.detector",24,5.040,260
"com.android.tools.lint.detector.api",24,5.040,260
"com.android.util",1,107,7
"com.android.utils",11,1.605,70
"com.android.xml",3,418,19
"test",n/a,82,n/a
"test.",n/a,4,n/a
"test..settings",n/a,4,n/a

