Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"null.compare(Object,Object)",1,5,n/a,3,0,2,1,1
"null.getCollection()",10,1,n/a,17,3,0,11,4
"null.getFallbackFormat()",1,1,n/a,4,0,0,1,1
"null.getPrimaryFormat()",1,1,n/a,14,0,0,1,1
"null.isFilesystemOnly()",0,14,n/a,3,0,0,1,1
"null.iterator()",3,29,n/a,3,2,0,4,1
"null.log(String)",0,2,n/a,3,0,1,0,1
"null.read()",0,42,n/a,3,0,0,1,1
"null.size()",0,22,n/a,3,0,0,1,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader()",1,3,n/a,6,0,0,1,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader(ClassLoader,Project,Path,boolean)",4,5,n/a,25,1,4,5,2
"org.apache.tools.ant.AntClassLoader.AntClassLoader(ClassLoader,boolean)",1,0,n/a,18,0,2,3,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader(Project,Path)",3,3,n/a,16,0,2,3,1
"org.apache.tools.ant.AntClassLoader.AntClassLoader(Project,Path,boolean)",1,0,n/a,16,0,3,1,1
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration.ResourceEnumeration(String)",1,1,n/a,11,0,1,3,1
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration.findNextResource()",3,2,n/a,22,2,0,7,4
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration.hasMoreElements()",0,236,n/a,10,0,0,1,1
"org.apache.tools.ant.AntClassLoader.ResourceEnumeration.nextElement()",1,241,n/a,10,0,0,3,1
"org.apache.tools.ant.AntClassLoader.addJavaLibraries()",5,4,n/a,12,1,0,5,2
"org.apache.tools.ant.AntClassLoader.addLoaderPackageRoot(String)",2,1,n/a,13,0,1,1,2
"org.apache.tools.ant.AntClassLoader.addPathElement(String)",4,2,n/a,19,1,1,4,3
"org.apache.tools.ant.AntClassLoader.addPathFile(File)",31,2,n/a,70,3,1,36,13
"org.apache.tools.ant.AntClassLoader.addSystemPackageRoot(String)",2,2,n/a,13,0,1,1,2
"org.apache.tools.ant.AntClassLoader.buildFinished(BuildEvent)",1,5,n/a,9,0,1,1,1
"org.apache.tools.ant.AntClassLoader.buildStarted(BuildEvent)",0,3,n/a,8,0,1,0,1
"org.apache.tools.ant.AntClassLoader.cleanup()",6,8,n/a,19,2,0,9,4
"org.apache.tools.ant.AntClassLoader.defineClassFromData(File,byte[],String)",3,1,n/a,22,0,3,2,1
"org.apache.tools.ant.AntClassLoader.definePackage(File,String)",6,1,n/a,30,1,2,10,4
"org.apache.tools.ant.AntClassLoader.definePackage(File,String,Manifest)",23,1,n/a,78,2,3,38,13
"org.apache.tools.ant.AntClassLoader.findBaseClass(String)",2,3,n/a,22,1,1,3,2
"org.apache.tools.ant.AntClassLoader.findClass(String)",2,8,n/a,15,0,1,2,1
"org.apache.tools.ant.AntClassLoader.findClassInComponents(String)",11,1,n/a,48,4,1,17,7
"org.apache.tools.ant.AntClassLoader.findResources(String)",7,1,n/a,29,1,1,8,4
"org.apache.tools.ant.AntClassLoader.forceLoadClass(String)",3,1,n/a,24,1,1,5,2
"org.apache.tools.ant.AntClassLoader.forceLoadSystemClass(String)",3,0,n/a,25,1,1,5,2
"org.apache.tools.ant.AntClassLoader.getClassFilename(String)",1,1,n/a,12,0,1,1,1
"org.apache.tools.ant.AntClassLoader.getClassFromStream(InputStream,String,File)",5,1,n/a,28,1,3,7,2
"org.apache.tools.ant.AntClassLoader.getClasspath()",9,5,n/a,20,2,0,9,3
"org.apache.tools.ant.AntClassLoader.getJarManifest(File)",4,1,n/a,25,2,1,8,3
"org.apache.tools.ant.AntClassLoader.getResource(String)",14,8,n/a,51,3,1,18,12
"org.apache.tools.ant.AntClassLoader.getResourceAsStream(String)",10,11,n/a,42,3,1,17,7
"org.apache.tools.ant.AntClassLoader.getResourceStream(File,String)",14,2,n/a,41,3,2,16,7
"org.apache.tools.ant.AntClassLoader.getResourceURL(File,String)",12,2,n/a,47,4,2,20,9
"org.apache.tools.ant.AntClassLoader.initializeClass(Class)",2,0,n/a,41,3,1,6,5
"org.apache.tools.ant.AntClassLoader.isInPath(File)",4,1,n/a,16,2,1,6,3
"org.apache.tools.ant.AntClassLoader.isParentFirst(String)",8,5,n/a,35,2,1,14,5
"org.apache.tools.ant.AntClassLoader.loadBaseResource(String)",2,2,n/a,17,1,1,3,2
"org.apache.tools.ant.AntClassLoader.loadClass(String,boolean)",11,0,n/a,58,3,2,19,7
"org.apache.tools.ant.AntClassLoader.loadResource(String)",4,2,n/a,20,1,1,6,3
"org.apache.tools.ant.AntClassLoader.log(String,int)",1,20,n/a,16,1,2,2,2
"org.apache.tools.ant.AntClassLoader.messageLogged(BuildEvent)",0,6,n/a,8,0,1,0,1
"org.apache.tools.ant.AntClassLoader.resetThreadContextLoader()",2,2,n/a,11,1,0,4,3
"org.apache.tools.ant.AntClassLoader.setClassPath(Path)",4,3,n/a,22,3,1,9,4
"org.apache.tools.ant.AntClassLoader.setIsolated(boolean)",0,2,n/a,12,0,1,1,1
"org.apache.tools.ant.AntClassLoader.setParent(ClassLoader)",1,5,n/a,13,1,1,3,2
"org.apache.tools.ant.AntClassLoader.setParentFirst(boolean)",0,4,n/a,11,0,1,1,1
