Package,C(rec),LOC(rec),METH(rec)
"",959,142.419,7.545
"org",959,142.419,7.545
"org.apache",959,142.419,7.545
"org.apache.tools",959,142.419,7.545
"org.apache.tools.ant",930,134.427,7.193
"org.apache.tools.ant.dispatch",3,201,5
"org.apache.tools.ant.filters",46,4.702,254
"org.apache.tools.ant.filters.util",2,278,9
"org.apache.tools.ant.helper",19,2.365,102
"org.apache.tools.ant.input",6,408,18
"org.apache.tools.ant.launch",5,754,16
"org.apache.tools.ant.listener",5,1.029,33
"org.apache.tools.ant.loader",1,25,1
"org.apache.tools.ant.taskdefs",509,76.571,4.126
"org.apache.tools.ant.taskdefs.compilers",13,1.800,48
"org.apache.tools.ant.taskdefs.condition",24,2.263,114
"org.apache.tools.ant.taskdefs.cvslib",11,1.656,74
"org.apache.tools.ant.taskdefs.email",11,1.508,88
"org.apache.tools.ant.taskdefs.optional",198,28.796,1.587
"org.apache.tools.ant.taskdefs.optional.ccm",7,785,49
"org.apache.tools.ant.taskdefs.optional.depend",22,2.661,116
"org.apache.tools.ant.taskdefs.optional.depend.constantpool",14,1.365,76
"org.apache.tools.ant.taskdefs.optional.dotnet",18,3.943,266
"org.apache.tools.ant.taskdefs.optional.extension",19,3.230,138
"org.apache.tools.ant.taskdefs.optional.extension.resolvers",3,277,16
"org.apache.tools.ant.taskdefs.optional.i18n",1,562,17
"org.apache.tools.ant.taskdefs.optional.image",1,272,15
"org.apache.tools.ant.taskdefs.optional.j2ee",6,899,52
"org.apache.tools.ant.taskdefs.optional.javacc",3,918,62
"org.apache.tools.ant.taskdefs.optional.jlink",4,658,28
"org.apache.tools.ant.taskdefs.optional.jsp",10,1.514,83
"org.apache.tools.ant.taskdefs.optional.jsp.compilers",4,452,22
"org.apache.tools.ant.taskdefs.optional.net",28,3.475,169
"org.apache.tools.ant.taskdefs.optional.perforce",30,2.469,129
"org.apache.tools.ant.taskdefs.optional.pvcs",2,622,39
"org.apache.tools.ant.taskdefs.optional.script",4,396,19
"org.apache.tools.ant.taskdefs.optional.sos",6,871,53
"org.apache.tools.ant.taskdefs.optional.sound",3,376,25
"org.apache.tools.ant.taskdefs.optional.splash",2,322,21
"org.apache.tools.ant.taskdefs.optional.ssh",14,2.225,141
"org.apache.tools.ant.taskdefs.optional.unix",4,801,35
"org.apache.tools.ant.taskdefs.optional.vss",13,1.627,113
"org.apache.tools.ant.taskdefs.optional.windows",1,170,17
"org.apache.tools.ant.taskdefs.rmic",8,861,31
"org.apache.tools.ant.types",193,23.423,1.462
"org.apache.tools.ant.types.mappers",1,77,3
"org.apache.tools.ant.types.optional",21,1.631,108
"org.apache.tools.ant.types.optional.depend",3,330,24
"org.apache.tools.ant.types.optional.image",13,842,53
"org.apache.tools.ant.types.resolver",2,269,7
"org.apache.tools.ant.types.resources",61,5.358,374
"org.apache.tools.ant.types.resources.comparators",9,401,16
"org.apache.tools.ant.types.resources.selectors",14,939,62
"org.apache.tools.ant.types.selectors",44,5.682,311
"org.apache.tools.ant.types.selectors.modifiedselector",11,1.615,80
"org.apache.tools.ant.util",80,9.824,482
"org.apache.tools.ant.util.depend",5,788,43
"org.apache.tools.ant.util.depend.bcel",3,416,17
"org.apache.tools.ant.util.facade",2,181,12
"org.apache.tools.ant.util.java15",1,93,3
"org.apache.tools.ant.util.optional",2,90,4
"org.apache.tools.ant.util.regexp",11,1.091,54
"org.apache.tools.bzip2",6,2.866,77
"org.apache.tools.mail",4,592,42
"org.apache.tools.tar",6,1.857,93
"org.apache.tools.zip",13,2.677,140

