"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","58","Avoid really long classes.","Code Size","ExcessiveClassLength"
"2","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","58","The class 'AntClassLoader' has a Cyclomatic Complexity of 3 (Highest = 13).","Code Size","CyclomaticComplexity"
"3","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","58","The class 'AntClassLoader' has a Modified Cyclomatic Complexity of 3 (Highest = 12).","Code Size","ModifiedCyclomaticComplexity"
"4","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","58","The class 'AntClassLoader' has a Standard Cyclomatic Complexity of 3 (Highest = 12).","Code Size","StdCyclomaticComplexity"
"5","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","58","This class has too many methods, consider refactoring it.","Code Size","TooManyMethods"
"6","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","447","The method 'addPathFile' has a Cyclomatic Complexity of 13.","Code Size","CyclomaticComplexity"
"7","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","447","The method 'addPathFile' has a Modified Cyclomatic Complexity of 12.","Code Size","ModifiedCyclomaticComplexity"
"8","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","447","The method 'addPathFile' has a Standard Cyclomatic Complexity of 12.","Code Size","StdCyclomaticComplexity"
"9","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","447","The method addPathFile() has an NPath complexity of 240","Code Size","NPathComplexity"
"10","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","860","The method 'getResource' has a Cyclomatic Complexity of 12.","Code Size","CyclomaticComplexity"
"11","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","860","The method 'getResource' has a Modified Cyclomatic Complexity of 10.","Code Size","ModifiedCyclomaticComplexity"
"12","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","860","The method 'getResource' has a Standard Cyclomatic Complexity of 10.","Code Size","StdCyclomaticComplexity"
"13","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","860","The method getResource() has an NPath complexity of 720","Code Size","NPathComplexity"
"14","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","1155","The method 'definePackage' has a Cyclomatic Complexity of 13.","Code Size","CyclomaticComplexity"
"15","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","1155","The method 'definePackage' has a Modified Cyclomatic Complexity of 12.","Code Size","ModifiedCyclomaticComplexity"
"16","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","1155","The method 'definePackage' has a Standard Cyclomatic Complexity of 12.","Code Size","StdCyclomaticComplexity"
"17","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/AntClassLoader.java","3","1155","The method definePackage() has an NPath complexity of 1032","Code Size","NPathComplexity"
"1","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/ComponentHelper.java","3","59","The class 'ComponentHelper' has a Cyclomatic Complexity of 3 (Highest = 17).","Code Size","CyclomaticComplexity"
"2","org.apache.tools.ant","/home/fluiz/Projects/SmellsDataSets/dataset_1/ant/src/main/org/apache/tools/ant/ComponentHelper.java","3","59","The class 'ComponentHelper' has a Modified Cyclomatic Complexity of 3 (Highest = 17).","Code Size","ModifiedCyclomaticComplexity"
