Chidamber-Kemerer metrics,Qua, 25 out 2017 17:59:14 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.commons.codec.BinaryDecoder",n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.BinaryEncoder",n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.CharEncoding",12,1,0,0,0,0
"org.apache.commons.codec.Decoder",n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.DecoderException",22,3,0,0,8,4
"org.apache.commons.codec.Encoder",n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.EncoderException",37,3,0,0,8,4
"org.apache.commons.codec.StringDecoder",n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.StringEncoder",n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.StringEncoderComparator",4,1,1,0,4,2
"org.apache.commons.codec.binary.Base32",8,2,1,0,14,39
"org.apache.commons.codec.binary.Base32InputStream",3,4,0,0,6,3
"org.apache.commons.codec.binary.Base32OutputStream",3,4,0,0,6,3
"org.apache.commons.codec.binary.Base64",11,2,3,0,41,60
"org.apache.commons.codec.binary.Base64InputStream",3,4,0,0,6,3
"org.apache.commons.codec.binary.Base64OutputStream",3,4,0,0,6,3
"org.apache.commons.codec.binary.BaseNCodec",18,1,1,3,29,40
"org.apache.commons.codec.binary.BaseNCodecInputStream",6,3,2,2,12,15
"org.apache.commons.codec.binary.BaseNCodecOutputStream",6,3,1,2,16,15
"org.apache.commons.codec.binary.BinaryCodec",6,1,1,0,15,33
"org.apache.commons.codec.binary.Hex",10,1,1,0,25,21
"org.apache.commons.codec.binary.StringUtils",17,1,1,0,18,17
"org.apache.commons.codec.digest.DigestUtils",3,1,1,0,47,39
"org.apache.commons.codec.language.AbstractCaverphone",6,1,2,2,7,4
"org.apache.commons.codec.language.Caverphone1",2,2,1,0,5,2
"org.apache.commons.codec.language.Caverphone2",2,2,1,0,5,2
"org.apache.commons.codec.language.ColognePhonetic",7,1,1,0,22,34
"org.apache.commons.codec.language.ColognePhonetic.CologneBuffer",4,1,2,2,6,4
"org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer",3,2,1,0,8,6
"org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer",2,2,1,0,5,3
"org.apache.commons.codec.language.DoubleMetaphone",6,1,1,0,65,183
"org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult",1,1,1,0,20,16
"org.apache.commons.codec.language.Metaphone",4,1,1,0,29,71
"org.apache.commons.codec.language.RefinedSoundex",5,1,2,0,20,15
"org.apache.commons.codec.language.Soundex",6,1,2,0,19,20
"org.apache.commons.codec.language.SoundexUtils",5,1,2,0,10,10
"org.apache.commons.codec.language.bm.BeiderMorseEncoder",6,1,1,0,14,10
"org.apache.commons.codec.language.bm.Lang",8,1,3,0,40,18
"org.apache.commons.codec.language.bm.Lang.LangRule",1,1,1,0,4,2
"org.apache.commons.codec.language.bm.Languages",6,1,4,0,24,12
"org.apache.commons.codec.language.bm.NameType",8,n/a,1,n/a,2,2
"org.apache.commons.codec.language.bm.PhoneticEngine",9,1,1,0,64,59
"org.apache.commons.codec.language.bm.PhoneticEngine.RulesApplication",2,1,1,0,12,10
"org.apache.commons.codec.language.bm.ResourceConstants",3,1,0,0,0,0
"org.apache.commons.codec.language.bm.Rule",9,1,5,0,61,38
"org.apache.commons.codec.language.bm.RuleType",5,n/a,1,n/a,2,2
"org.apache.commons.codec.net.BCodec",8,2,5,0,22,20
"org.apache.commons.codec.net.QCodec",9,2,4,0,26,33
"org.apache.commons.codec.net.QuotedPrintableCodec",12,1,1,0,35,34
"org.apache.commons.codec.net.RFC1522Codec",7,1,1,3,21,9
"org.apache.commons.codec.net.URLCodec",11,1,1,0,34,36
"org.apache.commons.codec.net.Utils",4,1,1,0,3,2

