Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.commons.codec.BinaryDecoder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.BinaryEncoder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.CharEncoding",12,6,12,18,0,1,0,0,102,8,0,11,0,n/a,0,0,0
"org.apache.commons.codec.Decoder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.DecoderException",22,6,47,53,0,3,1,0,65,15,0,26,0,"1,00",0,8,4
"org.apache.commons.codec.Encoder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.EncoderException",37,6,47,53,0,3,1,0,66,15,0,26,0,"1,00",0,8,4
"org.apache.commons.codec.StringDecoder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.StringEncoder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.commons.codec.StringEncoderComparator",4,1,23,24,3,1,1,1,47,17,0,18,0,"1,00",1,4,2
"org.apache.commons.codec.binary.Base32",8,26,46,72,10,2,4,1,429,237,0,27,0,"4,88",1,14,39
"org.apache.commons.codec.binary.Base32InputStream",3,4,41,45,12,4,2,0,59,11,0,31,0,"1,00",0,6,3
"org.apache.commons.codec.binary.Base32OutputStream",3,4,36,40,12,4,3,0,59,11,0,24,0,"1,00",0,6,3
"org.apache.commons.codec.binary.Base64",11,25,63,88,10,2,4,3,676,264,0,27,0,"2,40",18,41,60
"org.apache.commons.codec.binary.Base64InputStream",3,4,41,45,12,4,2,0,64,11,0,31,0,"1,00",0,6,3
"org.apache.commons.codec.binary.Base64OutputStream",3,4,36,40,12,4,3,0,64,11,0,24,0,"1,00",0,6,3
"org.apache.commons.codec.binary.BaseNCodec",18,17,39,56,9,1,4,1,380,160,3,11,0,"2,00",17,29,40
"org.apache.commons.codec.binary.BaseNCodecInputStream",6,4,38,42,10,3,2,2,103,52,2,23,3,"3,75",3,12,15
"org.apache.commons.codec.binary.BaseNCodecOutputStream",6,4,33,37,10,3,3,1,112,59,2,13,4,"2,50",0,16,15
"org.apache.commons.codec.binary.BinaryCodec",6,11,27,38,7,1,4,1,251,112,0,11,0,"3,00",11,15,33
"org.apache.commons.codec.binary.Hex",10,4,30,34,9,1,4,1,252,87,0,10,1,"1,50",12,25,21
"org.apache.commons.codec.binary.StringUtils",17,0,27,27,1,1,0,1,247,61,0,11,0,"1,13",15,18,17
"org.apache.commons.codec.digest.DigestUtils",3,1,50,51,10,1,0,1,514,127,0,11,0,"1,03",38,47,39
"org.apache.commons.codec.language.AbstractCaverphone",6,0,17,17,3,1,2,2,51,14,2,11,0,"1,33",2,7,4
"org.apache.commons.codec.language.Caverphone1",2,1,18,19,4,2,2,1,95,66,0,13,0,"2,00",1,5,2
"org.apache.commons.codec.language.Caverphone2",2,1,18,19,4,2,2,1,97,69,0,13,0,"2,00",1,5,2
"org.apache.commons.codec.language.ColognePhonetic",7,1,20,21,7,1,2,1,296,121,0,11,0,"5,67",6,22,34
"org.apache.commons.codec.language.ColognePhonetic.CologneBuffer",4,2,17,19,1,1,0,2,20,20,2,10,1,"1,00",3,6,4
"org.apache.commons.codec.language.ColognePhonetic.CologneInputBuffer",3,2,23,25,2,2,0,1,26,26,0,13,0,"1,00",4,8,6
"org.apache.commons.codec.language.ColognePhonetic.CologneOutputBuffer",2,2,20,22,2,2,0,1,15,15,0,13,0,"1,00",1,5,3
"org.apache.commons.codec.language.DoubleMetaphone",6,6,58,64,4,1,2,1,946,706,0,11,0,"4,16",42,65,183
"org.apache.commons.codec.language.DoubleMetaphone.DoubleMetaphoneResult",1,3,24,27,4,1,0,1,64,60,0,11,0,"1,33",3,20,16
"org.apache.commons.codec.language.Metaphone",4,4,26,30,4,1,2,1,363,276,0,11,0,"5,92",10,29,71
"org.apache.commons.codec.language.RefinedSoundex",5,4,22,26,5,1,2,2,161,57,0,11,0,"1,88",5,20,15
"org.apache.commons.codec.language.Soundex",6,4,24,28,5,1,2,2,212,76,0,11,0,"2,00",7,19,20
"org.apache.commons.codec.language.SoundexUtils",5,0,15,15,3,1,0,2,96,35,0,11,0,"3,33",3,10,10
"org.apache.commons.codec.language.bm.BeiderMorseEncoder",6,1,22,23,13,1,2,1,83,33,0,11,0,"1,25",5,14,10
"org.apache.commons.codec.language.bm.Lang",8,4,17,21,5,1,0,3,171,82,0,11,0,"3,60",4,40,18
"org.apache.commons.codec.language.bm.Lang.LangRule",1,3,14,17,0,1,0,1,13,13,0,11,0,"1,00",1,4,2
"org.apache.commons.codec.language.bm.Languages",6,3,17,20,2,1,0,4,116,48,0,11,0,"2,40",4,24,12
"org.apache.commons.codec.language.bm.NameType",8,6,27,33,0,n/a,2,1,26,12,n/a,20,0,"1,00",1,2,2
"org.apache.commons.codec.language.bm.PhoneticEngine",9,5,26,31,9,1,0,1,342,256,0,11,0,"4,21",13,64,59
"org.apache.commons.codec.language.bm.PhoneticEngine.RulesApplication",2,6,17,23,9,1,0,1,53,50,0,11,0,"2,00",4,12,10
"org.apache.commons.codec.language.bm.ResourceConstants",3,4,12,16,0,1,0,0,12,6,0,11,0,n/a,0,0,0
"org.apache.commons.codec.language.bm.Rule",9,10,27,37,5,1,0,5,306,168,0,11,0,"2,53",14,61,38
"org.apache.commons.codec.language.bm.RuleType",5,6,27,33,0,n/a,2,1,16,10,n/a,20,0,"1,00",1,2,2
"org.apache.commons.codec.net.BCodec",8,1,32,33,14,2,4,5,172,79,0,13,0,"1,82",9,22,20
"org.apache.commons.codec.net.QCodec",9,5,34,39,15,2,4,4,269,157,0,13,0,"2,54",10,26,33
"org.apache.commons.codec.net.QuotedPrintableCodec",12,5,32,37,13,1,6,1,337,140,0,11,0,"2,43",11,35,34
"org.apache.commons.codec.net.RFC1522Codec",7,3,17,20,4,1,0,1,144,60,3,11,0,"4,50",5,21,9
"org.apache.commons.codec.net.URLCodec",11,4,31,35,12,1,6,1,294,144,0,11,0,"2,77",11,34,36
"org.apache.commons.codec.net.Utils",4,0,13,13,12,1,0,1,26,9,0,11,0,"2,00",1,3,2

